H	"TENNESSEE GAS PIPELINE COMPANY, L.L.C."	C000020	4/2/2018	O	4/1/2018	T	T	Nara Houy 713-420-4430				
D	ADAMSVILLE CITY OF	127161370	N	FS	2045-FSMATGP	9/1/1993	11/1/2020		N	0	30822	n1
A	"D2 ENERGY, LLC"	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1027					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	205					
D	ADAMSVILLE CITY OF	127161370	N	FS	107598-FSPATGP	4/1/2013	3/31/2023		N	0	30000	n1
A	"D2 ENERGY, LLC"	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	223					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	200					
D	ASHLAND TOWN OF MISS	42417030	N	FS	2048-FSPATGP	9/1/1993	10/31/2020		N	0	2253	n1
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	16					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	15					
D	ASHLAND TOWN OF MISS	42417030	N	FS	2049-FSMATGP	9/1/1993	11/1/2020		N	0	12794	n1
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	262					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	85					
D	ATHENS ALABAMA UTILITY  CITY OF	77656221	N	FS	300032-FSPATGP	10/1/2013	3/31/2021		N	0	60000	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	405					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	400					
D	ATHENS ALABAMA UTILITY  CITY OF	77656221	N	FS	1988-FSMATGP	9/1/1993	10/31/2020		N	0	35237	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	505					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	235					
D	ATHENS ALABAMA UTILITY  CITY OF	77656221	N	FS	1989-FSPATGP	9/1/1993	10/31/2020		N	0	26911	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	182					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	179					
D	ATHENS TENNESSEE UTILITIES BOARD	789351640	N	FS	3922-FSMATGP	11/1/1993	11/1/2025		N	0	160258	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1455					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1068					
D	ATMOS  ENERGY  CORPORATION	613205723	N	FS	39322-FSMATGP	11/1/2001	3/31/2022		N	0	4466	n1
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	102					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	30					
D	ATMOS  ENERGY  CORPORATION	613205723	N	FS	90737-FSMATGP	11/20/2010	3/31/2022		N	0	11827	n1
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	209					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	79					
D	ATMOS ENERGY (KY)	6456	N	FS	2383-FSMATGP	9/1/1993	3/31/2025		N	0	903859	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	19784					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	6026					
D	ATMOS ENERGY (KY)	6456	N	FS	2384-FSPATGP	9/1/1993	3/31/2025		N	0	409679	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	2914					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	2731					
D	ATMOS ENERGY (TN)	93153468	N	FS	309552-FSPATGP	11/1/2015	3/31/2025		N	0	417837	n1
A	ATMOS ENERGY CORP	N										
A	"ATMOS ENERGY MARKETING, LLC"	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	10000					
