H	SOUTHERN NATURAL GAS COMPANY L.L.C.	C000021	4/2/2018	O	4/1/2018	T	T	Sherry Noack 713-420-3764				
D	"ADAIRSVILLE, CITY OF"	95804092	N	CSS	450262-MCSSSNG-450271	11/1/1993	8/31/2016	365	N	0	36525	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	738					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	281					
D	"ADEL, CITY OF"	85430460	N	CSS	450276-MCSSSNG-450281	11/1/1993	8/31/2016	365	N	0	31520	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	636					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	242					
D	ALBANY UTILITY BOARD	39064605	N	CSS	450337-MCSSSNG-450341	11/1/1993	8/31/2016	365	N	0	376651	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	7605					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	2897					
D	"ANDERSONVILLE, CITY OF"	964469746	N	CSS	450350-MCSSSNG-450354	11/1/1993	8/31/2016	365	N	0	1748	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	36					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	14					
D	"ASHBURN, CITY OF"	27157452	N	CSS	450382-MCSSSNG-450386	11/1/1993	8/31/2016	365	N	0	24350	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	492					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	187					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	CSS	450391-MCSSSNG-457258	4/1/2016	8/31/2017	365	N	0	20890036	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	WR	SNG STORAGE	95	677777	Zone 0	0	421818					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	160693					
D	ATMOS  ENERGY  CORPORATION	613205723	N	CSS	450419-MCSSSNG-455620	8/1/2015	8/31/2016	365	N	0	12945	
A	ATMOS ENERGY CORP	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	261					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	99					
D	ATMOS ENERGY CORPORATION - MISS DIVISION	6964415	N	CSS	450443-MCSSSNG-450449	11/1/1993	8/31/2016	365	N	0	1011272	
A	ATMOS ENERGY CORP	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	20420					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	7779					
D	"AUSTELL, CITY OF"	118271527	N	CSS	450470-MCSSSNG-450483	7/1/2014	8/31/2016	365	N	0	872423	
P	WR	SNG STORAGE	95	677777	Zone 0	0	17616					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	6711					
D	"BAINBRIDGE, CITY OF"	943231167	N	CSS	450487-MCSSSNG-454507	6/1/2015	8/31/2016	365	N	0	51931	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1049					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	400					
D	BAMBERG BOARD OF PUBLIC WORKS	3783	N	CSS	450496-MCSSSNG-450500	11/1/2006	8/31/2016	365	N	0	21196	
A	"SCANA ENERGY MARKETING, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	428					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	163					
D	"BENNETTSVILLE, CITY OF"	3793	N	CSS	450519-MCSSSNG-450523	11/1/2006	8/31/2016	365	N	0	41600	
A	"SCANA ENERGY MARKETING, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	840					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	320					
D	"BLAKELY, CITY OF"	21333737	N	CSS	450547-MCSSSNG-454516	6/1/2015	8/31/2016	365	N	0	22736	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	459					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	175					
D	"BOAZ, CITY OF"	178126736	N	CSS	450563-MCSSSNG-450570	11/1/1993	3/31/2023		N	0	69110	n1
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1395					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	531					
D	"BROOKSIDE, TOWN OF"	1511328	N	CSS	450710-MCSSSNG-450714	11/1/1993	8/31/2016	365	N	0	17859	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	361					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	138					
D	"CAIRO, CITY OF"	59525139	N	CSS	450730-MCSSSNG-450734	11/1/1993	8/31/2016	365	N	0	44120	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	891					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	339					
D	"CALERA, CITY OF"	872809272	N	CSS	450739-MCSSSNG-450745	11/1/1993	8/31/2016	365	N	0	42977	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	868					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	331					
D	"CAMILLA, CITY OF"	78129038	N	CSS	450755-MCSSSNG-454530	6/1/2015	8/31/2016	365	N	0	30550	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	617					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	235					
D	"CAMP HILL, TOWN OF"	1679117	N	CSS	450766-MCSSSNG-450770	11/1/1993	8/31/2016	365	N	0	13408	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	271					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	103					
D	CANTON MUNICIPAL UTILITIES	155768278	N	CSS	455072-MCSSSNG-455073	7/1/2015	8/31/2016	365	N	0	6217	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	126					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	48					
D	"CARTERSVILLE, CITY OF"	84351477	N	CSS	450787-MCSSSNG-450795	7/1/1997	8/31/2017	365	N	0	399379	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	8064					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	3072					
D	CHATTANOOGA GAS COMPANY	198402935	Y	CSS	450813-MCSSSNG-450819	11/1/1994	8/31/2016	365	N	0	710484	
A	ATLANTA GAS LIGHT COMPANY	Y										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	WR	SNG STORAGE	95	677777	Zone 0	0	14346					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	5465					
D	"CHILDERSBURG, CITY OF"	195675467	N	CSS	450834-MCSSSNG-450838	11/1/1993	8/31/2016	365	N	0	54266	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1096					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	418					
D	CITY OF AMERICUS NATURAL GAS SERV DEPT	938792447	N	CSS	450849-MCSSSNG-454535	6/1/2015	8/31/2016	365	N	0	97439	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1968					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	750					
D	CITY OF ORANGEBURG DEPT. OF PUBLIC UTILITIES	7118	N	CSS	450862-MCSSSNG-450866	11/1/2006	8/31/2016	365	N	0	167985	
A	"SCANA ENERGY MARKETING, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	3392					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1292					
D	"CLAXTON, CITY OF"	883647968	N	CSS	450877-MCSSSNG-450882	11/1/1993	8/31/2016	365	N	0	46021	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	929					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	354					
D	"COCHRAN, CITY OF"	26531798	N	CSS	450890-MCSSSNG-450895	11/1/1993	8/31/2016	365	N	0	66236	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1337					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	509					
D	"COLQUITT, CITY OF"	38917290	N	CSS	450925-MCSSSNG-450928	11/1/1993	8/31/2016	365	N	0	5758	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	116					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	44					
D	"CORDELE, CITY OF"	79375341	N	CSS	451025-MCSSSNG-451030	11/1/1993	8/31/2016	365	N	0	80625	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1628					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	620					
D	"CORDOVA, CITY OF"	126227297	N	CSS	451035-MCSSSNG-451039	11/1/1993	8/31/2016	365	N	0	20057	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	405					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	154					
D	CULLMAN-JEFF. COS. GAS DISTRICT	61142501	N	CSS	451048-MCSSSNG-455712	9/1/2015	8/31/2018	365	N	0	322795	
A	TEXICAN NATURAL GAS COMPANY	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	6518					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	2483					
D	"CUTHBERT, CITY OF"	27004035	N	CSS	451063-MCSSSNG-451067	11/1/1993	8/31/2016	365	N	0	25416	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	513					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	195					
D	DADEVILLE GAS BOARD	75450908	N	CSS	451072-MCSSSNG-451076	11/1/1993	8/31/2016	365	N	0	34924	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	705					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	269					
D	DALTON UTILITIES	102011525	N	CSS	451084-MCSSSNG-451090	11/1/1993	8/31/2016	365	N	0	505649	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	10210					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	3890					
D	DALTON UTILITIES	102011525	N	CSS	451084-MCSSSNG-451091	11/1/1993	8/31/2016	365	N	0	391625	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	7908					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	3013					
D	"DAWSON, CITY OF"	95844833	N	CSS	451095-MCSSSNG-454569	6/1/2015	8/31/2016	365	N	0	39339	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	794					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	302					
D	DECATUR COUNTY BOARD OF	70332051	N	CSS	451106-MCSSSNG-451110	11/1/1993	8/31/2016	365	N	0	4326	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	87					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	33					
D	DEKALB-CHEROKEE COS. GAS DST.	75471292	N	CSS	451118-MCSSSNG-451127	11/1/1993	8/31/2016	365	N	0	182692	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	3689					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1405					
D	"DOERUN, CITY OF"	31174451	N	CSS	451142-MCSSSNG-451146	11/1/1993	8/31/2016	365	N	0	8106	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	164					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	62					
D	"DONALSONVILLE, CITY OF"	93379683	N	CSS	451151-MCSSSNG-451155	11/1/1993	8/31/2016	365	N	0	8106	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	164					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	62					
D	"DOUGLAS, CITY OF"	70326467	N	CSS	451169-MCSSSNG-451174	11/1/1993	8/31/2016	365	N	0	65171	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1316					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	501					
D	"DUBLIN, CITY OF"	79369047	N	CSS	451192-MCSSSNG-451198	11/1/1993	8/31/2016	365	N	0	142855	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	2884					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1099					
D	"EATONTON, CITY OF"	97389175	N	CSS	451209-MCSSSNG-451215	11/1/1993	8/31/2016	365	N	0	97885	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1977					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	753					
D	"EDISON, CITY OF"	48542617	N	CSS	451226-MCSSSNG-451230	11/1/1993	8/31/2016	365	N	0	8106	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	164					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	62					
D	"FAYETTE, CITY OF"	920139	N	CSS	451343-MCSSSNG-451345	11/1/1993	8/31/2016	365	N	0	57303	
A	"MISSISSIPPI RIVER GAS, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1157					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	441					
D	"FITZGERALD WATER, LIGHT & BOND"	78115656	N	CSS	451395-MCSSSNG-454595	6/1/2015	8/31/2016	365	N	0	63004	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1272					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	485					
D	"FORT GAINES, CITY OF"	26590745	N	CSS	451418-MCSSSNG-451423	11/1/1993	8/31/2016	365	N	0	7192	
A	CITY SERVICES	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	145					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	55					
D	FORT VALLEY UTILITIES COMMISSION	130810625	N	CSS	451428-MCSSSNG-451434	11/1/1993	8/31/2016	365	N	0	114926	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	2321					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	884					
D	"FULTONDALE, CITY OF"	40654634	N	CSS	451442-MCSSSNG-451447	11/1/1993	8/31/2016	365	N	0	209187	
