H	National Fuel Gas Supply Corporation	C000046	4/2/2018	O	4/1/2018	T	T	Ashley Koerntgen 716/857-7043				
D	"Crown Energy Services, Inc."	129653858	N	EFT	E12074	8/25/2015	8/24/2016	365	N	300	0	
P	M2	E of Hend / W & N of Overbeck	95	APPZN2		280	0					
P	M2	D&L App Zn 9	95	APPZN9		20	0					
P	MQ	Nfg Dist. City-Gate - PA	95	NFGDC-PA		280	0					
P	MQ	Nfg Dist. City-Gate - PA	95	NFGDC-PA		20	0					
D	Eastern Natural Gas Company	186126777	N	EFT	E00525	8/1/1993	3/31/2007	365	N	10058	0	 o1
A	CenterPoint Energy Resources Corp.	N										
P	M2	E of Hend / W & N of Overbeck	95	APPZN2		726	0					
P	M2	Columbia	95	COLUMBIA		1436	0					
P	M2	Nfgsc Storage	95	NFSTOR		4376	0					
P	M2	Tgp Zone 4	95	TGP ZONE 4		2108	0					
P	M2	TGP4 Non RoseLake/Andrews Sett	95	TGP4NON RLK/AND		1412	0					
P	MQ	Eastern Natural City Gate	95	ENGCG		726	0					
P	MQ	Eastern Natural City Gate	95	ENGCG		1436	0					
P	MQ	Eastern Natural City Gate	95	ENGCG		4376	0					
P	MQ	Eastern Natural City Gate	95	ENGCG		2108	0					
P	MQ	Eastern Natural City Gate	95	ENGCG		1412	0					
D	"EnergyMark, LLC"	832686880	N	EFT	E12331	12/15/2017	6/14/2048	0	N	2600	0	
P	M2	RIDGWAY MARKET POOL	95	RIDGWAY		2600	0					
P	MQ	Nfg Dist. Mineral Springs	95	NFGDC-MSMX		2600	0					
D	"KIDN Marketing, Ltd"	946944402	N	EFT	E11127	7/1/2007	3/31/2016	365	N	2203	0	
P	M2	Lamont	95	420072		1450	0					
P	M2	Roselake	95	420527		245	0					
P	M2	Nfgsc Storage	95	NFSTOR		508	0					
P	MQ	Kane Gas City Gate	95	PSN1301336		1450	0					
P	MQ	Kane Gas City Gate	95	PSN1301336		245	0					
P	MQ	Kane Gas City Gate	95	PSN1301336		508	0					
