H	"Destin Pipeline Company, L.L.C"	C000055	4/2/2018	O	4/1/2018	F	Bryan Escobedo (346) 241-3574					
												
D	BP America Production Company	8966889	Y	FT-2	FT2-DES-0001	12/17/1997	12/31/2099		N	119866		
A	BP Energy Company	Y										
P	M2	Okeanos to Destin Logical	95	30005		119866						
P	MQ	Gulfstream	95	20283		59933						
P	MQ	Destin to Florida Gas	95	20281		59933						
												
D	BP Energy Company	625275755	Y	FT-1	FT1-DES-0008	5/1/2011	10/31/2017		N	10000		
P	M2	Midcon to Destin	95	11298		10000						
P	MQ	Destin to Gulfstream	95	20282		10000						
												
D	Calypso Exploration LLC	710845661	N	FT-2	FT2-DES-0003	12/31/2013	12/31/2099		N	13509		
A	ConocoPhillips Company	N										
P	M2	MC254 DELTA HOUSE	95	11286		13509						
P	MQ	Destin to FLORIDA GAS	95	20281		13509						
												
D	Calypso Exploration LLC	710845661	N	FT-2	FT2-DES-0048	11/10/2016	12/31/2099		N	476		
P	MQ	FLORIDA GAS	95	20281		476						
P	M2	MC254 DELTA HOUSE	95	11286		476						
												
D	Chevron USA Inc.	9140559	N	FT-1	FT1-DES-0010	7/8/2005	10/31/2021		N	70000		
P	M2	PETAL	95	11298		50000						
P	M2	Midcon to Destin	95	11289		20000						
P	MQ	CHEVRON REFINERY	95	20280		70000						
												
D	"Crux1, LLC"	453532882	N	FT-2	FT2-DES-0004	10/23/2014	12/31/2099		N	13419		
A	Cokinos Energy Corporation	N										
P	M2	MC254 DELTA HOUSE	95	11286		13419						
P	MQ	Destin to FLORIDA GAS	95	20281		13419						
												
D	"Deep Gulf Energy II, LLC"	78366183	N	FT-2	FT2-DES-0005	10/3/2014	12/31/2099		N	10626		
A	"TriNova Energy Services, Inc."	N										
P	MQ	Destin to Florida Gas	95	20281		10626						
P	M2	MC254 DELTA HOUSE	95	11286		10626						
												
D	Deep Gulf Energy III	80266429	N	FT-2	FT2-DES-0049	10/1/2016	12/31/2099		N	2970		
A	"TriNova Energy Services, Inc."	N										
P	M2	MC254 DELTA HOUSE	95	11286		2970						
P	MQ	Destin to Florida Gas	95	20281		2970						
												
												
D	ENI Petroleum US LLC	605981682	N	FT-2	FT2-DES-0006	2/1/2008	12/31/2099		N	516		
A	ENI Trading & Shipping Inc	N										
P	MQ	Destin to Florida Gas	95	20281		516						
P	M2	Okeanos to Destin	95	30005		516						
												
D	"EnVen Energy Ventures, LLC"	826510765	N	FT-2	FT2-DES-0007	2/2/1998	12/31/2099		N	2338		
P	MQ	Petal Storage to Destin	95	11298		0						
P	M2	MP281	95	11290		2338						
P	MQ	Destin to SNG	95	20286		47						
P	MQ	Destin to Southern Pines Storage	95	20291		117						
P	MQ	Destin to TGP	95	20287		0						
P	MQ	Destin to Transco	95	20288		257						
P	MQ	Destin to FLORIDA GAS	95	20281		935						
P	MQ	Destin to Gulf South	95	20282		47						
P	MQ	Destin to Gulfstream	95	20283		935						
												
D	ExxonMobil Corporation	1213214	N	FT-2	FT2-DES-0010	1/1/1999	12/31/2099		N	70000		
A	Cross Timbers Energy Services	N										
P	M2	Petal Gas Storage	95	11298		50000						
P	M2	Midcontinent Express	95	11289		20000						
P	MQ	Destin to Chevron	95	20280		70000						
												
												
D	ExxonMobil Corporation	1213214	N	FT-2	FT2-DES-0009	3/1/2000	12/31/2099		N	0		
A	Cross Timbers Energy Services	N										
P	M2	VK989 Pompano MICA	95	11296		0						
