H	Northern Natural Gas Company	C000060	4/2/2018	O	4/1/2018	B	B	Laura Demman (402) 398-7278				
D	AG PROCESSING INC A COOPERATIVE	5275631	N	TFX_M_1_12	105506	11/1/2015	10/31/2020		N	5120	0	k6/k7
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	3320	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	1800	0					
P	MQ	SIOUX CITY IA #1A	95	518	Market	120	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	200	0	yi1				
P	MQ	SHELDON IA #1	95	3342	Market	800	0					
P	MQ	DAWSON MN #1	95	3446	Market	1800	0					
P	MQ	MANNING IA #1	95	3718	Market	500	0					
P	MQ	AGP TBS #1	95	62856	Market	900	0					
P	MQ	EMMETSBURG IA #2	95	62917	Market	800	0					
P	MQ	EAGLE GROVE IA #1	95	3278	Market	200	0					
D	AG PROCESSING INC A COOPERATIVE	5275631	N	TF_M_1_12	132546	11/1/2017	10/31/2023		N	215	0	k6/k7
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	215	0					
P	MQ	EAGLE GROVE IA #1	95	3278	Market	215	0					
D	AGRA RESOURCES LLC	9905530	N	TF_M_1_12	109564	4/1/2018	10/31/2018		N	1600	0	k6/k7
A	"ETHANOL PRODUCTS, LLC"	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	1600	0					
P	MQ	GLENVILLE MN #1	95	71378	Market	4375	0					
D	AGRA RESOURCES LLC	9905530	N	TF_M_1_12	109564	11/1/2018	10/31/2019		N	4375	0	k6/k7
A	"ETHANOL PRODUCTS, LLC"	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	1600	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	2775	0					
P	MQ	GLENVILLE MN #1	95	71378	Market	4375	0					
D	AGRA RESOURCES LLC	9905530	N	TF_M_1_12	109564	11/1/2019	11/30/2019		N	1475	0	k6/k7
A	"ETHANOL PRODUCTS, LLC"	N										
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	1475	0					
P	MQ	GLENVILLE MN #1	95	71378	Market	1475	0					
