H	"Algonquin Gas Transmission, LLC"	C000084	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
D	"ANP BELLINGHAM ENERGY COMPANY, LLC"	26955	N	AFTCLBE	99039-R1	4/1/2001	3/31/2021		N	110000		YA1
P	MQ	ANP BELLINGHAM ENERGY COMPANY (NORF	95	814	AGT	110000						
P	M2	LATERAL Y SYSTEM	95	80012	AGT	110000						
D	BAY STATE GAS COMPANY	69340214	N	AFT-1	510066-R3	12/1/2017	11/30/2023		Y	20000		L48
A	REPSOL ENERGY NORTH AMERICA CORPORATION	N										
P	M2	"SALEM ESSEX CO., MA (ESSEX,MA)"	95	215	AGT	20000						
P	MQ	BAY STATE GAS - SHARON STA.-(NORFOL	95	823	AGT	20000						
D	BAY STATE GAS COMPANY	69340214	N	AFT-1	510352-R2	11/1/2016	10/31/2023		N	48000		L61
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	30000						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	48000						
P	MQ	BAY STATE GAS - SHARON STA.-(NORFOL	95	823	AGT	18000						
D	BAY STATE GAS COMPANY	69340214	N	AFT1AIM	510804-R2	1/7/2017	1/6/2032		Y	30000		
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
A	VITOL INC.	N										
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	10000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	30000						
P	MQ	BAY STATE GAS - SHARON STA.-(NORFOL	95	823	AGT	20000						
D	BAY STATE GAS COMPANY	69340214	N	AFT-E	93001EC-R3	2/1/2013	10/31/2019		N	51632		L21/O22
A	"EXELON GENERATION COMPANY, LLC"	N										
P	MQ	"TAUNTON (BRISTOL, MA)"	95	11	AGT	13225						
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	23491						
P	MQ	"WEST MEDWAY (NORFOLK,MA)"	95	36	AGT	5915						
P	MQ	"SOUTH ATTLEBORO (BRISTOL, MA)"	95	37	AGT	4249						
P	MQ	"CANTON (NORFOLK,MA)"	95	58	AGT	9431						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	27604						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	24028						
D	BAY STATE GAS COMPANY	69340214	N	AFT-1	93001F-R3	11/1/2016	10/31/2022		N	18490		L64
A	"EMERA ENERGY SERVICES, INC."	N										
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	18490						
P	M2	MENDON	95	205	AGT	18490						
D	BAY STATE GAS COMPANY	69340214	N	AFT-1	93201AC-R3	2/1/2013	10/31/2019		N	5489		L21
A	"DTE ENERGY TRADING, INC."	N										
A	"EXELON GENERATION COMPANY, LLC"	N										
P	MQ	"TAUNTON (BRISTOL, MA)"	95	11	AGT	5489						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	4235						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	1254						
