H	"East Tennessee Natural Gas, LLC"	C000085	4/2/2018	O	4/1/2018	T	T	LISA  A. CONNOLLY 713-627-4102				
D	"AFG INDUSTRIES, INC"	3374048	N	FT-A	31095-R1	11/1/1999	10/31/2010	1825	N	7300		
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	7300						
P	MQ	AFG GREENLAND	95	59073	ETN	7300						
D	"AFG INDUSTRIES, INC"	3374048	N	FT-ART	34555-R2	7/1/2006	10/31/2010	1825	N	2300		L30
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2300						
P	MQ	AFG GREENLAND	95	59073	ETN	2300						
D	ALCOA INC.	148728470	N	FT-A	30758-R1	10/1/1999	10/31/2005	1825	N	18000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	18000						
P	MQ	ALCOA SOUTH	95	59045	ETN	14761						
P	MQ	ALCOA NORTH	95	59047	ETN	3239						
D	APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY	872636550	N	FT-A	16730-R2	11/1/2015	10/31/2016	1825	N	850		L23
P	MQ	APPALACHIAN CASTLEWOOD DELIVERY	95	59148	ETN	350						
P	MQ	APPALACHIAN LEBANON	95	59150	ETN	500						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	850						
D	"ARP MOUNTAINEER PRODUCTION, LLC"	30181	N	FT-L	410502-R1	6/1/2014	3/31/2022		Y	15000		YA1
P	MQ	JEWELL RIDGE	95	50091	ETN	15000						
P	M2	GEOMET OPERATING-JEWELL RIDGE-TAZEW	95	59338	ETN	15000						
D	ATHENS UTILITIES BOARD	789516465	N	LNGS	33257-R2	4/1/2006	10/31/2010	1825	N		6695	L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		1439					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		1439					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		1439					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		1439					
D	ATHENS UTILITIES BOARD	789516465	N	FT-A	34798-R2	1/1/2006	10/31/2010	1825	N	0		L30/O31
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	ATHENS	95	59041	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	0						
D	ATHENS UTILITIES BOARD	789516465	N	FT-A	4234-R2	11/1/2005	10/31/2015	1825	N	5779		L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3779						
P	MQ	ATHENS	95	59041	ETN	4749						
P	MQ	ATHENS RICEVILLE	95	59141	ETN	1030						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	2000						
