H	"Gulfstream Natural Gas System, LLC"	C000087	4/2/2018	O	4/1/2018	T	T	LISA  A. CONNOLLY 713-627-4102				
D	Central Florida Gas Company	185379989	N	FTS	9000107-R1	6/1/2002	5/31/2022		Y	10000		
P	S9	"DIGP 20"" Offshore - Rock Road"	95	8205164	GZN1	10000						
P	S9	Williams Mobile Bay - Coden	95	8205171	GZN1	10000						
P	S9	Destin - Pascagoula Plant	95	8205175	GZN1	10000						
P	S9	Gulfsouth - Bayou Jonas	95	8205177	GZN1	10000						
P	S9	DEFS Mobile Bay Processing	95	8205179	GZN1	10000						
P	S9	Coden - TGPL IN 	95	9002960	GZN1	10000						
P	S9	SESH	95	9004282	GZN1	10000						
P	S9	Gulf LNG Bayou Casotte	95	9006022	GZN1	10000						
P	S8	CFG - Clear Springs	95	8205217	GZN1	10000						
P	S8	CFG - Baseball City	95	8205219	GZN1	10000						
D	"City of Lakeland, Florida"	20997912	N	FTS	9034863-R1	4/1/2006	5/31/2022		Y	30000		
P	S9	Williams Mobile Bay - Coden	95	8205171	GZN1	30000						
P	S9	Destin - Pascagoula Plant	95	8205175	GZN1	30000						
P	S9	Gulfsouth - Bayou Jonas	95	8205177	GZN1	30000						
P	S9	DEFS Mobile Bay Processing	95	8205179	GZN1	30000						
P	S9	"DIGP 20"" Offshore - Rock Road"	95	8205164	GZN1	30000						
P	S9	Coden - TGPL IN 	95	9002960	GZN1	30000						
P	S9	SESH	95	9004282	GZN1	30000						
P	S9	Gulf LNG Bayou Casotte	95	9006022	GZN1	30000						
P	S8	Lakeland - McIntosh Plant	95	8205215	GZN1	30000						
D	"City of Lakeland, Florida"	20997912	N	FTS	9198623-R1	4/7/2017	5/31/2037		Y	10000		
P	S9	"DIGP 20"" Offshore - Rock Road"	95	8205164	GZN1	10000						
P	S9	Williams Mobile Bay - Coden	95	8205171	GZN1	10000						
P	S9	Destin - Pascagoula Plant	95	8205175	GZN1	10000						
P	S9	Gulfsouth - Bayou Jonas	95	8205177	GZN1	10000						
P	S9	DEFS Mobile Bay Processing	95	8205179	GZN1	10000						
P	S9	Coden - TGPL IN 	95	9002960	GZN1	10000						
P	S9	SESH	95	9004282	GZN1	10000						
P	S9	Gulf LNG Bayou Casotte	95	9006022	GZN1	10000						
P	S8	Lakeland - McIntosh Plant	95	8205215	GZN1	10000						
D	"City of Lakeland, Florida"	20997912	N	FTS	9199888-R1	4/7/2017	12/31/2027		N	10000		
P	S9	"DIGP 20"" Offshore - Rock Road"	95	8205164	GZN1	10000						
P	S9	Williams Mobile Bay - Coden	95	8205171	GZN1	10000						
P	S9	Destin - Pascagoula Plant	95	8205175	GZN1	10000						
P	S9	Gulfsouth - Bayou Jonas	95	8205177	GZN1	10000						
P	S9	DEFS Mobile Bay Processing	95	8205179	GZN1	10000						
P	S9	Coden - TGPL IN 	95	9002960	GZN1	10000						
P	S9	SESH	95	9004282	GZN1	10000						
P	S9	Gulf LNG Bayou Casotte	95	9006022	GZN1	10000						
P	S8	Cane Island Plt	95	8205224	GZN1	10000						
D	"Duke Energy Florida, Inc."	6923700	N	FTS	9000105-R1	12/1/2002	8/31/2022		Y	90000		O1/L2
P	S9	"DIGP 20"" Offshore - Rock Road"	95	8205164	GZN1	90000						
P	S9	Williams Mobile Bay - Coden	95	8205171	GZN1	90000						
P	S9	Destin - Pascagoula Plant	95	8205175	GZN1	90000						
P	S9	Gulfsouth - Bayou Jonas	95	8205177	GZN1	90000						
P	S9	DEFS Mobile Bay Processing	95	8205179	GZN1	90000						
P	S9	Coden - TGPL IN 	95	9002960	GZN1	90000						
P	S9	SESH	95	9004282	GZN1	90000						
P	S9	Gulf LNG Bayou Casotte	95	9006022	GZN1	90000						
P	S8	FPC - Hines Plant	95	8205201	GZN1	90000						
P	S8	FPC - Tiger Bay	95	8205206	GZN1	90000						
P	S8	FPC - Intercession City Plant	95	8205218	GZN1	90000						
D	"Duke Energy Florida, Inc."	6923700	N	FTS	9000665-R1	7/16/2003	5/31/2024		Y	30000		
P	S9	"DIGP 20"" Offshore - Rock Road"	95	8205164	GZN1	30000						
