H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
D	AK STEEL CORPORATION	606072130	N	LLFT	870243-R1	1/1/2009	12/31/2009	365	N	17500		
A	"ENERNOC, INC."	N										
P	M2	ANR - GLEN KARN - (72903)	95	72903	2	17500						
P	MQ	"AK STEEL - WARREN CO., OH"	95	73170	2	17500						
D	"ALGONQUIN GAS TRANSMISSION, LLC"	6951446	Y	SS-1	400226-R1	11/1/1999	10/31/2012	365	N		189140	
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		2702					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		976	YN21				
P	MQ	AGT - ALGONQUIN FOR NOMINATIONS PUR	95	79816	3		0					
D	"ALGONQUIN GAS TRANSMISSION, LLC"	6951446	Y	FSS-1	400517-R1	9/1/1994	4/30/2012	365	N		668220	
P	M2	ZONE M3 STORAGE POINT	95	79513	3		3435	YN21				
P	MQ	ZONE M3 STORAGE POINT	95	79513	3		11137	YN20				
D	"ALGONQUIN GAS TRANSMISSION, LLC"	6951446	Y	CDS	800443-R2	4/1/2016	10/31/2021		N	11137		L9
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4781						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	6356						
P	M2	ZONE M3 STORAGE POINT	95	79513	3	11137						
D	AMEREN ILLINOIS COMPANY DBA AMEREN ILLINOIS	6936017	N	FT-1	830064-R2	11/1/2013	10/31/2014	365	N	500		L34/X35
P	MQ	"CEN IL PUB SERV -GOREVILLE, IL"	95	71242	1	500						
D	"ANNA, ILLINOIS, CITY OF"	80009905	N	SCT	800001-R1	6/1/1993	10/31/2012	365	N	3041		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"ANNA, IL"	95	70295	1	3041						
D	"APPVION, INC."	89581557	N	CDS	800525-R1	10/1/1997	10/31/1999	365	N	250		X2
P	MQ	UGI CENTRAL - VALLEY GAS - MARTINSB	95	71189	3	250						
D	ARKANSAS LOUISIANA GAS COMPANY FOR BEEBE AND CABOT	5347	N	SS-1	400100-R1	6/1/1993	4/30/2012	365	N		37350	YA1
P	MQ	"ARKLA INC. - CABOT, AR"	95	70107	1		623					
P	MQ	"ARKLA INC. - BEEBE, AR"	95	70108	1		623					
P	MQ	"ARKLA INC. - LIGHT, AR"	95	70109	1		623					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		192	YN21				
D	ARKANSAS LOUISIANA GAS COMPANY FOR BEEBE AND CABOT	5347	N	SCT	800175-R1	6/1/1994	10/31/2012	365	N	5987		YA1/X5
P	MQ	"ARKLA INC. - CABOT, AR"	95	70107	1	5987						
P	MQ	"ARKLA INC. - BEEBE, AR"	95	70108	1	1750						
P	MQ	ZONE M1 STORAGE POINT	95	79511	1	192						
D	"ARKANSAS LOUISIANA GAS COMPANY FOR PARAGOULD, AR"	5346	N	SCT	800002-R1	6/1/1994	10/31/2012	365	N	1766		YA1/X5
P	MQ	"ARKLA INC. - LIGHT, AR"	95	70109	1	1766						
P	MQ	"ARKLA -MCRAE JUNCT. -WHITE, AR"	95	72597	1	650						
