H	EQUITRANS LP	C000095	4/1/2018	O	4/1/2018	T	T	JUSTIN MACKEN 412-395-5554				
D	ANTERO RESOURCES CORPORATION	831003012	N	FTS	611	4/1/2012	8/31/2022		Y	50000		
P	MQ	CRAYNE (TO TETCO)	95	11180	MAINLINE	50000						
P	M2	MORRISON	95	24624	MAINLINE	50000						
D	ANTERO RESOURCES CORPORATION	831003012	N	FTS	792	4/1/2014	12/31/2024		Y	100000		
P	MQ	JEFFERSON	95	73713	MAINLINE	100000						
P	M2	SEDALIA	95	M5209977	MAINLINE	100000						
D	ANTERO RESOURCES CORPORATION	831003012	N	FTS	791	8/1/2014	6/30/2025		Y	100000		
P	M2	JARVISVILLE	95	M5209978	MAINLINE	50000						
P	MQ	JEFFERSON	95	73713	MAINLINE	100000						
P	M2	MORRISON	95	24624	MAINLINE	50000						
D	ARSENAL RESOURCES ENERGY LLC	79678693	N	FTS	510	10/1/2010	11/30/2021		Y	26000		
A	"ARM ENERGY MANAGEMENT, LLC"	N										
P	M2	EAST COMET	95	24562	MAINLINE	1						
P	MQ	JEFFERSON	95	73713	MAINLINE	25998						
P	MQ	PICKENPAW TO TCO	95	24438	MAINLINE	1						
P	MQ	PRATT EQT TO DTI	95	11027	MAINLINE	1						
P	M2	WILSONBURG II	95	5100117	MAINLINE	25999						
D	ARSENAL RESOURCES ENERGY LLC	79678693	N	FTS	700	9/1/2012	1/31/2026		Y	50000		
A	"ARM ENERGY MANAGEMENT, LLC"	N										
P	MQ	BRADEN RUN	95	18120	MAINLINE	49998						
P	M2	EAST COMET	95	24562	MAINLINE	49999						
P	MQ	PRATT EQT TO DTI	95	11027	MAINLINE	1						
P	MQ	RHINEHART (TO TCO)	95	11169	MAINLINE	1						
P	M2	WILSONBURG II	95	5100117	MAINLINE	1						
D	BP ENERGY COMPANY	625275755	N	FTS	1477	11/7/2017	12/31/2017		N	25000		
P	M2	CRAYNE (FROM TETCO)	95	11026	MAINLINE	25000						
P	MQ	ISALY TO REX	95	60062D	MAINLINE	25000						
D	BROOKLYN UNION GAS COMPANY	6978795	N	STS-1	54	9/1/1993	4/1/2002	365	N	8465		O1
P	M2	CRAYNE (FROM TETCO)	95	11026	MAINLINE	8465						
P	MQ	CRAYNE (TO TETCO)	95	11180	MAINLINE	16193						
