H	Dauphin Island Gathering Partners	C000096	2/1/2018	R	1/1/2018	T		Tyler Culbertson (303) 605-2278				
D	"W & T Energy VI, LLC"	962621954	N	FT-2 (MP)	305418A	8/20/1998			Y	3300		m1
A	"W&T Offshore, Inc."	N										
P	M2	MP 225	95	73070-1/4092601		3300						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		3300						
D	"W & T Energy VI, LLC"	962621954	N	FT-2 (MP)	305419A	8/20/1998			Y	6600		m1
A	"W&T Offshore, Inc."	N										
P	M2	MP 225	95	73070-1/4092601		6600						
P	MQ	MBPP Inlet	95	73070-1/4092601 73070-2/4092602		6600						
D	"Energy XXI GOM, LLC"	135905658	N	FT-2 (MP)	305420B	8/20/1998			Y	349		m1
A	"W&T Offshore, Inc."	N										
P	M2	MP 225	95	73070-1/4092601		349						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		349						
D	"Energy XXI GOM, LLC"	135905658	N	FT-2 (MP)	305421B	8/20/1998			Y	698		m1
A	"W&T Offshore, Inc."	N										
P	M2	MP 225	95	73070-1/4092601		698						
P	MQ	MBPP Inlet	95	73070-1/4092601 73070-2/4092602		698						
D	"Noble Energy, Inc."	52877586	N	FT-2 (MP)	305431	8/1/2005			Y	4704		m1
P	M2	MP 225	95	73070-1/4092601		4704						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		4704						
D	Apache Deepwater LLC	962857335	N	FT-2 (MP)	305433A	8/1/2005			Y	658		m1
A	Apache Corp	N										
P	M2	MP 225	95	73070-1/4092601		658						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		658						
D	Chevron U.S.A. Inc.	830068586	N	FT-1 (MP)	305435	10/1/2005	10/31/2009		Y	6500		m2
P	M2	MP 225	95	73070-1/4092601		6500						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		6500						
D	"Cox Oil Offshore, L.L.C."	96613690	N	FT-2 (MP)	305501A	4/16/1998			Y	11500		m1
A	"Cima Energy, LTD"	N										
P	M2	AST73-MP	95	234059		11500						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		11500						
D	"Cox Oil Offshore, L.L.C."	96613690	N	FT-2 (MP)	305502A	4/16/1998			Y	3000		m1
A	"Cima Energy, LTD"	N										
P	M2	AST73-MP	95	234059		3000						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		3000						
D	ANKOR E&P Holdings Corporation	82-517-6147	N	FT-2 (MP)	305509B	4/16/1998			Y	3961		m1
A	Superior Natural Gas Corporation	N										
P	M2	AST73-MP	95	234059		3961						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		3961						
D	"STX Energy E&P Offshore Management, LLC"		N	FT-2 (MP)	305509C	4/16/1998			Y	1064		m1
A	Superior Natural Gas Corporation	N										
P	M2	AST73-MP	95	234059		1064						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		1064						
D	"SCL Resources, LLC"		N	FT-2 (MP)	305509D	4/16/1998			Y	375		m1
A	Superior Natural Gas Corporation	N										
P	M2	AST73-MP	95	234059		375						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		375						
D	"EnVen Energy Ventures, LLC"	826510765	N	FT-2 (MP)	305414A	8/20/1998			Y	494		m1
P	M2	MP 225	95	73070-1/4092601		494						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		494						
D	"EnVen Energy Ventures, LLC"	826510765	N	FT-2 (MP)	305415A	8/20/1998			Y	988		m1
P	M2	MP 225	95	73070-1/4092601		988						
P	MQ	MBPP Inlet	95	73070-1/4092601 73070-2/4092602		988						
D	"Noble Energy, Inc."	52877586	N	FT-2 (MP)	305408C	4/16/1998			Y	115		m1
P	M2	MP 225	95	73070-1/4092601		115						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		115						
D	"Noble Energy, Inc."	52877586	N	FT-2 (MP)	305400B	4/16/1998			Y	115		m1
P	M2	MP 225	95	73070-1/4092601		115						
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		115						
D	"EPL Oil & Gas, Inc."	23113140	N	FT-2 (MP)  	305445	11/1/2014			Y	6000		m2
A	Cokinos Energy											
P	MQ	MBPP Inlet	95	4090401 4090801 4090802 4093801		6000						
P	M2	MP 225	95	73070-1/4092601		6000						
F	1	Term is for life of lease therefore there is no primary contract ending date or evergreen provision.										
F	2	30 day Evergreen										
