H	"WBI Energy Transmission, Inc."	C000111	4/2/2018	O	4/1/2018	F	F	Lynn Lindblom 701-530-1604	f1/g1			
D	"United Energy Trading, LLC"	119162860	N	FS-1	FS-10	11/8/2011	3/31/2022		N		1510000	
P	IJ	WBI-Agg Storage (Inject)	95	5800			10000					
P	WR	WBI-Agg Storage (Withdraw)	95	5801			10000					
P	SB	WBI-Agg Storage (Cap.)	95	77776			1510000					
D	Montana-Dakota Utilities Co.	6962286	Y	FS-1	FS-15	7/15/2015	7/14/2035		N		12364007	
P	IJ	WBI-Agg Storage (Inject)	95	5800			118172					
P	WR	WBI-Agg Storage (Withdraw)	95	5801			210665					
P	SB	WBI-Agg Storage (Cap.)	95	77776			12364007					
D	Montana-Dakota Utilities Co.	6962286	Y	FT-1	FT-8	7/1/2017	6/30/2022		N	290748		
P	M2	Malta-WBI Midstream (NG)	95	871		484						
P	MQ	MDU-Malta Border	95	1070		484						
P	M2	Whitewater	95	880		10320						
P	MQ	MDU-Malta Border	95	1070		270						
P	MQ	MDU-Whitewater Border	95	1080		26						
P	MQ	MDU-Hinsdale Border	95	1120		81						
P	MQ	MDU-St. Marie Border	95	1130		90						
P	MQ	MDU-Glasgow Border	95	1140		560						
P	MQ	MDU-Fort Peck Border	95	1150		62						
P	MQ	MDU-Tran.Line(08)MTZ22	95	1155		51						
P	MQ	MDU-Nashua Border	95	1160		100						
P	MQ	MDU-Frazer Border	95	1170		43						
P	MQ	MDU-Wolf Point Border	95	1180		525						
P	MQ	MDU-Poplar Border	95	1190		592						
P	MQ	MDU-Tran.Line(09)MTZ22	95	1195		230						
P	MQ	MDU-Richey Border	95	1200		105						
P	MQ	MDU-Glendive Border	95	1220		318						
P	MQ	MDU-Tran.Line(05)MTZ20	95	1245		60						
P	MQ	MDU-Savage Border	95	1250		45						
P	MQ	MDU-Sidney Border	95	1280		109						
P	MQ	MDU-Fairview Border	95	1300		20						
P	MQ	MDU-Trenton Border	95	1390		9						
P	MQ	MDU-Williston Border	95	1410		11						
P	MQ	MDU-Ray Border	95	1460		12						
P	MQ	MDU-Tioga Border	95	1470		22						
P	MQ	MDU-Lignite Border	95	1475		5						
P	MQ	MDU-Tran.Line(06)MTZ241	95	1479		9						
P	MQ	MDU-Tran.Line(06)MTZ212	95	1484		9						
P	MQ	MDU-Tran.Line(06)MTZ211	95	1485		6						
P	MQ	MDU-Tran.Line(06)NDZ25	95	1486		4						
P	MQ	MDU-Tran.Line(06)NDZ24	95	1488		10						
P	MQ	MDU-White Earth Border	95	1490		14						
P	MQ	MDU-Tran.Line(06)NDZ241	95	1491		6						
P	MQ	MDU-Stanley Border	95	1510		34						
P	MQ	MDU-Palermo Border	95	1520		10						
P	MQ	MDU-Minot Border	95	1550		293						
P	MQ	MDU-Prairie View Hgts Master	95	1610		2						
P	MQ	MDU-Max Border	95	1620		14						
P	MQ	MDU-Turtle Lake Border	95	1640		10						
P	MQ	MDU-Underwood Border	95	1650		17						
P	MQ	MDU-Riverdale Border	95	1660		14						
P	MQ	MDU-Washburn Border	95	1670		59						
P	MQ	MDU-Wilton Border	95	1680		58						
P	MQ	MDU-Tran.Line(07)NDZ261	95	1685		42						
P	MQ	MDU-Tran.Line(07)NDZ262	95	1686		46						
P	MQ	MDU-Apple Valley Border	95	1690		66						
P	MQ	MDU-Steele Border	95	1700		67						
P	MQ	MDU-Dawson Border	95	1710		11						
P	MQ	MDU-Tappen Border	95	1720		31						
P	MQ	MDU-Medina Border	95	1730		39						
P	MQ	MDU-Tran.Line(03)NDZ271	95	1735		20						
P	MQ	MDU-Cleveland Border	95	1740		28						
P	MQ	MDU-Jamestown Border	95	1760		330						
P	MQ	MDU-Sanborn Border	95	1780		8						
P	MQ	MDU-Valley City Border	95	1790		181						
P	MQ	MDU-Tran.Line(24)NDZ272	95	1791		38						
P	MQ	MDU-Carrington Border	95	1800		175						
P	MQ	MDU-New Rockford Border	95	1810		55						
P	MQ	MDU-Sheyenne Border	95	1820		40						
P	MQ	MDU-Fort Totten Border	95	1830		37						
P	MQ	MDU-Langdon Border	95	1860		131						
P	MQ	MDU-Park River Border	95	1870		159						
P	MQ	MDU-P.A.R. Housing	95	1889		35						
P	MQ	MDU-Cavalier Border	95	1930		106						
P	MQ	MDU-Tran.Line(04)NDZ273	95	1935		37						
P	MQ	MDU-Bismarck Border	95	1960		800						
P	MQ	MDU-Mandan Border	95	1970		340						
P	MQ	MDU-New Salem Border	95	2010		138						
P	MQ	MDU-Glen Ullin Border	95	2020		127						
P	MQ	MDU-Hebron Border	95	2030		90						
P	MQ	MDU-Richardton Border	95	2040		88						
P	MQ	MDU-Taylor Border	95	2050		37						
P	MQ	MDU-Mott Border	95	2060		61						
P	MQ	MDU-New England Border	95	2080		19						
P	MQ	MDU-Lefor Border	95	2090		9						
P	MQ	MDU-Gladstone Border	95	2100		33						
P	MQ	MDU-Tran.Line(02)NDZ31	95	2115		33						
P	MQ	MDU-Tran.Line(02)NDZ28	95	2116		54						
P	MQ	MDU-Dickinson Border	95	2120		234						
P	MQ	MDU-South Heart Border	95	2130		27						
P	MQ	MDU-Killdeer Border	95	2140		112						
P	MQ	MDU-Belfield Border	95	2150		28						
P	MQ	MDU-Golva Border	95	2180		34						
P	MQ	MDU-Wibaux Border	95	2185		43						
P	MQ	MDU-Tran.Line(01)MTZ32	95	2187		6						
P	MQ	MDU-Tran.Line(01)NDZ32	95	2188		18						
P	MQ	MDU-Tran.Line(01)NDZ31	95	2189		11						
P	MQ	MDU-Baker Border	95	5110		306						
P	MQ	MDU-Marmarth Border	95	5120		44						
P	MQ	MDU-Rhame Border	95	5130		44						
P	MQ	MDU-Bowman Border	95	5150		188						
P	MQ	MDU-Camp Crook Border	95	5170		27						
P	MQ	MDU-Belle Fourche Border	95	5220		150						
P	MQ	MDU-Spearfish Border	95	5230		127						
P	MQ	MDU-St. Onge Border	95	5250		27						
P	MQ	MDU-Deadwood-Lead Agg Pt	95	5265		242						
P	MQ	MDU-Whitewood Border	95	5280		111						
P	MQ	MDU-Whitewood Wheeler	95	5290		2						
P	MQ	MDU-Skelly Master	95	5300		45						
P	MQ	MDU-Sturgis Border	95	5310		151						
P	MQ	MDU-Pine Acres Master	95	5320		55						
P	MQ	MDU-Fort Meade Housing	95	5330		61						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		397						
P	MQ	MDU-Tran.Line(15)SDZ37	95	5516		404						
P	M2	Bowdoin	95	885		2672						
P	MQ	MDU-St. Marie Border	95	1130		44						
P	MQ	MDU-Glasgow Border	95	1140		284						
P	MQ	MDU-Fort Peck Border	95	1150		52						
P	MQ	MDU-Tran.Line(08)MTZ22	95	1155		28						
P	MQ	MDU-Nashua Border	95	1160		26						
P	MQ	MDU-Frazer Border	95	1170		20						
P	MQ	MDU-Tran.Line(09)MTZ22	95	1195		36						
P	MQ	MDU-Richey Border	95	1200		30						
P	MQ	MDU-Tran.Line(10)MTZ22	95	1205		7						
P	MQ	MDU-Tran.Line(05)MTZ20	95	1245		27						
P	MQ	MDU-Savage Border	95	1250		7						
P	MQ	MDU-Apple Valley Border	95	1690		34						
P	MQ	MDU-Tappen Border	95	1720		4						
P	MQ	MDU-Medina Border	95	1730		39						
P	MQ	MDU-Jamestown Border	95	1760		400						
P	MQ	MDU-Sanborn Border	95	1780		9						
P	MQ	MDU-Sheyenne Border	95	1820		26						
P	MQ	MDU-Fort Totten Border	95	1830		41						
P	MQ	MDU-Devils Lake Border	95	1840		331						
P	MQ	MDU-M.S.R.	95	1850		3						
P	MQ	MDU-Grafton Border	95	1880		200						
P	MQ	MDU-P.A.R. Housing	95	1889		8						
P	MQ	MDU-Tran.Line(04)NDZ273	95	1935		30						
P	MQ	MDU-Bismarck Border	95	1960		250						
P	MQ	MDU-Mandan Border	95	1970		100						
P	MQ	MDU-Glen Ullin Border	95	2020		50						
P	MQ	MDU-Regent Border	95	2070		39						
P	MQ	MDU-New England Border	95	2080		21						
P	MQ	MDU-Tran.Line(02)NDZ28	95	2116		51						
P	MQ	MDU-Dickinson Border	95	2120		100						
P	MQ	MDU-South Heart Border	95	2130		26						
