H	Alliance Pipeline L.P.	C000118	4/1/2018	O	4/1/2018	T	T	Brian Troicuk 403-517-6354  		
D	Alliance Canada Marketing L.P.	250949575	Y	FT-1	1000295	12/1/2015	10/31/2020		Y	41910
A	Tidal Energy Marketing (U.S.) L.L.C.	Y								
P	M2	BORDER USA	95	UX	ZONE US	41910				
P	MQ	VECTOR PIPELINE	95	IL06		41910				
D	Alliance Canada Marketing L.P.	250949575	Y	FT-1	1000296	12/1/2015	10/31/2020		Y	41910
A	Tidal Energy Marketing (U.S.) L.L.C.	Y								
P	MQ	ALLIANCE/ANR	95	IL05		41910				
P	M2	BORDER USA	95	UX	ZONE US	41910				
D	Aux Sable Canada LP	256857087	Y	FT-1	1007928	4/1/2018	10/31/2018		N	1794
A	Tidal Energy Marketing (U.S.) L.L.C.	Y								
P	M2	BORDER USA	95	UX	ZONE US	1794				
P	MQ	NICOR/MORRIS	95	IL01		1794				
D	BP Canada Energy Marketing Corp.	248799413	N	FT-1	1000465	12/1/2015	10/31/2021		Y	7500
P	MQ	ALLIANCE/ANR	95	IL05		7500				
P	M2	BORDER USA	95	UX	ZONE US	7500				
D	BP Canada Energy Marketing Corp.	248799413	N	FT-1	1000466	12/1/2015	10/31/2021		Y	7500
P	M2	BORDER USA	95	UX	ZONE US	7500				
P	MQ	VECTOR PIPELINE	95	IL06		7500				
D	BP Canada Energy Marketing Corp.	248799413	N	FT-1	1007925	4/1/2018	10/31/2018		N	5190
P	M2	BORDER USA	95	UX	ZONE US	5190				
P	MQ	VECTOR PIPELINE	95	IL06		5190				
D	BP Canada Energy Marketing Corp.	248799413	N	FT-1	1002335	8/1/2016	10/31/2021		Y	87
P	M2	BORDER USA	95	UX	ZONE US	87				
P	MQ	VECTOR PIPELINE	95	IL06		87				
D	Castleton Commodities Merchant Trading L.P.	118638852	N	FT-1	1007924	4/1/2018	10/31/2018		N	1030
P	M2	BORDER USA	95	UX	ZONE US	1030				
P	MQ	VECTOR PIPELINE	95	IL06		1030				
D	Chinook Energy Inc	201936528	N	FT-1	1002264	6/1/2016	10/31/2020		Y	5514
A	Boomerang Energy Marketing	N								
A	BP Canada Energy Marketing Corp.	N								
P	M2	BORDER USA	95	UX	ZONE US	5514				
P	MQ	VECTOR PIPELINE	95	IL06		5514				
D	Delphi Energy Corp.	A2043	N	FT-1	1000324	12/1/2015	10/31/2020		Y	24750
A	MacQuarie Energy LLC	N								
P	MQ	ALLIANCE/ANR	95	IL05		24750				
P	M2	BORDER USA	95	UX	ZONE US	24750				
D	Delphi Energy Corp.	A2043	N	FT-1	1000323	12/1/2017	10/31/2020		Y	25506
A	MacQuarie Energy LLC	N								
P	M2	BORDER USA	95	UX	ZONE US	25506				
P	MQ	VECTOR PIPELINE	95	IL06		25506				
D	Direct Energy Business Marketing LLC	78790103	N	FT-1	1000277	11/1/2017	10/31/2020		Y	19534
