H	DOMINION ENERGY TRANSMISSION INC	C000160	4/2/2018	O	4/1/2018	T	T	JOHN BROWNLEE 804-771-4678	 			
D	ABARTA OIL & GAS CO INC	793077439	N	FT     	200584	9/1/2012	8/31/2022	 	Y	712	0	
A	"COLONIAL ENERGY, INC."	N										
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		712	0					
P	S8	POD 3 SALEM WEST	95	P0003		712	0					
D	ALLEGANY GENERATING STATION LLC A NY COMPANY	606172703	N	FT     	200647	12/21/2013	3/31/2020	 	N	"6,100"	0	
P	S9	ALLEGANY GENERATING STATION LLC	95	23632		"6,100"	0					
P	S8	TGP - ELLISBURG	95	40107		"6,100"	0					
D	ALLIANCE PETROLEUM CORPORATION	601293178	N	FT     	5D0478      	12/18/2013	8/31/2022	 	Y	"10,618"	0	
A	DOMINION ENERGY FIELD SERVICES INC	Y										
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		100	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		600	0					
P	S8	POD 6 DEEP VALLEY	95	P0006		20	0					
P	S8	POD 5 WESTON EAST	95	P0005		577	0					
P	S8	POD 4 WESTON	95	P0004		445	0					
P	S8	POD 3 SALEM WEST	95	P0003		125	0					
P	S8	POD 2 SALEM EAST	95	P0002		567	0					
P	S8	POD 14 HASTINGS TRANSMISSION	95	P0014		418	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		50	0					
P	S8	POD 12 LOUP CREEK	95	P0012		20	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		"5,009"	0					
P	S8	POD 1 SCHUTTE	95	P0001		797	0					
P	S8	SUSAN JOHNSON (TL-373)	95	EB065		"1,890"	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"10,618"	0					
D	APPALACHIAN POWER COMPANY	7941537	N	FT     	200604	2/1/2012	1/31/2022	 	Y	"109,000"	0	
A	AMERICAN ELECTRIC POWER SERVICE CORPORATION	N										
P	S9	DRESDEN	95	30080		"109,000"	0					
P	S8	TET - OAKFORD	95	40208		"109,000"	0					
D	ASCENT RESOURCES UTICA LLC	79174372	N	FT     	200649	6/1/2014	3/31/2031	 	N	"100,000"	0	
P	S9	ANR - LEBANON	95	40401		"100,000"	0					
P	S8	PLUM RUN (TL400)	95	20180		"100,000"	0					
D	ATMOS ENERGY CORPORATION	108203241	N	GSSTE  	600047	2/1/2006	3/31/2021	 	N	0	"411,765"	
A	CENTERPOINT ENERGY SERVICES INC.	N										
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"2,288"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"2,288"					
P	S9	TET - OAKFORD	95	40208		0	"4,880"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"4,880"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"4,880"					
P	S8	TET - WOODSFIELD	95	40213		0	"2,288"					
P	S8	TET - MULLETT	95	40207		0	"2,288"					
P	S8	TET - OAKFORD	95	40208		0	"2,288"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"2,288"					
P	S8	TET - ROCKWOOD	95	40211		0	"2,288"					
P	S8	TET - WAYNESBURG	95	40215		0	"2,288"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"2,288"					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	FTNN   	100006	10/1/1993	3/31/2023	 	N	"60,071"	0	
P	S9	DETI STRG POINT (ST)	95	10002		"60,071"	0					
P	S9	TUSCARORA	95	22002		"60,071"	0					
P	S8	ANR - LEBANON	95	40401		"15,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"60,071"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"4,426"	0					
P	S8	POD 20 APPALACHIAN NORTH POOLING PO	95	P0020		"1,792"	0					
P	S8	TXG - LEBANON	95	40601		"15,000"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"15,000"	0					
P	S8	TET - LEIDY	95	40206		"2,182"	0					
P	S8	TET - OAKFORD	95	40208		"32,668"	0					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"4,003"	0					
P	S8	TRANSCO - LEIDY	95	40301		"2,182"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"15,000"	0					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	FT     	200388	11/1/2004	10/31/2019	 	N	"25,000"	0	
P	S9	TUSCARORA	95	22002		"25,000"	0					
P	S8	TET - OAKFORD	95	40208		"25,000"	0					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	FT     	200526	11/1/2009	3/31/2024	 	N	"38,994"	0	
P	S9	TUSCARORA	95	22002		"38,994"	0					
P	S8	DETI - LOUDOUN	95	40704		"38,994"	0					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	FT     	200622	11/1/2014	10/31/2029	 	N	"15,000"	0	
P	S9	TUSCARORA	95	22002		"15,000"	0					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	GSS    	300007	10/1/1993	3/31/2023	 	N	0	"3,000,000"	
P	S8	DETI STRG POINT (ST)	95	10002		0	"16,667"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"39,929"					
