H	"Dominion Energy Carolina Gas Transmission, LLC"	C000190	4/2/2018	O	4/1/2018	T	T	John Brownlee (804) 771-4678				
D	"3V, Inc."	00-910-4381	N	Rate Schedule FT	FT10001.01	11/1/2006	10/31/2009	1825	N	400	0	
A	"Texican Natural Gas Company, LLC"	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	400	0					
P	MQ	"3V, Inc."	95	27308	Zone 1	400	0					
D	"AG South Carolina, LLC"	10-661-0009	N	Rate Schedule FT	FT10247.03	12/1/2014	11/30/2019		N	4050	0	
P	MQ	AG South Carolina	95	27149	Zone 1	4050	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	4050	0					
D	AGY Aiken LLC	15-469-9172	N	Rate Schedule FT	FT10002.01	11/1/2006	10/31/2009	1825	N	2500	0	
A	"Texican Natural Gas Company, LLC"	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	2500	0					
P	MQ	AGY Aiken LLC	95	22344	Zone 1	2500	0					
D	"Air Liquide Large Industries US, LP"	18-001-5062	N	Rate Schedule FT	FT10003.01	11/1/2006	10/31/2009	1825	N	200	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	200	0					
P	MQ	"Air Liquide Large Industries US, LP"	95	27321	Zone 1	200	0					
D	"Alumax of South Carolina, Inc."	09-736-6165	N	Rate Schedule FT	FT10004.01	11/1/2006	10/31/2009	1825	N	2900	0	
A	"SCANA Energy Marketing, Inc."	N										
A	"U.S. Energy Services, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	2900	0					
P	MQ	"Alumax of South Carolina, Inc."	95	27215	Zone 1	2900	0					
D	"ArcelorMittal Georgetown, Inc"	15-014-9131	N	Rate Schedule FT	FT10029.01	11/1/2006	10/31/2009	1825	N	500	0	
A	Delta Energy 	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	500	0					
P	MQ	"ISG Georgetown, Inc."	95	27353	Zone 1	500	0					
D	Argos Cement LLC	07-848-8931	N	Rate Schedule FT	FT10296.01	11/1/2014	10/31/2015	1825	N	27	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	27	0					
P	MQ	Argos Cement	95	26302	Zone 1	27	0					
D	Argos Cement LLC	07-848-8931	N	Rate Schedule FT	FT10296.02	12/1/2015	11/30/2025		N	30	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	30	0					
P	MQ	Argos Cement	95	26302	Zone 1	30	0					
D	Bamberg Board of Public Works	78-134-8425	N	Rate Schedule FT	FT10006.01	11/1/2006	10/31/2009	1825	N	735	0	o1
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	206	0					
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	275	0					
P	MQ	"Bamberg, City of"	95	26218	Zone 1	315	0					
P	MQ	"Bamberg, City of"	95	26218	Zone 1	420	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	145	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	109	0					
D	"Bennettsville, City of"	07-743-7820	N	Rate Schedule FT	FT10007.01	11/1/2006	10/31/2009	1825	N	1553	0	o1
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	333	0					
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	610	0					
P	MQ	"Bennettsville, City of"	95	19006	Zone 1	549	0					
P	MQ	"Bennettsville, City of"	95	19006	Zone 1	1004	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	216	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	394	0					
D	"Bethune Nonwovens, Inc."	83-770-4050	N	Rate Schedule FT	FT10309.01	1/1/2017	12/31/2021		N	900	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	900	0					
P	MQ	Reemay Inc.	95	11018	Zone 1	900	0					
D	"Bridgestone Americas Tire Operations, LLC"	01-473-0076	N	Rate Schedule FT	FT10252.01	5/1/2008	4/30/2009	365	N	1000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1000	0					
P	MQ	Bridgestone/Firestone South Carolina Company	95	12331	Zone 1	1000	0					
D	"Bridgestone Americas Tire Operations, LLC"	01-473-0076	N	Rate Schedule FT	FT10252.02	11/1/2012	10/31/2022		N	3000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	3000	0					
P	MQ	Bridgestone ORR Plant	95	12018	Zone 1	3000	0					
D	Clinton-Newberry Natural Gas Authority	07-806-9432	N	Rate Schedule FT	FT10011.01	11/1/2006	10/31/2009	1825	N	4000	0	o1
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1300	0					
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	700	0					
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	700	0					
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	1300	0					
P	MQ	Clinton-Newberry Natural Gas Authority	95	21113	Zone 1	1400	0					
P	MQ	Clinton-Newberry Natural Gas Authority	95	21113	Zone 1	2600	0					
D	Columbia Energy LLC	88-479-9011	N	Rate Schedule FT	FT10292.01	7/4/2014	5/31/2018		N	30000	0	
A	Rainbow Energy Marketing Corporation	N										
P	MQ	Columbia Energy LLC	95	22396	Zone 1	30000	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	30000	0					
D	Columbia Energy LLC	88-479-9011	N	Rate Schedule FT	FT10292.02	12/1/2015	11/30/2030		N	26502	0	
A	Rainbow Energy Marketing Corporation	N										
P	MQ	Columbia Energy LLC	95	22396	Zone 1	26502	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	26502	0					
D	Commissioners of Public Works	03-009-5111	N	Rate Schedule FT	FT10254.01	2/1/2010	1/31/2011	1825	N	500	0	o1
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	325	0					
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	175	0					
P	MQ	Greenwood Commission	95	21112	Zone 1	325	0					
P	MQ	Greenwood Commission	95	21112	Zone 1	175	0					
D	"DAK Americas, LLC"	06-981-9972	N	Rate Schedule FT	FT10257.01	4/1/2010	3/31/2018		N	2500	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	2500	0					
P	MQ	"DAK Americas, LLC"	95	27072	Zone 1	2500	0					
D	"DAK Americas, LLC"	06-981-9972	N	Rate Schedule FT	FT10257.02	9/1/2015	4/30/2017	1825	N	0	0	o2
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	0	0					
P	MQ	"DAK Americas, LLC"	95	27072	Zone 1	0	0					
D	Department of Public Utilities City of Orangeburg	04-562-7312	N	Rate Schedule FT	FT10036.01	11/1/2006	10/31/2009	1825	N	5544	0	o1
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1758	0					
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1802	0					
P	MQ	Orangeburg Department of Public Utilities	95	26234	Zone 1	2254	0					
P	MQ	Orangeburg Department of Public Utilities	95	26234	Zone 1	3290	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	496	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	1488	0					
D	Department of Public Utilities City of Orangeburg	04-562-7312	N	Rate Schedule FT	FT10036.02	6/1/2013	10/31/2016	1825	N	1000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1000	0					
P	MQ	Orangeburg Department of Public Utilities	95	26234	Zone 1	1000	0					
D	Department of Public Utilities City of Orangeburg	04-562-7312	N	Rate Schedule FT	FT10036.03	12/1/2015	11/30/2025		N	800	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	800	0					
P	MQ	Orangeburg Department of Public Utilities	95	26234	Zone 1	800	0					
D	Department of Public Utilities City of Orangeburg	04-562-7312	N	Rate Schedule FT	FT10036.04	4/1/2017	3/31/2022		N	2400	0	
A	"SCANA Energy Marketing, Inc."	N										
P	MQ	Orangeburg Department of Public Utilities	95	26234	Zone 1	2400	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	2400	0					
D	"Domtar Paper Company, LLC"	78-924-5110	N	Rate Schedule FT	FT10242.04	11/1/2013	10/31/2016	1825	N	5000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	2000	0					
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	2500	0					
P	MQ	Domtar Paper Company	95	19294	Zone 1	5000	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	500	0					
D	"Domtar Paper Company, LLC"	78-924-5110	N	Rate Schedule FT	FT10242.05	3/1/2018	2/28/2021		N	1000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1000	0					
P	MQ	Domtar Paper Company	95	19294	Zone 1	1000	0					
D	Eastman Chemical Company	80-889-8381	N	Rate Schedule FT	FT10056.02	11/1/2006	10/31/2023		N	9000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	9000	0					
P	MQ	Columbia Energy LLC	95	22396	Zone 1	2544	0					
P	MQ	Eastman Chemical Company	95	25219	Zone 1	6456	0					
D	Fiber Industries LLC	08-069-0714	N	Rate Schedule FT	FT10319.01	2/15/2018	2/29/2028		N	5500	0	
A	Tenaska Marketing Ventures	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	5500	0					
P	MQ	Fiber Industries	95	13080	Zone 1	5500	0					
D	Flakeboard America Limited	20-968-0321	N	Rate Schedule FT	FT99902.01	3/1/2018	2/29/2028		Y	2000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	2000	0					
P	MQ	Flakeboard	95	19297	Zone 1	2000	0					
D	"Graham Packaging Company, LP"	36-354-6698	N	Rate Schedule FT	FT10022.02	11/1/2009	10/31/2010	1825	N	80	0	
P	MQ	"Graham Packaging Company, LP"	95	13335	Zone 1	80	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	80	0					
D	Holcim (US) Inc.	60-896-3674	N	Rate Schedule FT	FT10025.05	11/1/2014	10/31/2019		N	500	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	300	0					
P	MQ	Holcim (US) Inc.	95	26236	Zone 1	500	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	200	0					
D	"Honda of South Carolina Manufacturing, Inc."	01-216-5564	N	Rate Schedule FT	FT10026.01	11/1/2006	10/31/2009	1825	N	300	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	300	0					
P	MQ	"Honda of South Carolina Manufacturing, Inc."	95	13330	Zone 1	300	0					
D	International Paper Company	00-131-6561	N	Rate Schedule FT	FT10027.01	11/1/2006	10/31/2009	1825	N	107	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	107	0					
P	MQ	International Paper Company	95	27227	Zone 1	107	0					
D	International Paper Company	00-131-6561	N	Rate Schedule FT	FT10027.03	3/1/2014	2/29/2024		N	2200	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	2200	0					
P	MQ	International Paper - Eastover	95	25150	Zone 1	2200	0					
D	International Paper Company	00-131-6561	N	Rate Schedule FT	FT10027.04	11/10/2016	11/9/2036		N	15800	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	15800	0					
P	MQ	International Paper - Eastover	95	25150	Zone 1	15800	0					
D	Invista S.A.R.L.	04-842-1247	N	Rate Schedule FT	FT10267.01	3/1/2011	2/28/2013	1825	N	400	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	400	0					
P	MQ	Invista S.A.R.L. Company	95	12015	Zone 1	400	0					
D	Invista S.A.R.L.	04-842-1247	N	Rate Schedule FT	FT10267.02	11/1/2011	10/31/2012	1825	N	600	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	600	0					
P	MQ	Invista S.A.R.L. Company	95	12015	Zone 1	600	0					
D	Invista S.A.R.L.	04-842-1247	N	Rate Schedule FT	FT10267.03	11/1/2012	10/31/2015	1825	N	3000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	MQ	Invista S.A.R.L. Company	95	12015	Zone 1	3000	0					
