H	TRAILBLAZER PIPELINE COMPANY LLC	C000229	2/2/2018	R	2/2/2018	T	T	MARILYN WEST 303-763-2913				
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FTS	934288	5/1/2007	10/31/2022	1764	Y	47396		
P	M2	CIG/TPC TOMAHAWK WELD	95	3856	TRAILBLAZER	736						
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	308						
P	M2	PSCC/TPC ACCTG WELD	95	3907	TRAILBLAZER	5920						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	47088						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	40740						
D	BP ENERGY COMPANY	625275755	N	FTS	949945	11/1/2017	10/31/2018	303	N	19237		X1
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	19237						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	19237						
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	FTS	949505	11/1/2017	3/31/2019	454	N	100000		X1/O2
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	100000						
P	M2	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	100000						
D	CHEVRON U.S.A. INC.	9140559	N	FTS	912541	8/1/1997	7/31/2019	576	N	20000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	20000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	20000						
D	"CIMA ENERGY, LTD."	945601599	N	FTS	949405	4/1/2017	3/31/2018	89	N	10000		X1
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	10000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	10000						
D	"CIMA ENERGY, LTD."	945601599	N	FTS	949898	11/1/2017	10/31/2018	303	N	5000		X1
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	5000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	5000						
D	"CIMA ENERGY, LTD."	945601599	N	FTS	930966	7/1/2004	8/31/2020	973	N	1103		
P	M2	CIG/TPC TOMAHAWK WELD	95	3856	TRAILBLAZER	1103						
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	462						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	641						
D	"CITY OF HASTINGS, HASTINGS UTILITIES"	76980556	N	FTS	907621	10/1/1994	9/30/2025	2829	N	14840		YE3
A	BP ENERGY COMPANY	N	YE3									
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	14840						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	14840						
D	CONCORD ENERGY LLC	113637503	N	FTS	947595	1/1/2014	3/31/2022	1550	Y	82780		
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	82780						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	82780						
D	CONCORD ENERGY LLC	113637503	N	FTS	947590	1/1/2014	8/31/2019	607	N	25000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	25000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	25000						
D	CONCORD ENERGY LLC	113637503	N	FTS	947591	2/1/2014	8/31/2019	607	N	10000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	10000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	10000						
D	CONCORD ENERGY LLC	113637503	N	FTS	947592	1/1/2015	8/31/2019	607	N	10000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	10000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	10000						
D	CONCORD ENERGY LLC	113637503	N	FTS	947593	1/1/2014	8/31/2019	607	N	5880		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	5880						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	5880						
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	930470	1/1/2004	10/31/2018	303	N	5000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	5000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	5000						
D	"DEVLAR ENERGY MARKETING, L.L.C."	196394956	N	FTS	931914	9/1/2005	10/2/2055	13788	N	2942		YE3
A	"KOCH ENERGY SERVICES, LLC"	N	YE3									
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	2942						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	2942						
D	"EAST CHEYENNE GAS STORAGE, LLC"	29734466	N	FTS	947732	2/5/2014	1/31/2018	30	N	75000		X1
P	MQ	E CHEYEN/TPC  LOGAN	95	45401	TRAILBLAZER	75000						
P	M2	PSCC/TPC ACCTG WELD	95	3907	TRAILBLAZER	25000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	50000						
D	"EAST CHEYENNE GAS STORAGE, LLC"	29734466	N	FTS	947649	1/1/2014	3/31/2019	454	N	4540		YE3
A	"KOCH ENERGY SERVICES, LLC"	N	YE3									
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	4540						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	4540						
D	"EXELON GENERATION COMPANY, LLC"	196748938	N	FTS	949904	11/1/2017	3/31/2018	89	N	20000		X1
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	20000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	20000						
D	FORTIGEN GENEVA LLC	80325944	N	FTS	949151	6/15/2017	6/30/2032	5294	Y	4000		X1
P	MQ	TPC/FORTIGEN NITROGEN FILLMORE	95	60272	TRAILBLAZER	4000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	4000						
D	"GREEN PLAINS TRADE GROUP, LLC"	848984915	N	FTS	949573	4/1/2017	3/31/2018	89	N	50000		X1
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	50000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	50000						
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FTS	949144	9/1/2016	3/31/2025	2646	N	9336		
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	9336						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	9336						
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FTS	949510	4/1/2017	3/31/2018	89	N	6100		X1
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	6100						
P	M2	TIGT/TPC BEACON CAMP	95	56127P	TRAILBLAZER	6100						
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FTS	949511	4/1/2017	3/31/2018	89	N	23900		X1
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	23900						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	23900						
D	MACQUARIE ENERGY LLC	798846036	N	FTS	948519	9/1/2015	10/31/2018	303	N	734		
P	M2	CIG/TPC TOMAHAWK WELD	95	3856	TRAILBLAZER	734						
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	308						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	426						
D	MACQUARIE ENERGY LLC	798846036	N	FTS	933697	11/10/2006	3/31/2026	3011	N	15000		X1/O2
P	M2	CIG/TPC TOMAHAWK WELD	95	3856	TRAILBLAZER	15000						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	15000						
D	MACQUARIE ENERGY LLC	798846036	N	FTS	947961	6/1/2014	3/31/2022	1550	Y	21200		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	21200						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	21200						
D	"MID AMERICA AGRI PRODUCTS/WHEATLAND, LLC"	4464	N	FTS	949143	9/1/2016	8/31/2026	3164	N	3500		
A	"CAPSTONE ENERGY SERVICES, LLC"	N										
