H	TRAILBLAZER PIPELINE COMPANY LLC	C000229	4/1/2018	O	4/1/2018	T	T	MARILYN WEST 303-763-2913				
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FTS	934288	5/1/2007	10/31/2022	1674	Y	47396		
P	M2	CIG/TPC TOMAHAWK WELD	95	3856	TRAILBLAZER	736						
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	308						
P	M2	PSCC/TPC ACCTG WELD	95	3907	TRAILBLAZER	5920						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	47088						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	40740						
D	BP ENERGY COMPANY	625275755	N	FTS	949945	11/1/2017	10/31/2018	213	N	19237		X1
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	19237						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	19237						
D	BP ENERGY COMPANY	625275755	N	FTS	950232	4/1/2018	4/30/2018	29	N	5000		X1
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	2500						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	2500						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	5000						
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	FTS	949505	11/1/2017	3/31/2019	364	N	0		X1/O2
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	0						
P	M2	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	0						
D	CHEVRON U.S.A. INC.	9140559	N	FTS	912541	8/1/1997	7/31/2019	486	N	20000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	20000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	20000						
D	"CIMA ENERGY, LP"	945601599	N	FTS	930966	7/1/2004	8/31/2020	883	N	1103		
P	M2	CIG/TPC TOMAHAWK WELD	95	3856	TRAILBLAZER	1103						
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	462						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	641						
D	"CIMA ENERGY, LP"	945601599	N	FTS	949746	4/1/2018	3/31/2028	3652	Y	5000		
P	MQ	NNG/TPC BEATRICE GAGE	95	902901	TRAILBLAZER	2500						
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	2500						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	5000						
D	"CIMA ENERGY, LP"	945601599	N	FTS	949898	11/1/2017	10/31/2018	213	N	5000		X1
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	5000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	5000						
D	CITADEL ENERGY MARKETING LLC	79663087	N	FTS	950234	4/1/2018	10/31/2021	1309	Y	25000		X1
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	25000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	25000						
D	CITADEL ENERGY MARKETING LLC	79663087	N	FTS	950127	4/1/2018	10/31/2022	1674	Y	25000		X1
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	25000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	25000						
D	"CITY OF HASTINGS, HASTINGS UTILITIES"	76980556	N	FTS	907621	10/1/1994	9/30/2025	2739	N	14840		YE3
A	BP ENERGY COMPANY	N	YE3									
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	14840						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	14840						
D	CONCORD ENERGY LLC	113637503	N	FTS	947590	1/1/2014	8/31/2019	517	N	25000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	25000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	25000						
D	CONCORD ENERGY LLC	113637503	N	FTS	947591	2/1/2014	8/31/2019	517	N	10000		
P	MQ	TPC/NGPL  GAGE	95	902900	TRAILBLAZER	10000						
P	M2	WIC/TPC DULL KNIFE WELD	95	5001	TRAILBLAZER	10000						
