H	"PANHANDLE EASTERN PIPE LINE COMPANY, LP"	C000250	4/2/2018	O	4/1/2018	T	T	IRMA JARRETT (713) 989-7679				
D	ALSEY REFRACTORIES COMPANY	57746265	N	EFT	11521	5/1/1993	10/31/2028		N	385		
A	"VANGUARD ENERGY SERVICES, LLC"	N										
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	385						
P	MQ	ALSEY REFRACTORIES	95	2096	MKT	385						
D	"AMARILLO NATURAL GAS, INC."	183128321	N	EFT	14084	11/6/1995	10/31/2021		N	75		
A	"WTG GAS MARKETING, INC."	N										
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	75						
P	MQ	SEABOARD BECKER 1-7	95	12905	FLD	25						
P	MQ	SEABOARD FARMS - DEPUY DELIVERY	95	13215	FLD	25						
P	MQ	SEABOARD FARMS - WITTAKER 1-6	95	12840	FLD	25						
D	AMEREN ILLINOIS COMPANY	6936017	N	EFT	11745	5/1/1993	3/31/2020		N	119200		
A	AMEREN ILLINOIS COMPANY	N										
P	M2	ARCHER DEMARCATION	95	ARCHR	FLD	2300						
P	M2	CHANEY DELL - TARGA PIPELINE MID-CO	95	2305	FLD	200						
P	M2	DCP OPERATING - KINGFISHER	95	10632	FLD	4800						
P	M2	ELK CITY PLANT - ENBRIDGE G & P (OK	95	12475	FLD	14000						
P	M2	ENABLE OKLAHOMA - CARPENTER	95	40555	FLD	6500						
P	M2	GRUVER DEMARCATION	95	GRUVR	FLD	4000						
P	M2	HANSFORD HINSHAW 200 INTERCONNECT -	95	41416	FLD	4838						
P	M2	HOLT DEMARCATION	95	HOLTX	FLD	10000						
P	M2	MOBIL - ELK CITY PLANT	95	12529	FLD	2500						
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	45962						
P	M2	SPOONEY DEMARCATION	95	SPOON	FLD	4100						
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	20000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	119200						
D	AMEREN ILLINOIS COMPANY	6936017	N	FS	13620	4/1/1995	3/31/2020		N		9390000	
A	AMEREN ILLINOIS COMPANY	N										
P	IJ	AMEREN ILLINOIS - FS	95	66416	FLD		60418					
P	WR	AMEREN ILLINOIS - FS	95	66416	FLD		106150					
D	AMEREN ILLINOIS COMPANY	6936017	N	EFT	14979	9/1/1996	3/31/2021		N	20000		
A	AMEREN ILLINOIS COMPANY	N										
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	20000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	20000						
