H	"TRUNKLINE GAS COMPANY, LLC"	C000251	4/2/2018	O	4/1/2018	T	T	DEBBIE BRADBURY (713) 989-7571				
D	AMEREN ILLINOIS COMPANY	6936017	N	EFT	15040	9/1/1996	3/31/2021		N	40000		
A	AMEREN ILLINOIS COMPANY	N										
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	20000						
P	M2	RICHLAND PARISH - ENABLE	95	82738	Z1A	20000						
P	MQ	AMEREN ILLINOIS	95	TRKAIC	Z1B	20000						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	20000						
D	AMEREN ILLINOIS COMPANY	6936017	N	NNS-1	15158	11/1/1996	3/31/2021		N		825000	
A	AMEREN ILLINOIS COMPANY	N										
P	IJ	AMEREN ILLINOIS - NNS1	95	N1010	Z1B		6875					
P	WR	AMEREN ILLINOIS - NNS1	95	N1010	Z1B		11000					
D	"AMERICAN MUNICIPAL POWER, INC."	105687560	N	EFT	22493	4/1/2010	10/31/2022		N	40683		
A	"THE ENERGY AUTHORITY, INC."	N										
P	M2	LA 1 STORAGE FIELD - ACCTG METER	95	93072	FLD	20342						
P	M2	LAKESIDE - NGPL	95	81718	FLD	20341						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	40683						
D	"AOC, LLC"	876314329	N	NNS-1	12099	9/1/1993	8/31/1998	180	N		10605	
A	UTILITY GAS MANAGEMENT	N										
P	IJ	AOC - NNS1	95	N1000	Z1A		88					
P	WR	AOC - NNS1	95	N1000	Z1A		141					
D	"AOC, LLC"	876314329	N	FT	12497	9/1/1993	8/31/1998	180	N	600		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	300						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	300						
P	MQ	AOC	95	ALPHA	Z1A	600						
D	ATMOS ENERGY CORPORATION	108203241	N	NNS-2	12226	9/1/1993	8/31/1998	180	N		24840	
A	ATMOS ENERGY CORPORATION	N										
P	IJ	ATMOS ENERGY - NNS2	95	N2044	Z1A		207					
P	WR	ATMOS ENERGY - NNS2	95	N2044	Z1A		331					
D	ATMOS ENERGY CORPORATION	108203241	N	NNS-2	12236	9/1/1993	4/30/1998	180	N		3105	
A	ATMOS ENERGY CORPORATION	N										
P	IJ	ATMOS ENERGY - NNS2	95	N2028	Z1A		26					
P	WR	ATMOS ENERGY - NNS2	95	N2028	Z1A		41					
D	ATMOS ENERGY CORPORATION	108203241	N	SST	12421	9/1/1993	8/31/1998	180	N	1242		
A	ATMOS ENERGY CORPORATION	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	766						
P	M2	PATTERSON II PLANT	95	83033	FLD	476						
P	MQ	"CRENSHAW, MS - ATMOS ENERGY"	95	80079	Z1A	1242						
D	ATMOS ENERGY CORPORATION	108203241	N	SST	12440	9/1/1993	4/30/1998	180	N	200		
A	ATMOS ENERGY CORPORATION	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	200						
P	MQ	ATMOS ENERGY	95	82010	Z1A	148						
P	MQ	"KILBOURNE, LA - ATMOS ENERGY"	95	80085	Z1A	52						
D	ATMOS ENERGY CORPORATION	108203241	N	FT	14573	11/1/1996	3/31/2020		N	1250		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	1250						
P	MQ	WEST PADUCAH - ATMOS ENERGY	95	82041	Z1B	1250						
D	"CASTLETON COMMODITIES MERCHANT TRADING, L.P."	118638852	N	FT	33961	2/1/2018	4/30/2018		N	5000		
P	M2	SILSBEE HARDIN COUNTY INTERCONNECT	95	82741	FLD	5000						
P	MQ	SOUTHERN NATURAL @ SHADYSIDE	95	81738	FLD	5000						
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	NNS-2	12147	9/1/1993	10/31/1997	180	N		102465	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	ENTEX - NNS2  80080	95	N2020	Z1A		854					
P	WR	ENTEX - NNS2  80080	95	N2020	Z1A		1366					
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	SST	12436	9/1/1993	10/31/1997	180	N	5072		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	NEPTUNE PLANT	95	82864	FLD	1801						
P	M2	PATTERSON II PLANT	95	83033	FLD	1801						
P	M2	TGC @ HENRY HUB - JEFFERSON ISLAND	95	80717	FLD	975						
P	M2	WHARTON CO - ENTERPRISE TEXAS PIPEL	95	81526	FLD	495						
P	MQ	"PARCHMAN, MS - ENTEX"	95	80080	Z1A	5072						
D	"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY LOUISIANA GAS"	14218	N	EFT	31778	4/1/2016	3/31/2019		N	5875		YA5
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	5875						
P	MQ	LAKE CHARLES INTERCONNECT - CENTERP	95	80734	FLD	5875						
D	"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY LOUISIANA GAS"	14218	N	NNS-1	31779	4/1/2016	3/31/2019		N		585000	YA5
P	IJ	CENTERPOINT ENER DBA CENTERPOINT EN	95	N1022	FLD		4875					
P	WR	CENTERPOINT ENER DBA CENTERPOINT EN	95	N1022	FLD		7800					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT	33434	9/15/2017	10/31/2018		N	25000		
P	M2	LAKESIDE - NGPL	95	81718	FLD	25000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	25000						
D	CITY OF ARLINGTON	52477338	N	NNS-2	12205	9/1/1993	10/31/1996	180	N		83835	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"CITY OF ARLINGTON, KY- NNS2"	95	N2008	Z1B		699					
P	WR	"CITY OF ARLINGTON, KY- NNS2"	95	N2008	Z1B		1118					
D	CITY OF ARLINGTON	52477338	N	SST	12424	9/1/1993	10/31/1996	180	N	4140		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	4140						
P	MQ	"CITY OF ARLINGTON, KY"	95	80060	Z1B	4140						
D	CITY OF BARDWELL	26117457	N	NNS-2	12209	9/1/1993	10/31/1993	180	N		83835	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"CITY OF BARDWELL, KY - NNS2"	95	N2010	Z1B		699					
P	WR	"CITY OF BARDWELL, KY - NNS2"	95	N2010	Z1B		1118					
D	CITY OF BARDWELL	26117457	N	SST	12425	9/1/1993	10/31/1993	180	N	4140		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	4140						
P	MQ	"CITY OF BARDWELL, KY"	95	80059	Z1B	4140						
D	CITY OF CLINTON	33031204	N	NNS-2	12211	9/1/1993	10/31/1996	180	N		83835	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"CITY OF CLINTON, KY - NNS2"	95	N2012	Z1B		699					
P	WR	"CITY OF CLINTON, KY - NNS2"	95	N2012	Z1B		1118					
D	CITY OF CLINTON	33031204	N	SST	12426	9/1/1993	10/31/1996	180	N	4140		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	4140						
P	MQ	"CITY OF CLINTON, KY"	95	80061	Z1B	4140						
D	"CITY OF FAIRFIELD, IL"	79925533	N	SST	12427	9/1/1993	10/31/1998	180	N	6417		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	6417						
P	MQ	"CITY OF FAIRFIELD, IL"	95	80040	Z1B	6417						
D	"CITY OF FLORA, IL"	77147700	N	SST	12428	9/1/1993	10/31/1998	180	N	6210		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	3105						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	3105						
P	MQ	"CITY OF FLORA, IL"	95	80035	Z1B	6210						
D	CITY OF HICKMAN	95379624	N	SST	12429	9/1/1993	3/31/2000	180	N	3002		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	NEPTUNE PLANT	95	82864	FLD	1501						
P	M2	PATTERSON II PLANT	95	83033	FLD	1501						
P	MQ	"CITY OF HICKMAN, KY"	95	80062	Z1B	3002						
D	CITY OF HICKMAN	95379624	N	NNS-1	13891	10/1/1994	9/30/2001	180	N		30000	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	CITY OF HICKMAN - NNS1	95	N1006	Z1B		250					
P	WR	CITY OF HICKMAN - NNS1	95	N1006	Z1B		400					
D	"CITY OF LA CENTER, KY"	7226488	N	NNS-2	12163	9/1/1993	10/31/1996	180	N		83835	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"CITY OF LA CENTER, KY - NNS2"	95	N2014	Z1B		699					
P	WR	"CITY OF LA CENTER, KY - NNS2"	95	N2014	Z1B		1118					
D	"CITY OF LA CENTER, KY"	7226488	N	SST	12430	9/1/1993	10/31/1996	180	N	4140		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	4140						
P	MQ	"CITY OF LA CENTER, KY"	95	80057	Z1B	4140						
D	"CITY OF MCLEANSBORO, IL"	32015042	N	SST	12431	9/1/1993	8/31/1997	180	N	3312		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	1656						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	1656						
P	MQ	"CITY OF MCLEANSBORO, IL"	95	80046	Z1B	3312						
D	CITY OF RENSSELAER	74298209	N	SST	12432	9/1/1993	8/31/1997	180	N	6831		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	3415						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	3416						
P	MQ	"CITY OF RENSSELAER, IN"	95	80009	Z-2	6831						
D	"CITY OF SENATOBIA, MISSISSIPPI"	89545214	N	FT	15081	11/1/1996	11/30/2025		N	500		
A	UTILITY MANAGEMENT CORPORATION	N										
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	500						
P	MQ	"CITY OF SENATOBIA, MS"	95	82581	Z1A	500						
D	CITY OF SPLENDORA	70883574	N	NNS-2	12158	9/1/1993	10/31/1998	180	N		9315	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"CITY OF SPLENDORA, TX - NNS2"	95	N2016	FLD		78					
P	WR	"CITY OF SPLENDORA, TX - NNS2"	95	N2016	FLD		124					
D	CITY OF SPLENDORA	70883574	N	SST	12433	9/1/1993	10/31/1998	180	N	518		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	319						
P	M2	NEPTUNE PLANT	95	82864	FLD	99						
P	M2	PATTERSON II PLANT	95	83033	FLD	100						
P	MQ	"CITY OF SPLENDORA, TX"	95	82032	FLD	518						
D	CITY OF VIENNA	32247405	N	SST	12434	9/1/1993	8/31/1997	180	N	1449		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	724						
