H	"Florida Gas Transmission Company, LLC"	C000255	4/2/2018	O	4/1/2018	B	B	Iain Russell (713) 989-2615				
D	FLORIDA POWER & LIGHT COMPANY           	6922371	N 	FTS-1   	3247	11/1/1989	7/31/2025	0	N	280000	 	X7
P	M2	ANR St Landry Parish                    	95	78303	W                   	15818	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	72877	 	 	 	 	 	
P	M2	Enbridge-Orange Co                      	95	78499	W                   	27000	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	20123	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	10000	 	 	 	 	 	
P	M2	SNG Columbia-Shadyside                  	95	960550	W                   	4935	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	7591	 	 	 	 	 	
P	M2	SNG Koch-Shadyside                      	95	930300	W                   	1462	 	 	 	 	 	
P	M2	SNG TENN TOCA                           	95	503802	W                   	420	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	54391	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	2570	 	 	 	 	 	
P	M2	TX Gas Eunice                           	95	10178	W                   	62813	 	 	 	 	 	
P	MQ	Cape Canaveral-FPL                      	95	100019	M                   	192000	 	 	 	 	 	
P	MQ	Ft Myers-FPL                            	95	78083	M                   	334000	 	 	 	 	 	
P	MQ	Lauderdale A-FPL                        	95	53371	M                   	200000	 	 	 	 	 	
P	MQ	Lauderdale B-FPL                        	95	53369	M                   	200000	 	 	 	 	 	
P	MQ	Manatee-FPL                             	95	78518	M                   	250000	 	 	 	 	 	
P	MQ	Martin-FPL                              	95	78522	M                   	620000	 	 	 	 	 	
P	MQ	Port Everglades Energy Center M&R-FPL   	95	100041	M                   	217000	 	 	 	 	 	
P	MQ	Putnam-FPL                              	95	16525	M                   	120000	 	 	 	 	 	
P	MQ	Riviera East-FPL                        	95	16481	M                   	200000	 	 	 	 	 	
P	MQ	Riviera West-FPL                        	95	100030	M                   	200000	 	 	 	 	 	
