H	"Columbia Gas Transmission, LLC"	C000306          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
D	3M Company	624882957	N       	FTS     	179587	12/1/2016	11/30/2020	 	N	1030		 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
A	"Fellon McCord & Associates, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Macquarie Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	AGG 02	95	A02	TCO     	1030			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	1030			 	 	 	 
D	AdvanSix Inc.	80334404	N       	FTS     	181484	10/1/2016	10/31/2020	 	N	50075		 
A	NUS Consulting	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	22942			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	27133			 	 	 	 
P	MQ	ALLIED SIGNAL       	95	30AL	TCO     	50075			 	 	 	 
D	"Allegheny Ludlum, LLC"	SR 4225526	N       	FTS     	165017	6/1/2015	12/31/2019	 	N	1500		 
P	M2	TCO-LEACH	95	801	TCO     	1500			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	1500			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	5366	11/26/2008	12/31/2018	 	N	10000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	N. Ritter	95	640257	TCO     	10000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	10000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	7295	7/26/2009	10/31/2027	 	N	39792		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Chesapeake - Victory	95	640048	TCO     	10000			 	 	 	 
P	M2	Chief 1983	95	642409	TCO     	17600			 	 	 	 
P	M2	Grapevine Ridge	95	640033	TCO     	2400			 	 	 	 
P	M2	Martin Marietta #2              	95	630829	TCO     	792			 	 	 	 
P	M2	PINEY MOUNTAIN                  	95	634534	TCO     	3000			 	 	 	 
P	M2	RYAN 1804	95	640053	TCO     	3000			 	 	 	 
P	M2	ULLOM-BLUM #1                   	95	638462	TCO     	3000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	39792			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	19036	8/1/2010	3/31/2021	 	N	110000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Balis-Lewis 	95	640563	TCO     	55000			 	 	 	 
P	M2	Gaskins	95	642436	TCO     	55000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	110000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	20540	10/1/2010	9/30/2025	 	N	13100		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	N. Ritter	95	640257	TCO     	13100			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	13100			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	29152	8/1/2011	7/31/2021	 	N	50000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	WAYNESBURG          	95	C14	TCO     	50000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	50000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	29158	9/1/2011	8/31/2021	 	N	30000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Balis-Lewis 	95	640563	TCO     	30000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	30000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	29173	11/1/2011	4/30/2022	 	N	15000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Pike Fork	95	642494	TCO     	15000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	15000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	149759	11/1/2014	10/31/2024	 	Y	47000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Sherwood1	95	642645	TCO     	47000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	47000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	149760	11/1/2014	3/31/2025	 	Y	267000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Sherwood1	95	642645	TCO     	267000			 	 	 	 
P	MQ	BROAD RUN-19        	95	B9	TCO     	167000			 	 	 	 
P	MQ	Mainline Smithfield	95	MLSMITH	TCO     	100000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	OPT60   	151681	4/1/2014	3/31/2029	 	N	7000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	7000			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	7000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	168381	11/1/2015	4/30/2018	 	Y	581892		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Antero Resources Appalachian	95	P1027556	TCO     	13100			 	 	 	 
P	M2	Braxton	95	842867	TCO     	355000			 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	35000			 	 	 	 
P	M2	Clendenin	95	CLEN	TCO     	178792			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	581892			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS     	181026	10/1/2016	9/30/2058	 	N	2400		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Wetzel County	95	642717	TCO     	2400			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	2400			 	 	 	 
D	Antero Resources Corporation	831003012	N       	OPT60   	196136	11/1/2017	3/31/2029	 	N	19350		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	19350			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	19350			 	 	 	 
D	Appalachian Gas and Oil Trust	SR 4221109	N       	FTS     	10217	8/1/2009	3/31/2020	 	Y	30		 
A	Energy Corporation of America	N       		 	 	 	 	 	 	 	 	 
A	"Greylock Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	EASTERN AMERICAN-BAILEY         	95	623089	TCO     	30			 	 	 	 
