H	"Columbia Gulf Transmission, LLC"	C000307          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
D	Antero Resources Corporation	831003012	N       	FTS-1   	30528	1/1/2012	12/31/2021	 	N	100000		 
A	"NextEra Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	GULF-LEACH	95	801	MNL     	100000			 	 	 	 
P	MQ	CGT-RAYNE	95	2700010	MNL     	100000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS-1   	145031	11/1/2014	10/31/2024	 	N	70000		 
P	M2	GULF-LEACH	95	801	MNL     	70000			 	 	 	 
P	MQ	TRANSCO-EVANGELINE	95	478	MNL     	70000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS-1   	158017	11/1/2014	3/31/2025	 	N	267000		 
P	M2	GULF-LEACH	95	801	MNL     	267000			 	 	 	 
P	MQ	FLORIDA GAS         	95	4118	ON      	70000			 	 	 	 
P	MQ	SABINE - HENRY HUB  	95	519	ON      	130000			 	 	 	 
P	MQ	SONAT-SHADYSIDE     	95	4078	ON      	67000			 	 	 	 
D	Antero Resources Corporation	831003012	N       	FTS-1   	158018	11/1/2014	10/31/2022	 	N	93000		 
A	"NextEra Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	GULF-LEACH	95	801	MNL     	93000			 	 	 	 
P	MQ	CGT-RAYNE	95	2700010	MNL     	93000			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	23188	4/1/2011	3/31/2019	 	N	15000		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Continuum Energy Services, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"United Cities Gas Company, a division of Atmos Energy Corporation"	N       		 	 	 	 	 	 	 	 	 
P	M2	JEFFERSON ISLAND    	95	4119	ON      	15000			 	 	 	 
P	MQ	UC-GOVERNORS CLUB	95	4182	MNL     	1000			 	 	 	 
P	MQ	UCG-BURWOOD	95	4056	MNL     	2000			 	 	 	 
P	MQ	UCG-TRIUNE CONNECTOR	95	4117	MNL     	10000			 	 	 	 
P	MQ	UCG-WILLIAMSON	95	4049	MNL     	2000			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	23481	4/1/2011	3/31/2019	 	N	22500		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Continuum Energy Services, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"United Cities Gas Company, a division of Atmos Energy Corporation"	N       		 	 	 	 	 	 	 	 	 
P	M2	EGAN STOR-ACADIA-REC	95	4123	ON      	12500			 	 	 	 
P	M2	JEFFERSON ISLAND    	95	4119	ON      	10000			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	22500			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	142152	5/1/2013	3/31/2019	 	N	7500		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Continuum Energy Services, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"United Cities Gas Company, a division of Atmos Energy Corporation"	N       		 	 	 	 	 	 	 	 	 
P	M2	GULF-LEACH	95	801	MNL     	7500			 	 	 	 
P	MQ	MAINLINE POOL	95	P20	MNL     	7500			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	142156	5/1/2013	3/31/2019	 	N	12500		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Continuum Energy Services, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"United Cities Gas Company, a division of Atmos Energy Corporation"	N       		 	 	 	 	 	 	 	 	 
P	M2	GULF-LEACH	95	801	MNL     	12500			 	 	 	 
P	MQ	MAINLINE POOL	95	P20	MNL     	11500			 	 	 	 
P	MQ	SONAT-SHADYSIDE     	95	4078	ON      	1000			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	158165	11/1/2015	3/31/2020	 	N	10000		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Continuum Energy Services, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"United Cities Gas Company, a division of Atmos Energy Corporation"	N       		 	 	 	 	 	 	 	 	 
P	M2	JEFFERSON ISLAND    	95	4119	ON      	10000			 	 	 	 
P	MQ	TROUSDALE - E TENN	95	4133	MNL     	10000			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	168971	11/1/2015	3/31/2019	 	N	10000		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Continuum Energy Services, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"United Cities Gas Company, a division of Atmos Energy Corporation"	N       		 	 	 	 	 	 	 	 	 
P	M2	JEFFERSON ISLAND    	95	4119	ON      	10000			 	 	 	 
P	MQ	UCG-BURWOOD	95	4056	MNL     	2500			 	 	 	 
P	MQ	UCG-TRIUNE CONNECTOR	95	4117	MNL     	5000			 	 	 	 
P	MQ	UCG-WILLIAMSON	95	4049	MNL     	2500			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	169319	11/1/2015	3/31/2019	 	N	5000		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Continuum Energy Services, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"United Cities Gas Company, a division of Atmos Energy Corporation"	N       		 	 	 	 	 	 	 	 	 
P	M2	JEFFERSON ISLAND    	95	4119	ON      	5000			 	 	 	 
P	MQ	TROUSDALE - E TENN	95	4133	MNL     	5000			 	 	 	 
D	ATMOS ENERGY CORPORATION	108203241	N       	FTS-1   	174808	4/1/2016	3/31/2019	 	N	7500		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Atmos Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
