H	"Millennium Pipeline Company, L.L.C."	C000311          	4/2/2018	O	4/1/2018	T	T	Jeff Reavis (281) 733-9767	 			
D	"BioUrja Trading, LLC"	787045892	N       	FT-1    	201841	4/1/2018	3/31/2019	 	N	13500		 
P	M2	Stagecoach Receipt	95	640168	MPL     	13500			 	 	 	 
P	MQ	Holding Point Interconnect	95	642806	MPL     	13500			 	 	 	 
D	"BKV Chelsea, LLC"	SR 4226633	N       	FT-1    	197808	11/22/2017	3/31/2020	 	N	30000		 
A	BKV Operating LLC	N       		 	 	 	 	 	 	 	 	 
A	Concord Energy LLC	N       		 	 	 	 	 	 	 	 	 
A	"Reliance Marcellus II, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	Laser Midstream	95	640608	MPL     	30000			 	 	 	 
P	MQ	Corning - Empire PL	95	640167	MPL     	30000			 	 	 	 
D	BKV Operating LLC	SR 4226631	N       	FT-1    	197796	11/22/2017	3/31/2019	 	Y	7500		 
A	Carrizo (Marcellus) LLC	N       		 	 	 	 	 	 	 	 	 
A	Concord Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	Laser Midstream	95	640608	MPL     	7500			 	 	 	 
P	MQ	Corning - Empire PL	95	640167	MPL     	7500			 	 	 	 
D	BKV Operating LLC	SR 4226631	N       	FT-1    	197799	11/22/2017	3/31/2020	 	Y	7500		 
A	Carrizo (Marcellus) LLC	N       		 	 	 	 	 	 	 	 	 
A	Concord Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	Laser Midstream	95	640608	MPL     	7500			 	 	 	 
P	MQ	Corning - Empire PL	95	640167	MPL     	7500			 	 	 	 
D	BKV Operating LLC	SR 4226631	N       	FT-1    	197800	11/22/2017	3/31/2021	 	Y	2500		 
A	Carrizo (Marcellus) LLC	N       		 	 	 	 	 	 	 	 	 
A	Concord Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	Laser Midstream	95	640608	MPL     	2500			 	 	 	 
P	MQ	Corning - Empire PL	95	640167	MPL     	2500			 	 	 	 
D	BKV Operating LLC	SR 4226631	N       	FT-1    	197805	11/22/2017	3/31/2022	 	Y	5000		 
A	Carrizo (Marcellus) LLC	N       		 	 	 	 	 	 	 	 	 
A	Concord Energy LLC	N       		 	 	 	 	 	 	 	 	 
