H	"SOUTHERN STAR CENTRAL GAS PIPELINE, INC."	C000374	4/2/2018	O	4/1/2018	T	T	PHILIP RULLMAN 270-852-4440			
D	"Tenaska Gas Storage, LLC"	4303603	N	FS1	SA16938	4/1/2011	4/1/2021	0	N	0	2700000
A	Tenaska Marketing Ventures	N									
P	IJ	MBR-Prd Storage	95	999022	PRD	0	20250				
P	WR	MBR-Prd Storage	95	999022	PRD	0	27000				
D	"Tenaska Gas Storage, LLC"	4303603	N	FS1	SA26908	4/1/2018	4/1/2020	0	N	0	1300000
A	Tenaska Marketing Ventures	N									
P	IJ	MBR-Prd Storage	95	999022	PRD	0	9750				
P	WR	MBR-Prd Storage	95	999022	PRD	0	13000				
D	"City Utilities Of Springfield, Missouri"	6852255	N	FSS	SA2	10/1/1993	10/1/1998	1825	N	0	1669140
A	"Energy Authority, Inc., The"	N									
P	IJ	Mkt Storage	95	999021	MKT	0	12519				
P	WR	Mkt Storage	95	999021	MKT	0	50580				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FSS	SA8578	4/22/2003	4/1/2008	1825	N	0	2475000
P	IJ	Prd Storage	95	999020	PRD	0	18563				
P	WR	Prd Storage	95	999020	PRD	0	75000				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FSS	SA8250	6/15/2001	10/1/2018	0	N	0	288057
P	IJ	Mkt Storage	95	999021	MKT	0	2160				
P	WR	Mkt Storage	95	999021	MKT	0	8729				
D	"Lawrence Paper Company,The"	7127558	N	FSS	SA68	10/1/1997	1/1/2020	0	N	0	9900
P	IJ	Mkt Storage	95	999021	MKT	0	74				
P	WR	Mkt Storage	95	999021	MKT	0	300				
D	"Midwest Energy, Inc."	42379594	N	FSS	SA22549	4/1/2015	4/1/2019	0	N	0	50028
P	IJ	Prd Storage	95	999020	PRD	0	375				
P	WR	Prd Storage	95	999020	PRD	0	1516				
D	"ONEOK Energy Services Company, L.P."	157641445	N	FSS	SA69	10/1/1997	10/1/2020	0	N	0	140184
P	IJ	Mkt Storage	95	999021	MKT	0	1051				
P	WR	Mkt Storage	95	999021	MKT	0	4248				
D	Ag Processing Inc a cooperative	5275631	N	FTS-M	TA500	10/1/1993	12/1/2018	0	N	300	0
A	BP America Production Company	N									
A	BP Energy Company	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	300	0				
P	MQ	Agp St Joe	95	133	MKT	300	0				
D	Archer Daniels Midland Company	1307586	N	FTS-M	TA17980	8/1/2011	7/1/2017	1825	N	1500	0
P	M2	Prd/Mkt Interface	95	999000	MKT	1500	0				
P	MQ	ADM/Deerfield	95	16890	MKT	1500	0				
D	Atmos Energy Corporation	108203241	N	FTS-P	TA22969	12/1/2015	12/1/2020	0	N	63221	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	DCP Mustang Plt	95	14377	PRD	3410	0				
P	M2	DCP - Sholem	95	15857	PRD	9540	0				
P	M2	LINN - Jayhawk	95	16289	PRD	14421	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	17076	0				
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	11000	0				
P	M2	Superior - Hemphill	95	16820	PRD	3000	0				
P	M2	SemGas - Rose Valley	95	17006	PRD	4774	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	63221	0				
D	Bayer Corporation	64960248	N	FTS-M	TA573	10/1/1993	10/1/2018	0	N	400	0
P	M2	Prd/Mkt Interface	95	999000	MKT	400	0				
P	MQ	"Kansas City, MO"	95	13745	MKT	260	0				
P	MQ	Overland Park	95	16952	MKT	140	0				
D	Bayer Corporation	64960248	N	FTS-P	TA574	10/1/1993	10/1/2018	0	N	405	0
P	M2	LINN - Jayhawk	95	16289	PRD	297	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	108	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	405	0				
D	"Black Hills Power, Inc."	809024784	N	FTS-P	TA22335	10/1/2014	5/1/2022	0	N	4200	0
A	"Black Hills Utility Holdings, Inc."	N									
P	M2	Wamsutter - Echo Springs	95	16294	PRD	4200	0				
P	MQ	"Cheyenne Light, Fuel and Power (CLFP)"	95	16998	PRD	4200	0				
D	"Black Hills Utility Holdings, Inc."	809024784	N	FTS-P	TA883	8/1/1996	8/1/2017	1825	N	20000	0
P	M2	OFS Maysville	95	7158	PRD	7000	0				
P	M2	LINN - Jayhawk	95	16289	PRD	13000	0				
P	MQ	Black Hills Colwich	95	16980	PRD	18345	0				
P	MQ	Black Hills - Enterprise TB	95	62810	PRD	55	0				
P	MQ	Norwich	95	122915	PRD	471	0				
P	MQ	Black Hills South Wichita	95	137550	PRD	1002	0				
P	MQ	Viola	95	176819	PRD	84	0				
P	MQ	Haskell County Distribution Sy	95	171	PRD	43	0				
D	"Black Hills Utility Holdings, Inc."	809024784	N	FTS-M	TA8657	4/1/2004	10/1/2016	1825	N	7900	0
P	M2	Prd/Mkt Interface	95	999000	MKT	7900	0				
P	MQ	Black Hills - Lawrence	95	96108	MKT	7900	0				
D	"Black Hills Utility Holdings, Inc."	809024784	N	FTS-P	TA8657	4/1/2004	10/1/2016	1825	N	6787	0
P	M2	OFS Maysville	95	7158	PRD	3182	0				
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	195	0				
P	M2	DCP Mustang Plt	95	14377	PRD	296	0				
P	M2	CIG Floris	95	15266	PRD	3114	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	6787	0				
D	"Black Hills Utility Holdings, Inc."	809024784	N	FTS-P	TA8659	4/1/2004	10/1/2013	1825	N	1081	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	1081	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1081	0				
D	Blue Mountain Midstream LLC	0	N	FTS-P	TA26736	4/1/2018	4/1/2026	0	N	45000	0
P	M2	Blue Mountain - Chisholm Trail III	95	17067	PRD	45000	0				
P	MQ	NGPL Carter	95	17069	PRD	45000	0				
D	BP Energy Company	625275755	N	FTS-P	TA21082	4/1/2014	11/1/2018	0	Y	82136	0
P	M2	DCP - Cimarron Plant	95	15253	PRD	10000	0				
P	M2	ETC Field Services Hemphill	95	16621	PRD	20000	0				
P	M2	ETC Field Services Antelope	95	16945	PRD	52136	0				
P	MQ	Transwestern Canadian - Del.	95	168112	PRD	82136	0				
D	Centerpoint Energy Resources Corp dba Centerpoint Energy Oklahoma Gas	46700779	N	FTS-P	TA1008	9/1/1998	9/1/2018	0	N	159	0
P	M2	OkTex Marsh Interconnect	95	11435	PRD	159	0				
P	MQ	Arkla Woodward Co. Delivery	95	162	PRD	159	0				
D	"Centerpoint Energy Services, Inc."	838611739	N	FTS-P	TA26996	4/1/2018	5/1/2018	0	N	15000	0
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	15000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	15000	0				
D	"Chesapeake Energy Marketing, LLC"	809849326	N	FTS-P	TA22138	1/1/2015	1/1/2025	0	Y	150000	0
P	M2	SemGas - Rose Valley	95	17006	PRD	150000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	75000	0				
P	MQ	NGPL Beaver	95	17004	PRD	75000	0				
D	"Cheyenne Light, Fuel & Power"	6915144	N	FTS-P	TA20687	10/1/2014	5/1/2022	0	N	5800	0
A	"Black Hills Utility Holdings, Inc."	N									
P	M2	Wamsutter - Echo Springs	95	16294	PRD	5800	0				
P	MQ	"Cheyenne Light, Fuel and Power (CLFP)"	95	16998	PRD	5800	0				
D	City of Independence	76259456	N	FTS-M	TA18855	4/6/2012	11/1/2018	0	N	4305	0
P	M2	TIGT Sugar Creek	95	16592	MKT	4305	0				
P	MQ	Dogwood Energy Power Plant	95	189	MKT	4305	0				
D	"City of Wheaton, MO"	130023380	N	FTS-M	TA976	1/1/1998	1/1/2010	1825	N	450	0
A	Constellation NewEnergy - Gas Division LLC	N									
A	JS Energy Services	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	450	0				
P	MQ	Monett	95	17454	MKT	450	0				
D	"City of Wheaton, MO"	130023380	N	FTS-P	TA976	1/1/1998	1/1/2010	1825	N	458	0
A	JS Energy Services	N									
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	ETC Field Services Beaver	95	16453	PRD	458	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	458	0				
D	"City Utilities Of Springfield, Missouri"	6852255	N	FTS-M	TA519	10/1/1993	6/1/2015	1825	N	65000	0
A	"Energy Authority, Inc., The"	N									
P	M2	EGT Jane - Receipt	95	10997	MKT	40000	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	17519	0				
P	M2	Mkt Storage	95	999021	MKT	7481	0				
P	MQ	Springfield	95	42915	MKT	65000	0				
D	"City Utilities Of Springfield, Missouri"	6852255	N	FTS-P	TA520	10/1/1993	10/1/2018	0	N	6588	0
A	"Energy Authority, Inc., The"	N									
P	M2	State Line Pld	95	13735	PRD	79	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	6509	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	6588	0				
D	"City Utilities Of Springfield, Missouri"	6852255	N	FTS-P	TA526	10/1/1993	6/1/2015	1825	N	4833	0
A	"Energy Authority, Inc., The"	N									
P	M2	OFS Maysville	95	7158	PRD	1833	0				
P	M2	Superior - Hemphill	95	16820	PRD	3000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	4833	0				
D	"City Utilities Of Springfield, Missouri"	6852255	N	FTS-M	TA803	10/1/1994	4/1/2013	1825	N	10000	0
A	"Energy Authority, Inc., The"	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	10000	0				
P	MQ	Springfield	95	42915	MKT	10000	0				
D	"City Utilities Of Springfield, Missouri"	6852255	N	FTS-M	TA894	11/1/1996	6/1/2015	1825	N	17813	0
A	"Energy Authority, Inc., The"	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	17813	0				
P	MQ	Springfield	95	42915	MKT	17813	0				
D	"CNE Gas Supply, LLC"	829868921	N	FTS-M	TA14951	7/1/2009	11/1/2024	0	N	580	0
P	M2	Prd/Mkt Interface	95	999000	MKT	580	0				
P	MQ	Aurora	95	17408	MKT	80	0				
P	MQ	Monett	95	17454	MKT	300	0				
P	MQ	Mt Vernon & Verona	95	17456	MKT	200	0				
D	"CNE Gas Supply, LLC"	829868921	N	FTS-M	TA23829	11/1/2015	4/1/2019	0	N	600	0
P	M2	Prd/Mkt Interface	95	999000	MKT	600	0				
P	MQ	Nevada	95	113856	MKT	600	0				
D	"Coffeyville Resources Refining & Marketing, LLC"	142405666	N	FTS-M	TA23098	11/1/2015	4/1/2021	0	N	5000	0
A	"Energy Support Providers, Llc"	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	5000	0				
P	MQ	Coffeyville Resources	95	17036	MKT	5000	0				
D	Commissioners Of The Land Office Of Ok	933349508	N	FTS-M	TA17240	2/1/2011	2/1/2019	0	N	100	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	100	0				
P	MQ	Vinita	95	2101	MKT	100	0				
D	Commissioners Of The Land Office Of Ok	933349508	N	FTS-P	TA17240	2/1/2011	2/1/2019	0	N	101	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	OFS Maysville	95	7158	PRD	101	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	101	0				
D	"Conexus Energy, LLC"	80120548	N	FTS-P	TA26992	4/1/2018	4/3/2018	0	N	4792	0
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	4792	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	4792	0				
