H	PAIUTE PIPELINE COMPANY	C000377	3/29/2018	O	4/1/2018	T	T	MARK LITWIN (702) 364-3195				
D	CYANCO COMPANY	612755959	N	RATE SCHEDULE FT-1	F48	9/1/2014	8/31/2019		N	1624		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	1624						
P	MQ	"WINNEMUCCA, NEVADA NO. 1"	29	1400089	PAIUTE-SWGN	1624						
D	CYANCO COMPANY	612755959	N	RATE SCHEDULE FT-1	F55	2/1/2016	8/31/2019		N	2224		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	2224						
P	MQ	"WINNEMUCCA, NEVADA NO. 1"	29	1400089	PAIUTE-SWGN	2224						
D	"EP MINERALS, LLC"	178808465	N	RATE SCHEDULE FT-1	F39	3/1/2006	2/29/2008		N	501		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	501						
P	MQ	EAGLE-PICHER NO. 2	29	368511	PAIUTE-SWGN	501						
D	"EP MINERALS, LLC"	178808465	N	RATE SCHEDULE FT-1	F41	3/1/2007	2/29/2012		N	850		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	850						
P	MQ	EAGLE-PICHER NO. 2	29	368511	PAIUTE-SWGN	850						
D	"HARVEY'S TAHOE MANAGEMENT COMPANY, INC."	9238965	N	RATE SCHEDULE FT-1	F6	2/28/1993	2/28/2003		N	280		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	280						
P	MQ	"STATELINE, NV CITY GATE NO. 1"	29	368505	PAIUTE-SWGN	280						
D	"HARVEY'S TAHOE MANAGEMENT COMPANY, INC."	9238965	N	RATE SCHEDULE FT-1	F8	2/28/1993	2/28/2003		N	369		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	369						
P	MQ	"STATELINE, NV CITY GATE NO. 1"	29	368505	PAIUTE-SWGN	369						
D	IGI RESOURCES INC.	194290953	N	RATE SCHEDULE FT-1	F40	3/1/2006	3/31/2009		N	429		
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	429						
P	MQ	EAGLE-PICHER NO. 1	29	368510	PAIUTE-SWGN	429						
D	IGI RESOURCES INC.	194290953	N	RATE SCHEDULE FT-1	F42	12/1/2007	10/31/2017		N	722		
P	M2	WADSWORTH	29	359406	WADSWORTH	722						
P	MQ	"CARSON CITY, NV CITY GATE NO. 3"	29	368507	PAIUTE-SWGN	206						
P	MQ	"MINDEN-GARDNERVILLE, NEVADA"	29	368506	PAIUTE-SWGN	516						
D	MONTBLEU RESORT	98864010	N	RATE SCHEDULE FT-1	F9	2/28/1993	2/28/2003		N	221		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	221						
P	MQ	"STATELINE, NV CITY GATE NO. 1"	29	368505	PAIUTE-SWGN	221						
D	"NEVA ONE, LLC"	627738453	N	RATE SCHEDULE FT-1	F7	2/28/1993	2/28/2003		N	166		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	166						
P	MQ	"STATELINE, NV CITY GATE NO. 1"	29	368505	PAIUTE-SWGN	166						
D	NEWMONT MINING CORPORATION    	188374730	N	RATE SCHEDULE FT-1	F10	2/28/1993	2/28/2003		N	811		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	811						
P	MQ	GOLD FIELDS COMPANY	29	368513	PAIUTE-SWGN	811						
D	NEWMONT MINING CORPORATION	188374730	N	RATE SCHEDULE FT-1	F53	1/7/2016	1/6/2031		N	2964		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	2964						
P	MQ	NEWMONT TAP	29	1400090	PAIUTE-SWGN	2964						
D	NEWMONT MINING CORPORATION	188374730	N	RATE SCHEDULE FT-1	F54	1/7/2016	1/6/2031		N	719		
A	"KTM, INC."	N										
P	M2	JADE FLATS	29	1400087	Ruby-Paiute	719						
P	MQ	NEWMONT TAP	29	1400090	PAIUTE-SWGN	719						
D	"PREMIER MAGNESIA, LLC"	780409199	N	RATE SCHEDULE FT-1	F3	2/28/1993	2/28/2003		N	627		
A	"KTM, INC."	N										
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	627						
P	MQ	"PREMIER, INC."	29	368509	PAIUTE-SWGN	627						
D	SIERRA PACIFIC POWER COMPANY	959415852	N	RATE SCHEDULE FT-1	F29	9/1/2014	11/30/2019		N	61044		ym1/ym5/ym7
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	61044						
P	MQ	FORT CHURCHILL POWER PLANT	29	368509	PAIUTE-SPPC	54826						
P	MQ	SIERRA PACIFIC NO. 1	29	368510	PAIUTE-SPPC	50533						
P	MQ	SIERRA PACIFIC NO. 2	29	368510	PAIUTE-SPPC	32000						
P	MQ	SIERRA PACIFIC NO. 3	29	368510	PAIUTE-SPPC	6000						
P	MQ	SIERRA PACIFIC NO. 4	29	368510	PAIUTE-SPPC	20						
P	MQ	SIERRA PACIFIC NO. 5	29	368510	PAIUTE-SPPC	9000						
P	MQ	TRACY POWER PLANT	29	368510	PAIUTE-SPPC	53982						
D	SIERRA PACIFIC POWER COMPANY	959415852	N	RATE SCHEDULE FT-1	F32	4/1/2005	3/31/2020		N	0		ym1/ym5/ym7
P	M2	LNG STORAGE PLANT	29	14079	LNG PLANT	0						
P	MQ	FORT CHURCHILL POWER PLANT	29	368509	PAIUTE-SPPC	0						
P	MQ	SIERRA PACIFIC NO. 1	29	368510	PAIUTE-SPPC	0						
P	MQ	SIERRA PACIFIC NO. 2	29	368510	PAIUTE-SPPC	0						
P	MQ	SIERRA PACIFIC NO. 3	29	368510	PAIUTE-SPPC	0						
P	MQ	SIERRA PACIFIC NO. 4	29	368510	PAIUTE-SPPC	0						
P	MQ	SIERRA PACIFIC NO. 5	29	368510	PAIUTE-SPPC	0						
P	MQ	TRACY POWER PLANT	29	368510	PAIUTE-SPPC	0						
D	SIERRA PACIFIC POWER COMPANY	959415852	N	RATE SCHEDULE LGS-1	S6	4/1/2005	3/31/2020		N		303604	
P	SB	LNG STORAGE PLANT	29	14079	LNG PLANT		303604					
D	SOUTHWEST GAS CORPORATION/NO. CALIFORNIA	6970917	Y	RATE SCHEDULE FT-1	F45	10/1/2011	9/30/2021		N	1657		
P	M2	WADSWORTH	29	359406	WADSWORTH	1657						
P	MQ	SOUTH LAKE TAHOE CITY GATE	29	368505	PAIUTE-AVAC	1657						
D	SOUTHWEST GAS CORPORATION/NO. CALIFORNIA	6970917	Y	RATE SCHEDULE FT-1	F47	11/1/2011	10/31/2021		N	3093		
P	M2	WADSWORTH	29	359406	WADSWORTH	3093						
P	MQ	"MINDEN-GARDNERVILLE, NEVADA"	29	368506	PAIUTE-SWGN	1031						
P	MQ	NORTH LAKE TAHOE CITY GATE	29	368507	PAIUTE-SWGC	2062						
D	SOUTHWEST GAS CORPORATION/NO. CALIFORNIA	6970917	Y	RATE SCHEDULE FT-1	F50	9/1/2014	8/31/2019		N	28968		ym1/ym6
P	M2	WADSWORTH	29	359406	WADSWORTH	11558						
P	M2	NORTHWEST PIPELINE INTERCONNECT	29	168193	NWPL-PAIUTE	17410						
P	MQ	NORTH LAKE TAHOE CITY GATE	29	368507	PAIUTE-SWGC	21481						
P	MQ	SIERRA PACIFIC NO. 1	29	368510	PAIUTE-SPPC	1385						
P	MQ	SOUTH LAKE TAHOE CITY GATE	29	368505	PAIUTE-AVAC	19133						
