H	"Iroquois Gas Transmission System, L.P."	C000438	4/2/2018	O	4/1/2018	T		"Scott E. Rupff, (203) 925-7291"				
D	Bay State Gas Company dba Columbia Gas of Massachusetts	69340214	N	RTS	182003	11/1/2017	11/1/2022		N	28840		
A	Bay State Gas Company dba Columbia Gas of Massachusetts	N										
P	M2	WADDINGTON	95	2250	ZONE 1	28840						
P	MQ	WRIGHT	95	2255	ZONE 1	28840						
D	Boston Gas Company dba National Grid	6951586	N	RTS	42001	12/1/1991	11/1/2022		N	46133		
A	KeySpan Gas East Corporation dba National Grid	N										
P	M2	WADDINGTON	95	2250	ZONE 1	46133						
P	MQ	WRIGHT	95	2255	ZONE 1	46133						
D	BP Energy Company	625275755	N	RTS	141028	11/1/2017	6/1/2018		N	50000		
A	BP Energy Company	N										
P	M2	WADDINGTON	95	2250	ZONE 1	50000						
P	MQ	WRIGHT	95	2255	ZONE 1	50000						
D	"Brooklyn Navy Yard Cogen. Partners, LP"	808843569	N	RTS	198001	10/1/1996	10/1/2021		N	25548		
A	KeySpan Gas East Corporation dba National Grid	N										
P	M2	WADDINGTON	95	2250	ZONE 1	25548						
P	MQ	SOUTH COMMACK	95	2249	ZONE 2	25548						
D	Central Hudson Gas & Electric Corporation	6993695	N	RTS	51001	1/25/1992	11/1/2022		N	20234		
A	Central Hudson Gas & Electric Corporation	N										
P	M2	WADDINGTON	95	2250	ZONE 1	20234						
P	MQ	PLEASANT VALLEY	95	2262	ZONE 2	20234						
D	Colonial Gas Company d/b/a National Grid	6954903	N	RTS	48001	12/1/1991	11/1/2022		N	6070		
A	KeySpan Gas East Corporation dba National Grid	N										
P	M2	WADDINGTON	95	2250	ZONE 1	6070						
P	MQ	WRIGHT	95	2255	ZONE 1	6070						
D	Connecticut Natural Gas Corporation	1139294	N	RTS	60001	1/25/1992	11/1/2022		N	25292		x1/x2
A	The Southern Connecticut Gas Company	N										
P	M2	WADDINGTON	95	2250	ZONE 1	25292		x1/x2				
