H	Gas Transmission Northwest LLC	C000516	4/2/2018	O	4/1/2018	B	B	Kay Dennison	832-320-5336	
D	Apache Corporation	6961551	N	FTS-1	8667	7/1/2003	10/31/2023		N	11755
P	M2	KINGSGATE	95	3498	N/A	11755				
P	MQ	MALIN	95	1820	N/A	11755				
D	ARC RESOURCES LTD.	253875702	N	FTS-1	18312	4/1/2018	3/31/2023		N	46000
P	M2	KINGSGATE	95	3498	N/A	46000				
P	MQ	MALIN	95	1820	N/A	46000				
D	"Avangrid Renewables, LLC"	947376422	N	FTS-1	7828	6/3/2001	10/31/2025		N	80000
A	"ENSTOR Energy Services, LLC"	N								
A	"ENSTOR Energy Services, LLC"	N								
P	M2	MEDFORD LATERAL MC	95	370669	N/A	80000				
P	MQ	KLAMATH PPM	95	311972	N/A	80000				
D	"Avangrid Renewables, LLC"	947376422	N	FTS-1	8554	11/1/2003	10/31/2028		N	45000
A	"ENSTOR Energy Services, LLC"	N								
A	"ENSTOR Energy Services, LLC"	N								
P	M2	KINGSGATE	95	3498	N/A	45000				
P	MQ	MALIN	95	1820	N/A	45000				
D	"Avangrid Renewables, LLC"	947376422	N	FTS-1	8894	11/1/2006	10/31/2023		N	10000
A	"ENSTOR Energy Services, LLC"	N								
A	"ENSTOR Energy Services, LLC"	N								
P	M2	KINGSGATE	95	3498	N/A	10000				
P	MQ	MALIN	95	1820	N/A	10000				
D	Avista Corporation	7943764	N	FTS-1	182	11/1/1993	10/31/2023		N	7140
P	M2	KINGSGATE	95	3498	N/A	7140				
P	MQ	MALIN	95	1820	N/A	7140				
D	Avista Corporation	7943764	N	FTS-1	204	11/1/1993	10/31/2023		N	0
P	M2	KINGSGATE	95	3498	N/A	0				
P	MQ	MALIN	95	1820	N/A	0				
D	Avista Corporation	7943764	N	FTS-1	2857	11/1/1995	10/31/2025		N	30000
P	M2	MEDFORD LATERAL MC	95	370669	N/A	30000				
P	MQ	PHOENIX MEDFORD	95	198182	N/A	30000				
D	Avista Corporation	7943764	N	FTS-1	2858	11/1/1995	10/31/2025		N	1400
P	M2	MEDFORD LATERAL MC	95	370669	N/A	1400				
P	MQ	WEST KLAMATH TAP	95	198183	N/A	1400				
D	Avista Corporation	7943764	N	FTS-1	2892	11/1/1995	10/31/2023		N	10000
P	M2	KINGSGATE	95	3498	N/A	10000				
P	MQ	COYOTE SPRINGS LATERAL MC	95	370656	N/A	10000				
D	Avista Corporation	7943764	N	FTS-1	8035	11/1/2001	10/31/2025		N	20000
P	M2	MEDFORD LATERAL MC	95	370669	N/A	20000				
P	MQ	PHOENIX MEDFORD	95	198182	N/A	20000				
D	Avista Corporation	7943764	N	FTS-1	8218	1/1/2002	10/31/2023		N	28626
P	M2	COYOTE SPRINGS LATERAL MC	95	370656	N/A	28626				
P	MQ	COYOTE SPRINGS 2	95	314579	N/A	28626				
