H	Tuscarora Gas Transmission Company	C000518	4/2/2018	O	4/1/2018	T	T	Kay Dennison	832-320-5336	
D	Avista Corporation	7943764	N	FT	F007	10/1/1996	7/6/2020		N	200
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	200				
P	MQ	MALIN CITY GATE N0.1	95	222005	N/A	200				
D	Barrick Goldstrike Mines Inc.	2225618	N	FT	F074	8/1/2005	7/31/2020		N	20000
A	"Shell Energy North America (US), L.P."	N								
A	"Shell Energy North America (US), L.P."	N								
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	20000				
P	MQ	WESTERN 102 GENERATION FACILITY	95	459801	N/A	20000				
D	California Department of Corrections and Rehabilitation	808513709	N	FT	F021	12/1/2001	11/30/2021		N	550
A	"EDF Trading North America, LLC"	N								
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	550				
P	MQ	SUSANVILLE	95	313570	N/A	550				
D	City of Susanville	94377157	N	FT	F020	11/12/2001	11/11/2021		N	200
A	"IGI Resources, Inc."	N								
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	200				
P	MQ	SUSANVILLE	95	313570	N/A	200				
D	City of Susanville	94377157	N	FT	F037	11/1/2002	10/31/2022		N	150
A	"IGI Resources, Inc."	N								
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	150				
P	MQ	SUSANVILLE	95	313570	N/A	150				
D	City of Susanville	94377157	N	FT	F063	2/1/2004	11/30/2021		N	250
A	"IGI Resources, Inc."	N								
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	250				
P	MQ	SUSANVILLE	95	313570	N/A	250				
D	City of Susanville	94377157	N	FT	F086	2/2/2006	11/30/2021		N	400
A	"IGI Resources, Inc."	N								
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	400				
P	MQ	SUSANVILLE	95	313570	N/A	400				
D	Eldorado Resorts LLC	62946637	N	FT	F151	4/1/2010	11/30/2019		N	500
A	"KTM, Inc."	N								
A	"KTM, Inc."	N								
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	500				
P	MQ	SPANISH SPRINGS	95	227007	N/A	500				
D	"IGI Resources, Inc."	194290953	N	FT	F034	10/1/2002	9/30/2019		N	760
P	M2	TUSCARORA/GTN INTERCONNECT	95	190095	N/A	760				
P	MQ	SPANISH SPRINGS	95	227007	N/A	760				
