H	"ENABLE GAS TRANSMISSION, LLC"	C000544	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
D	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY ARKANSAS GAS"	803838838	Y	FSS	1100046	9/1/1993	3/31/2021		Y	0	14648017	
A	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY TEXAS GAS OPER"	Y										
A	"CENTERPOINT ENERGY SERVICES, INC."	Y										
P	SB	NOT APPLICABLE				0	14648017					
D	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY LOUISIANA GAS"	803838838	Y	FSS	1100029	9/1/1993	3/31/2021		Y	0	4277000	
A	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY TEXAS GAS OPER"	Y										
A	"CENTERPOINT ENERGY SERVICES, INC."	Y										
P	SB	NOT APPLICABLE				0	4277000					
D	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY OKLAHOMA GAS"	803838838	Y	FSS	1100031	9/1/1993	3/31/2021		Y	0	2780000	
A	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY TEXAS GAS OPER"	Y										
A	"CENTERPOINT ENERGY SERVICES, INC."	Y										
P	SB	NOT APPLICABLE				0	2780000					
D	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY TEXAS GAS OPER"	803838838	Y	FSS	1100050	4/1/2005	3/31/2021		Y	0	574000	
P	SB	NOT APPLICABLE				0	574000					
D	"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY TEXAS GAS OPER"	803838838	Y	FSS	1100051	4/1/2006	3/31/2021		Y	0	641000	
P	SB	NOT APPLICABLE				0	641000					
D	200 WEST CAPITOL LLC	848138231	N	FT	1008296	10/1/2010	3/31/2012	365	N	276	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	276	0					
P	MQ	200 WEST CAPITOL ACCT	95	14890	NORTH POOLING AREA	276	0	YI3/YK3				
