H	"ENABLE MISSISSIPPI RIVER TRANSMISSION, LLC"	C000545	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
D	AMEREN ILLINOIS COMPANY DBA AMEREN ILLINOIS	6936017	N	FSS	3411	5/16/2004	5/15/2019		N	0	1000000	
P	SB	NOT APPLICABLE				0	1000000					
D	"AMSTED RAIL COMPANY, INC"	70015748	N	FSS	482	11/1/1993	5/15/2020		N	0	35946	
A	DELTA ENERGY LLC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	35946					
D	CENTERPOINT ENERGY RESOURCES CORP	803838838	Y	FSS	500	11/1/1993	5/15/2018		N	0	975545	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	975545					
D	"CENTERPOINT ENERGY SERVICES, INC"	838611739	Y	FSS	1183	6/1/1995	5/15/2017	365	N	0	30000	
P	SB	NOT APPLICABLE				0	30000					
D	"CENTERPOINT ENERGY SERVICES, INC"	838611739	Y	FSS	3949	5/10/2010	5/15/2017	365	N	0	450400	
P	SB	NOT APPLICABLE				0	450400					
D	"CITY OF AUGUSTA, ARKANSAS"	21350616	N	FSS	504	11/1/1993	5/15/2017	365	N	0	17500	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	17500					
D	"CITY OF CHESTER, ILLINOIS"	77147254	N	FSS	507	11/1/1993	5/15/2017	365	N	0	100000	
A	UTILITY SAFETY & DESIGN INC.	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	100000					
D	"CITY OF DES ARC, ARKANSAS"	36789881	N	FSS	508	11/1/1993	5/15/2017	365	N	0	17500	
A	UTILITY SAFETY & DESIGN INC.	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	17500					
D	"CITY OF POTOSI, MISSOURI"	95482022	N	FSS	513	11/1/1993	5/15/2017	365	N	0	70000	
A	UTILITY SAFETY & DESIGN INC.	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	70000					
D	"CITY OF RED BUD, ILLINOIS"	836018747	N	FSS	515	11/1/1993	5/15/2017	365	N	0	53379	
A	UTILITY SAFETY & DESIGN INC.	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	53379					
D	"CITY OF WATERLOO, ILLINOIS"	77132868	N	FSS	516	11/1/1993	5/15/2017	365	N	0	60000	
A	UTILITY SAFETY & DESIGN INC.	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	60000					
D	"ENABLE GAS TRANSMISSION, LLC"	872670161	Y	FSS	3552	5/16/2003	5/15/2020		N	0	1936689	
P	SB	NOT APPLICABLE				0	1936689					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP	78314967	N	FSS	4545	8/1/2012	7/31/2017	365	N	0	27499	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	27499					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP	78314967	N	FSS	4551	8/1/2012	5/15/2017	365	N	0	109994	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	109994					
D	MISSISSIPPI LIME COMPANY	6285225	N	FSS	494	11/1/1993	5/15/2020		N	0	125000	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	125000					
D	NORTH CROSSETT UTILITIES	91684803	N	FSS	511	11/1/1993	5/15/2017	365	N	0	12500	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	12500					
D	SPIRE MISSOURI INC	6967798	N	FSS	3147	5/1/2002	5/15/2018		N	0	22000000	P4/YN4/M4
P	SB	NOT APPLICABLE				0	22000000					
D	UNITED STATES STEEL CORPORATION	2028801	N	FSS	3086	5/1/2002	5/15/2018		N	0	1714177	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	1714177					
D	"VILLAGE OF DUPO, ILLINOIS"	92349752	N	FSS	510	11/1/1993	5/15/2017	365	N	0	30000	
A	UTILITY SAFETY & DESIGN INC.	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	SB	NOT APPLICABLE				0	30000					
D	AMEREN ILLINOIS COMPANY DBA AMEREN ILLINOIS	6936017	N	FTS	3620	5/1/2004	5/15/2019		N	80000	0	
P	M2	DUKE @ PERRYVILLE	95	12745	FIELD	27200	0					
P	M2	PERRYVILLE DISP - EGT	95	12993	FIELD	10991	0					
P	M2	DUKE @ LEATHERMAN CREEK	95	90570	FIELD	1267	0					
P	M2	DELHI @ HARRISON	95	90571	FIELD	8941	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	27617	0					
P	M2	STORAGE	95	805607	FIELD	0	17419					
P	M2	WASKOM - EGT	95	808527	FIELD	3984	0					
P	MQ	AMEREN ILLINOIS AGGREGA	95	805535	MARKET	80000	0					
D	"AMSTED RAIL COMPANY, INC"	70015748	N	FTS	247	11/1/1993	10/31/2019		N	1025	0	
A	DELTA ENERGY LLC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	160	0					
P	M2	SLIGO	95	90386	FIELD	75	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	308	0					
P	M2	NOARK TO MRT_LAWRENCE	95	805548	FIELD	132	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	134	0					
P	M2	STORAGE	95	805607	FIELD	0	626					
P	M2	WASKOM - EGT	95	808527	FIELD	22	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	19	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	175	0					
P	MQ	AMERICAN STEEL FOUND	95	805508	MARKET	1025	0					
D	"AMSTED RAIL COMPANY, INC"	70015748	N	FTS	1012	5/16/1995	5/15/2020		N	0	0	
A	DELTA ENERGY LLC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	GLENDALE - EGT	95	805547	FIELD	0	0					
