H	Viking Gas Transmission	C000581	4/2/2018	O	4/1/2018	T		Teri Tingler 918-588-7745		
D	"ACE Ethanol, LLC"	59647052	N	FT-A	AF0001	7/1/2002	5/31/2019		N	2000
A	"Kinect Energy, Inc."	N								
P	M2	Emerson	29	33973	Zone-1	2000			P	
P	MQ	Cadott	29	28694	Zone-2	2000			P	
D	"ACE Ethanol, LLC"	59647052	N	FT-A	AF0197	11/1/2012	10/31/2022		N	2000
A	"Kinect Energy, Inc."	N								
P	M2	Emerson	29	33973	Zone-1	2000			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	2000			P	
D	American Crystal Sugar Company	64792773	N	FT-A	AF0058	8/1/2003	9/30/2021		N	10920
A	"Kinect Energy, Inc."	N								
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Little Falls	29	288040	Zone-1	0			P	
P	M2	Emerson	29	33973	Zone-1	3120			P	
P	MQ	Crookston	29	12002	Zone-1	3120			P	
P	M2	Emerson	29	33973	Zone-1	3120			P	
P	MQ	Moorhead	29	15224	Zone-1	3120			P	
P	M2	Emerson	29	33973	Zone-1	4680			P	
P	MQ	East Grand Forks	29	12001	Zone-1	4680			P	
D	BP Canada Energy Marketing Corp.	248799413	N	FT-A	AF0017	11/1/2002	10/31/2022		N	15000
P	M2	Emerson	29	33973	Zone-1	15000			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	15000			P	
D	"Big River Resources Boyceville, LLC"	78305637	N	FT-A	AF0176	6/1/2012	5/31/2022		N	1300
A	"Kinect Energy, Inc."	N								
P	M2	Emerson	29	33973	Zone-1	1300			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	1300			P	
D	"Big River Resources Boyceville, LLC"	78305637	N	FT-A	AF0194	11/1/2012	10/31/2022		N	2500
A	"Kinect Energy, Inc."	N								
P	M2	Emerson	29	33973	Zone-1	2500			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	2500			P	
D	"Big River Resources Boyceville, LLC"	78305637	N	FT-A	AF0198	11/1/2012	10/31/2022		N	700
A	"Kinect Energy, Inc."	N								
