H	Midwestern Gas Transmission	C000582	4/2/2018	O	4/1/2018	T		Teri Tingler 918-588-7745		
D	Alcoa Warrick LLC	990000008	N	FT-A	FA1046	11/1/2016	10/31/2018		N	10000
A	"Kinect Energy, Inc."	N								
P	M2	Portland	29	217671		10000			P	
P	MQ	Sigeco	29	153635		10000			P	
D	Alcoa Warrick LLC	990000008	N	FT-A	FA1199	6/1/2017	3/31/2019		N	5000
P	M2	Portland	29	217671		5000			P	
P	MQ	Sigeco	29	153635		5000			P	
D	Ameren Illinois Company d/b/a Ameren Ill	6936017	N	FT-A	FA0940	4/1/2012	3/31/2019		N	3000
P	M2	Portland	29	217671		3000			P	
P	MQ	Millsdale	29	360136		3000			P	
D	Ameren Illinois Company d/b/a Ameren Ill	6936017	N	FT-A	FA0941	4/1/2012	3/31/2019		N	3000
P	M2	Joliet - ANR	29	4204		3000			P	
P	MQ	Portland	29	217671		3000			P	
D	Ameren Illinois Company d/b/a Ameren Ill	6936017	N	FT-GS	FG0006	9/1/1993	10/31/2018		N	780
P	M2	Potomac - Trunkline	29	18189		780			P	
P	MQ	Oakwood	29	4128		780			P	
D	Ameren Illinois Company d/b/a Ameren Ill	6936017	N	FT-GS	FG0007	9/1/1993	10/31/2018		N	600
P	M2	Portland	29	217671		100			P	
P	MQ	Ameren Power	29	283548		100			P	
P	M2	Portland	29	217671		500			P	
P	MQ	East Lynn	29	4132		500			P	
D	Antero Resources Corporation	831003012	N	FT-A	FA0963	4/1/2013	9/30/2021		N	140000
P	M2	Scotland REX	29	696639		50000			P	
P	MQ	Channahon	29	227982		50000			P	
P	M2	Scotland REX	29	696639		90000			P	
P	MQ	Millsdale	29	360136		90000			P	
D	Antero Resources Corporation	831003012	N	FT-A	FA0987	8/1/2013	10/31/2018		N	25000
P	M2	Portland	29	217671		25000			P	
P	MQ	Millsdale	29	360136		25000			P	
D	Antero Resources Corporation	831003012	N	FT-A	FA1001	3/29/2016	3/28/2031		Y	125000
P	M2	Scotland REX	29	696639		125000			P	
P	MQ	Millsdale	29	360136		125000			P	
D	BP Canada Energy Marketing Corp	248799413	N	FT-A	FA0844	11/1/2006	10/31/2026		Y	7506
P	M2	Joliet - ANR	29	4204		7506			P	
P	MQ	Whitesville	29	6135		7506			P	
D	BP Canada Energy Marketing Corp	248799413	N	FT-A	FA0916	11/1/2011	10/31/2018		N	40000
P	M2	Scotland REX	29	696639		40000			P	
P	MQ	Channahon	29	227982		40000			P	
D	BP Canada Energy Marketing Corp	248799413	N	FT-A	FA0917	11/1/2011	10/31/2018		N	10000
P	M2	Scotland REX	29	696639		10000			P	
P	MQ	Channahon	29	227982		10000			P	
D	BP Canada Energy Marketing Corp	248799413	N	FT-A	FA1203	4/1/2018	10/31/2025		N	2382
P	M2	Scotland REX	29	696639		2382			P	
P	MQ	Portland	29	217671		2382			P	
