H	"Guardian Pipeline, L.L.C."	C000583	4/2/2018	O	4/1/2018	T		Teri Tingler 918-588-7745		
D	"CNE Gas Supply, LLC"	829868921	N	FT-1	FT0010	11/1/2005	3/31/2019		N	1150
P	M2	Joliet Alliance	29	352446		300			P	
P	MQ	Walworth	29	359493		300			P	
P	M2	Joliet Alliance	29	352446		850			P	
P	MQ	Bluff Creek WG	29	359490		850			P	
D	"CNE Gas Supply, LLC"	829868921	N	FT-1	FT0039	4/1/2017	4/30/2018		N	2500
P	M2	Joliet Alliance	29	352446		2500			P	
P	MQ	Ixonia	29	379832		2500			P	
D	"EDF Energy Services, LLC"	788707847	N	FT-1	FT0035	11/1/2017	3/31/2019		N	15000
P	M2	Joliet Alliance	29	352446		15000			P	
P	MQ	Ixonia	29	379832		15000			P	
D	"Expera Specialty Solutions, LLC"	790443449	N	FT-2	FT2021	11/1/2015	10/31/2018		N	2800
A	"Twin Eagle Resources, LLC"	N								
P	M2	Joliet Alliance	29	352446		2800			P	
P	MQ	West Greenbay	29	778118		2800			P	
D	"Guardian Pipeline, L.L.C."	31752897	N	EAWF	FW3000	9/1/2011	12/31/2049		N	80000
P	M2	Joliet Vector	29	394756		80000			P	
P	MQ	Joliet Storage Pool	29	799138		80000			P	
D	Wisconsin Electric Power Company	38984456	N	FT-1	FT0029	11/1/2015	10/31/2020		N	48000
P	M2	Joliet Alliance	29	352446		24000			P	
P	MQ	Ixonia	29	379832		24000			P	
P	M2	Joliet NBPL	29	359487		24000			P	
P	MQ	Ixonia	29	379832		24000			P	
D	Wisconsin Electric Power Company	7947385	N	FT-1	FT0033	11/1/2016	10/31/2019		N	5898
P	M2	Joliet Alliance	29	352446		5898			P	
P	MQ	Rockvale	29	359488		5898			P	
D	Wisconsin Electric Power Company	7947385	N	FT-2	FT2001	2/10/2009	3/31/2024		Y	201656
P	M2	Wisconsin Electric Pool	29	473454		0			P	
P	MQ	Rockvale	29	359488		0			P	
P	M2	Wisconsin Electric Pool	29	473454		0			P	
P	MQ	Walworth	29	359493		0			P	
P	M2	Wisconsin Electric Pool	29	473454		123102			P	
P	MQ	Bluff Creek WG	29	359490		123102			P	
P	M2	Wisconsin Electric Pool	29	473454		78554			P	
P	MQ	Fox Valley	29	778102		78554			P	
D	Wisconsin Electric Power Company	7947385	N	EAWF	FW2001	2/10/2009	3/31/2024		Y	201676
P	M2	Joliet ANR	29	338687		9257			P	
P	MQ	Wisconsin Electric Pool	29	473454		9257			P	
P	M2	Joliet Alliance	29	352446		9401			P	
P	MQ	Wisconsin Electric Pool	29	473454		9401			P	
P	M2	Joliet MGT	29	359485		0			P	
P	MQ	Wisconsin Electric Pool	29	473454		0			P	
P	M2	Joliet NBPL	29	359487		4000			P	
P	MQ	Wisconsin Electric Pool	29	473454		4000			P	
P	M2	Joliet NGPL	29	359489		0			P	
P	MQ	Wisconsin Electric Pool	29	473454		0			P	
P	M2	Joliet Peoples	29	359508		0			P	
P	MQ	Wisconsin Electric Pool	29	473454		0			P	
P	M2	Joliet Vector	29	394756		179018			P	
P	MQ	Wisconsin Electric Pool	29	473454		179018			P	
P	M2	Wisconsin Electric Pool	29	473454		0			P	
P	MQ	Wisconsin Electric Pool	29	473454		0			P	
D	Wisconsin Electric Power Company	7947385	N	FT-1	RT0183	11/1/2011	12/6/2022		Y	188210
