H	"GULF SOUTH PIPELINE COMPANY, LP"	C000591	2/13/2018	R	1/1/2018	T	T	NATALIE LAWRENCE 713-479-8208				
D	"ABITA SPRINGS, TOWN OF"	944207745	N	FTS-SCO	36199	4/1/2009	3/31/2019		N	390	0	
A	BLACKBELT ENERGY	N										
P	MQ	ABITA SPRINGS CITY GATE	95	2406	SYSTEM 	390	0					
P	M2	PETAL STO LEG (FROM PETAL VIA GS L	95	10736	SYSTEM 	390	0					
D	"ABITA SPRINGS, TOWN OF"	944207745	N	NNS-SCO	36200	4/1/2009	4/30/2023		N	260	0	
A	BLACKBELT ENERGY	N										
P	MQ	ABITA SPRINGS CITY GATE	95	2406	SYSTEM 	260	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	52	0					
P	M2	PETAL STO LEG (FROM PETAL VIA GS L	95	10736	SYSTEM 	130	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	78	0					
D	AETHON UNITED BR LP	80348478	N	FTS	47248	10/4/2016	3/31/2021		N	30000	0	
A	SCONA LLC	N										
P	M2	AETHON UNITED DESOTO AGGREGATE	95	21967	SYSTEM 	15000	0					
P	MQ	LONEWA (TO TEXAS GAS)	95	3362	SYSTEM 	30000	0					
P	M2	RED CHUTE CP	95	21293	SYSTEM 	10000	0					
P	M2	SECTION 23 CP - AETHON UNITED	95	21416	SYSTEM 	5000	0					
D	AETHON UNITED BR LP	80348478	N	FTS	48311	7/1/2017	10/31/2024		N	45000	0	
A	SCONA LLC	N										
P	MQ	PERRYVILLE TRANSPORTATION POINT	95	23201	SYSTEM 	45000	0					
P	M2	SECTION 23 CP - AETHON UNITED	95	21416	SYSTEM 	45000	0					
D	"AIR PRODUCTS & CHEMICALS, INC."	3001070	N	FTS	44903	7/1/2015	1/31/2018		N	50000	0	
A	BP ENERGY COMPANY	N										
P	MQ	AIR PRODUCTS HYDROGEN @ LULING	95	22749	SYSTEM 	50000	0					
P	M2	KILN (FROM TENN GAS)	95	2921	SYSTEM 	50000	0					
D	"ALTO, CITY OF"	94083136	N	FTS-SCO	40836	4/1/2014	3/31/2019		N	640	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	640	0					
P	MQ	ALTO/WELLS CITY GATE	95	571	SYSTEM 	640	0					
D	"ALTO, CITY OF"	94083136	N	NNS-SCO	40837	4/1/2014	3/31/2019		N	1010	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	MQ	ALTO/WELLS CITY GATE	95	571	SYSTEM 	1010	0					
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	505	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	202	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	303	0					
D	"APPLEBY NATURAL GAS SYSTEM, CITY OF"	838785301	N	NNS-SCO	40847	4/1/2014	3/31/2019		N	856	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	MQ	APPLEBY CITY GATE	95	578	SYSTEM 	856	0					
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	428	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	171	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	257	0					
D	"APPLEBY NATURAL GAS SYSTEM, CITY OF"	838785301	N	FTS-SCO	40851	4/1/2014	3/31/2019		N	409	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	409	0					
P	MQ	APPLEBY CITY GATE	95	578	SYSTEM 	409	0					
D	"ARNAUDVILLE, TOWN OF"	625739925	N	NNS-SCO	36202	4/1/2009	3/31/2019		N	631	0	
A	BLACKBELT ENERGY	N										
P	MQ	ARNAUDVILLE CITY GATE	95	3024	SYSTEM 	631	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	158	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	126	0					
P	M2	KILN (FROM TENN GAS)	95	2921	SYSTEM 	158	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	189	0					
D	ASCEND PERFORMANCE MATERIALS OPERATIONS LLC	830235474	N	FTS	46511	4/1/2017	3/31/2018		N	31000	0	
P	MQ	ASCEND - PENSACOLA PLT	95	2417	SYSTEM 	31000	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	31000	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FTS-P	8438	1/1/2015	3/31/2018		Y	75793	0	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	25250	0					
P	MQ	SONAT PETAL DELIVERY	95	109011	SYSTEM 	75793	0					
P	M2	SONAT PETAL RECEIPT	95	108011	SYSTEM 	25250	0					
