H	ROCKIES EXPRESS PIPELINE LLC	C000594	2/2/2018	R	2/2/2018	T	T	MARILYN WEST 303-763-2913				
D	ANTERO RESOURCES CORPORATION	831003012	N	FTS	947930	6/25/2014	1/19/2035	6227	Y	600000		O1
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	200000						
P	M2	MARKWEST/REX SENECA NOBLE	95	56116	ZONE 3	600000						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	165000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	235000						
D	"ARM ENERGY MANAGEMENT, LLC"	78609451	N	FTS	949128	5/1/2016	11/11/2019	679	Y	50000		
P	MQ	TET/REX CLAR MONROE	95	44425	ZONE 3	25000						
P	MQ	TGP/REX  GUERNSEY	95	44423	ZONE 3	25000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	50000						
D	"ARM ENERGY MANAGEMENT, LLC"	78609451	N	FTS	949139	11/1/2016	11/11/2019	679	Y	52500		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	17500						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	35000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	50000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	2500						
D	"ASCENT RESOURCES - UTICA, LLC"	79174372	Y	FTS	949011	12/13/2016	1/5/2032	5117	Y	150000		YE2
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N	YE2									
A	TENASKA MARKETING VENTURES	N	YE2									
A	MACQUARIE ENERGY LLC	N	YE2									
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N	YE2									
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	150000						
P	M2	OHIO RIVER SYSTEM/REX BEARWALLOW MON	95	60060	ZONE 3	150000						
D	"ASCENT RESOURCES - UTICA, LLC"	79174372	Y	FTS	947977	8/1/2015	7/31/2035	6420	Y	450000		YE2/YE3
A	TENASKA MARKETING VENTURES	N	YE2									
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N	YE2/YE3									
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N	YE2									
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	100000						
P	M2	E OH GAS/REX CLAR MONROE	95	44490	ZONE 3	150000						
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	25000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	350000						
P	M2	OHIO RIVER SYSTEM/REX BEARWALLOW MON	95	60060	ZONE 3	275000						
D	BP ENERGY COMPANY	625275755	N	FTS	553076	6/29/2009	11/11/2019	679	Y	100000		
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	62500						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	35000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	2500						
P	M2	WAMSUTT/REX ECHO SPRINGS SWEETWATER	95	42760	ZONE 1	100000						
D	BP ENERGY COMPANY	625275755	N	FTS	949178	6/1/2016	11/11/2019	679	Y	25000		
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	15000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	10000						
P	M2	WAMSUTT/REX ECHO SPRINGS SWEETWATER	95	42760	ZONE 1	10000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	15000						
D	BP ENERGY COMPANY	625275755	N	FTS	949890	11/1/2017	3/31/2018	89	Y	40000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	10000						
P	MQ	CITIZENS/REX  MORGAN	95	44430	ZONE 3	20000						
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	40000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	10000						
D	CITIZENS GAS	6421481	N	FTS	949295	12/13/2016	1/5/2032	5117	Y	20000		YE4
A	"EXELON GENERATION COMPANY, LLC"	N	YE4									
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	20000						
P	M2	OHIO RIVER SYSTEM/REX BEARWALLOW MON	95	60060	ZONE 3	10000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	10000						
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	949853	1/1/2018	1/31/2018	30	Y	30000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	13300						
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	10000						
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	10000						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	12800						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	3900						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	10000						
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	553077	6/29/2009	11/11/2019	679	Y	400000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	75000						
P	M2	LOST CRK/REX  SWEETWATER	95	43036	ZONE 1	43902						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	125000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	70000						
P	MQ	NNG/REX  GAGE	95	43037	ZONE 2	100000						
P	MQ	PEPL/REX DEL PUTNAM	95	44415	ZONE 3	30000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	150000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	206098						
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	949883	11/1/2017	3/31/2018	89	Y	30000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	20000						
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	30000						
P	MQ	PEPL/REX DEL PUTNAM	95	44415	ZONE 3	5000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	5000						
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FTS	950034	1/1/2018	4/30/2018	119	Y	80000		O1
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	40000						
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	35000						
P	MQ	PEPL/REX DEL PUTNAM	95	44415	ZONE 3	40000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	45000						
D	"ELEMENT MARKETS RENEWABLE NATURAL GAS, LLC"	79608633	N	BHS	949523	4/1/2017	2/28/2018	58	N	2150		
P	MQ	OVRTHRUS/REX WAMSUTTER (OT #27) SWE	95	42804	ZONE 1	2150						
P	M2	REX/REX CHEYENNE HUB POOL WELD	95	43492	ZONE 1	2150						
D	"ELEMENT MARKETS RENEWABLE NATURAL GAS, LLC"	79608633	N	FTS	949522	4/1/2017	2/28/2018	58	N	2150		
P	M2	REX/REX CHEYENNE HUB POOL WELD	95	43492	ZONE 1	2150						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	2150						
D	"EM ENERGY OHIO, LLC"	79413346	N	FTS	949626	5/1/2017	1/5/2032	5117	Y	50000		
A	BP ENERGY COMPANY	N										
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	50000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	50000						
D	ENCANA MARKETING (USA) INC.	147350552	N	FTS	553372	6/18/2011	6/17/2021	1263	Y	200000		
P	MQ	CHEY/REX CRAZY BEAR WELD	95	42718	ZONE 1	175000						
P	M2	OVRTHRUS/REX WAMSUTTER (OT #27) SWE	95	42804	ZONE 1	200000						
P	MQ	REX/REX CHEYENNE HUB POOL WELD	95	43492	ZONE 1	25000						
D	ENCANA MARKETING (USA) INC.	147350552	N	FTS	553078	6/29/2009	5/19/2024	2330	Y	506000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	121600						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	66100						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	118300						
P	MQ	NNG/REX  GAGE	95	43037	ZONE 2	100000						
P	MQ	PEPL/REX DEL PUTNAM	95	44415	ZONE 3	50000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	50000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	506000						
D	"EOG RESOURCES, INC."	186830733	N	FTS	553079	6/29/2009	11/11/2019	679	Y	50000		YE2
A	BP ENERGY COMPANY	N	YE2									
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	25000						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	25000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	50000						
D	"EOG Y RESOURCES, INC."	7785728	N	FTS	553083	6/29/2009	11/11/2019	679	Y	28000		
P	MQ	DOMINION/REX CLAR MONROE	95	44424	ZONE 3	5000						
P	MQ	TET/REX CLAR MONROE	95	44425	ZONE 3	15000						
P	MQ	TGP/REX  GUERNSEY	95	44423	ZONE 3	8000						
P	M2	WIC/REX SITTING BULL WELD	95	42722	ZONE 1	28000						
