H	"TALLGRASS INTERSTATE GT, LLC"	C000597	2/2/2018	R	2/2/2018	T	T	MARILYN WEST 303-763-2913				
D	AG PROCESSING INC. A COOPERATIVE	5275631	N	FT	554975	1/1/2011	12/31/2019	729	N	600		
A	BP CANADA ENERGY MARKETING CORP.	N										
P	MQ	AG PRO/TIGT ETHANOL PLANT ADAMS	95	700605	TIGT-E	600						
P	M2	TIGT/REX  FRANKLIN	95	43190	TIGT-E	600						
D	"ALMA, CITY OF"	78012358	N	SCS	30006	10/1/1993	9/30/2019	637	N	800	36000	
A	NATIONAL PUBLIC GAS AGENCY	N										
P	MQ	ALMA/TIGT TBS HARLAN	95	14501	TIGT-E	800						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	800						
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	400						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	800						
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	CMC-2	568712	6/1/2014	5/31/2024	2342	N	25100	2413461	
P	IJ	HUNTSMAN STORAGE CMC	95	994500	TIGT-W	15447						
P	WR	HUNTSMAN STORAGE CMC	95	994500	TIGT-W	25100						
P	MQ	TPC/TIGT  LOGAN	95	7413	TIGT-W	25100						
P	M2	WIC/TIGT ROCKPORT WELD	95	9663	TIGT-W	15447						
D	"ARCHER ENERGY, LLC"	79693561	N	FT	949896	12/1/2017	2/28/2018	58	N	1000		
P	MQ	TIGT/BHGDCASP KMIGT TO BHGD CASPER NA	95	18106	TIGT-W	1000						
P	M2	TMID/TIGT DOUGLAS PLT OUTLET CONVER	95	996620	TIGT-W	1000						
D	ATMOS ENERGY CORPORATION	6915532	N	FT	552848	11/10/2008	11/9/2018	312	Y	55000		O1/YE3
A	CONCORD ENERGY LLC	N	YE3									
P	MQ	ATMOS/TIGT BRACEWELL CO MBS WELD	95	44098	TIGT-W	750						
P	MQ	ATMOS/TIGT EATON CO MBS WELD	95	44097	TIGT-W	6750						
P	MQ	ATMOS/TIGT GREELEY NORTH & WEST WEL	95	44099	TIGT-W	34250						
P	MQ	ATMOS/TIGT GREELEY SOUTH WELD	95	44106	TIGT-W	13250						
P	M2	WIC/TIGT ROCKPORT WELD	95	9663	TIGT-W	55000						
D	ATMOS ENERGY CORPORATION	6915532	N	SCS	30003	10/1/1998	3/31/2023	1915	N	1800	81000	
P	MQ	"ATMOS/TIGT ALEXANDER, KS  TBS RUSH"	95	13001	TIGT-E	41						
P	MQ	"ATMOS/TIGT BAZINE, KS  TBS NESS"	95	13003	TIGT-E	228						
P	MQ	"ATMOS/TIGT MCCRACKEN, KS  TBS RUSH"	95	13005	TIGT-E	145						
P	MQ	ATMOS/TIGT NESS CITY TBS NESS	95	13007	TIGT-E	1386						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1800						
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	900						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1800						
D	ATMOS ENERGY CORPORATION	6915532	N	CMC-2	554357	2/1/2010	3/31/2024	2281	Y	15600	1500000	YE3
A	CONCORD ENERGY LLC	N	YE3									
P	IJ	HUNTSMAN STORAGE CMC	95	994500	TIGT-W	9600						
P	WR	HUNTSMAN STORAGE CMC	95	994500	TIGT-W	15600						
