H	ANR PIPELINE COMPANY	C000623	4/2/2018	O	4/1/2018	 T 	 T 	 T 	Kay Dennison832-320-5336			
D	MIDAMERICAN ENERGY COMPANY                                                 	884718768	N	ETS  	700	11/1/1993	3/31/2020	 	N	1854	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	1854	0	0				
P	MQ	MIDAMERICAN - GRP 1            	95	139246	MW6K	1854	0	0				
D	MIDAMERICAN ENERGY COMPANY                                                 	884718768	N	ETS  	750	11/1/1993	3/31/2020	 	N	657	0	0
P	M2	MIDAMERICAN - GRP 1            	95	139246	MW6K	657	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	657	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	ETS  	800	11/1/1993	10/31/2022	 	N	6106	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	6106	0	0				
P	MQ	WISC POWER-GRP 1               	95	139257	WI7J	6106	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	ETS  	820	11/1/1996	10/31/2022	 	N	4948	0	0
P	M2	S E HEADSTATION                	95	103565	SE2A	4948	0	0				
P	MQ	WISC POWER-GRP 1               	95	139257	WI7J	4948	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	ETS  	850	11/1/1993	3/31/2022	 	N	13057	0	0
P	M2	WISC POWER-GRP 1               	95	139257	WI7J	13057	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	13057	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	ETS  	1600	11/1/1993	3/31/2019	 	Y	46267	0	0
P	MQ	WPSC - GROUP 1                 	95	139258	WI7K	46267	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	46267	0	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	ETS  	1650	11/1/1993	3/31/2019	 	N	1650	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	M2	S W HEADSTATION                	95	103702	SW4A	1650	0	0				
P	MQ	OHIO VAL-GRP 1                 	95	139236	ME3C	1650	0	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	ETS  	1700	11/1/1993	3/31/2019	 	N	1194	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	M2	OHIO VAL-GRP 1                 	95	139236	ME3C	1194	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1194	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	ETS  	5450	5/1/1997	3/31/2019	 	Y	7300	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	7300	0	0				
P	MQ	WPSC - GROUP 1                 	95	139258	WI7K	7300	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	ETS  	5500	5/1/1997	10/31/2023	 	Y	0	0	0
P	MQ	WPSC - GROUP 1                 	95	139258	WI7K	0	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	0	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	FTS-1	12000	11/1/1993	10/31/2023	 	Y	0	0	0
P	MQ	OSHKOSH                        	95	28868	WI7H	0	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	0	0	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	FTS-1	15350	11/1/1993	3/31/2019	 	N	2420	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	M2	S W HEADSTATION                	95	103702	SW4A	2420	0	0				
P	MQ	LYNN/WINCHESTER                	95	138745	ME3B	2420	0	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	FTS-1	15400	11/1/1993	3/31/2019	 	N	1752	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	M2	LYNN/WINCHESTER                	95	138745	ME3B	1752	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1752	0	0				
D	MIDAMERICAN ENERGY COMPANY                                                 	884718768	N	FSS  	30300	11/1/1993	3/31/2020	 	N	0	114400	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	114400	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	654	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	2288	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	FSS  	30500	11/1/1993	3/31/2019	 	N	0	304950	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	304950	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1743	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	6099	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	FSS  	30950	11/1/1993	3/31/2019	 	N	0	207950	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	207950	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1188	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	4159	0				
D	MIDAMERICAN ENERGY COMPANY                                                 	884718768	N	NNS  	99508	11/1/1993	3/31/2020	 	N	800	0	0
P	MQ	MIDAMERICAN - GRP 1            	95	139246	MW6K	800	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	NNS  	99509	11/1/1993	3/31/2022	 	N	9500	0	0
P	MQ	WISC POWER-GRP 1               	95	139257	WI7J	9500	0	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	NNS  	99512	11/1/1993	3/31/2019	 	N	1500	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	MQ	OHIO VAL-GRP 2                 	95	139374	ME3B	1500	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	NNS  	99515	11/1/1993	3/31/2019	 	Y	9964	0	0
