H	BLUE LAKE GAS STORAGE COMPANY	C000625	4/2/2018	O	4/1/2018		T	KAY DENNISON  (832) 320-5336			
D	ANR PIPELINE COMPANY	6958581	Y	FS	8	4/1/2013	3/31/2021		N		16000000
P	IJ	BLUE LAKE	95	139553			80000				
P	WR	BLUE LAKE	95	139554			228571				
D	ANR PIPELINE COMPANY	6958581	Y	FS	9	4/1/2013	3/31/2021		N		3000000
P	IJ	BLUE LAKE	95	139553			15000				
P	WR	BLUE LAKE	95	139554			42857				
D	ANR PIPELINE COMPANY	6958581	Y	FS	10	4/1/2013	3/31/2021		N		15000000
P	IJ	BLUE LAKE	95	139553			75000				
P	WR	BLUE LAKE	95	139554			214286				
D	ANR PIPELINE COMPANY	6958581	Y	FS	11	4/1/2013	3/31/2021		N		2000000
P	IJ	BLUE LAKE	95	139553			10000				
P	WR	BLUE LAKE	95	139554			28571				
D	DTE GAS COMPANY	6958540	N	FS	13	4/1/2018	3/31/2021		N		12000000
P	IJ	BLUE LAKE	95	139553			60000				
P	WR	BLUE LAKE	95	139554			171429				
