H	Northern Border Pipeline	C000626	4/2/2018	O	4/1/2018	T		Kay Dennison 832-320-5336		
D	Ameren Illinois Company	6936017	N	FTL-1	PL001F	11/1/2011	10/31/2021		Y	121320
P	M2	Princeton TP	95	1231252		121320				
P	MQ	Princeton	95	1231251		121320				
D	Ameren Illinois Company	6936017	N	T-1	T5601F	11/1/2010	3/31/2021		N	82746
P	M2	Port of Morgan	95	13293		82746				
P	MQ	Manhattan	95	233632		82746				
D	Anadarko Energy Services Company	199116823	N	T-1	T6874F	1/14/2011	1/31/2021		N	243750
P	M2	Port of Morgan	95	13293		243750				
P	MQ	Ventura	95	4680		243750				
D	Arconic Inc.	1339472	N	T-1	T1064F	12/22/1998	10/31/2021		N	7156
A	"U.S. Energy Services, Inc."	N	ye1							
P	M2	Ventura	95	4680		7156				
P	MQ	Davenport	95	227976		7156				
D	Arconic Inc.	1339472	N	T-1	T1110F	12/22/1998	10/31/2021		N	6066
A	"U.S. Energy Services, Inc."	N	ye1							
P	M2	Ventura	95	4680		6066				
P	MQ	Manhattan	95	233632		6066				
D	Arconic Inc.	1339472	N	T-1	T3784F	7/1/2007	10/31/2021		N	9099
A	"U.S. Energy Services, Inc."	N	ye1							
P	M2	Ventura	95	4680		9099				
P	MQ	Manhattan	95	233632		9099				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	T7590F	4/1/2012	3/31/2020		N	40039
P	M2	Port of Morgan	95	13293		40039				
P	MQ	Welcome	95	11958		40039				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TA706F	4/1/2014	3/31/2024		N	50000
P	M2	Port of Morgan	95	13293		50000				
P	MQ	Ventura	95	4680		50000				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TB683F	3/1/2014	7/31/2020		Y	33481
P	M2	Hebron	95	134641		33481				
P	MQ	Ventura	95	4680		33481				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TC045F	4/1/2014	3/31/2020		Y	25025
P	M2	Port of Morgan	95	13293		25025				
P	MQ	Ventura	95	4680		25025				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TD203F	4/1/2016	3/31/2019		Y	10010
P	M2	Port of Morgan	95	13293		10010				
P	MQ	Welcome	95	11958		10010				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TD204F	4/1/2016	3/31/2019		Y	5963
P	M2	Port of Morgan	95	13293		5963				
P	MQ	Ventura	95	4680		5963				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TD288F	2/1/2016	3/31/2022		N	20489
P	M2	Port of Morgan	95	13293		20489				
P	MQ	Ventura	95	4680		20489				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TD382F	4/1/2016	3/31/2022		N	5050
P	M2	Port of Morgan	95	13293		5050				
P	MQ	Ventura	95	4680		5050				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TL171F	3/1/2018	12/31/2018		N	104333
P	M2	Ventura	95	4680		104333				
P	MQ	Harper	95	103750		104333				
D	BP Canada Energy Marketing Corp.	248799413	N	T-1	TL440F	4/1/2018	4/2/2018		N	39689
P	M2	Port of Morgan	95	13293		39689				
P	MQ	Ventura	95	4680		39689				
D	"BioUrja Trading, LLC"	787045892	N	T-1	TL444F	4/1/2018	4/2/2018		N	1695
P	M2	Port of Morgan	95	13293		1695				
P	MQ	Ventura	95	4680		1695				
D	ConocoPhillips Company	1368265	N	T-1	T7023F	11/1/2010	4/30/2025		N	52520
P	M2	Port of Morgan	95	13293		52520				
P	MQ	Ventura	95	4680		52520				
D	ConocoPhillips Company	1368265	N	T-1	T7251F	4/1/2011	10/31/2021		N	11311
P	M2	Port of Morgan	95	13293		11311				
P	MQ	Ventura	95	4680		11311				
D	ConocoPhillips Company	1368265	N	T-1	TD098F	4/1/2015	3/31/2019		N	50000
P	M2	Ventura	95	4680		50000				
P	MQ	North Hayden	95	293700		50000				
D	"Continental Resources, Inc."	74292095	N	T-1	T9279F	11/1/2013	10/31/2027		Y	30550
P	M2	Port of Morgan	95	13293		30550				
P	MQ	Ventura	95	4680		30550				
D	"Continental Resources, Inc."	74292095	N	T-1	TC076F	1/1/2015	3/31/2025		N	10253
P	M2	Port of Morgan	95	13293		10253				
P	MQ	Ventura	95	4680		10253				
D	Crestwood Energy Services LLC	990000010	N	T-1B	FB0691	4/1/2018	12/31/2018		N	120000
P	M2	Kurtz	95	1109385		120000				
P	MQ	Port of Morgan	95	13293		120000				
D	Dakota Gasification Company	611935339	N	T-1	T7577F	1/1/2014	12/31/2020		Y	45778
P	M2	Hebron	95	134641		45778				
P	MQ	Harper	95	103750		45778				
D	Dakota Gasification Company	611935339	N	T-1	T7578F	1/1/2014	12/31/2020		Y	33481
P	M2	Hebron	95	134641		33481				
P	MQ	Ventura	95	4680		33481				
D	Dakota Gasification Company	611935339	N	T-1	TL036F	3/1/2018	12/31/2018		N	104333
P	M2	Ventura	95	4680		104333				
P	MQ	Harper	95	103750		104333				
D	"EDF Trading North America, LLC"	130385763	N	T-1	T6877F	11/1/2010	10/31/2020		N	30000
P	M2	Port of Morgan	95	13293		30000				
P	MQ	Manhattan	95	233632		30000				
D	"EDF Trading North America, LLC"	130385763	N	T-1	T6899F	11/1/2010	10/31/2021		N	15750
P	M2	Port of Morgan	95	13293		15750				
P	MQ	Ventura	95	4680		15750				
D	"EDF Trading North America, LLC"	130385763	N	T-1	T7930F	11/1/2012	3/31/2023		N	3551
P	M2	Port of Morgan	95	13293		3551				
P	MQ	Manhattan	95	233632		3551				
