H	Bison Pipeline LLC	C000627	4/2/2018	O	4/1/2018	T		Kay Dennison 832-320-5336		
D	Anadarko Energy Services Company	199116823	N	FT-1	FT0001	1/14/2011	1/31/2021		Y	243750
P	M2	Buffalo	95	1113568		243750				
P	MQ	Kurtz	95	1109384		243750				
D	"MidAmerican Energy Services, LLC"	79749570	N	FT-1	FT0002	1/14/2011	1/31/2021		Y	4875
P	M2	Buffalo	95	1113568		4875				
P	MQ	Kurtz	95	1109384		4875				
D	Minnesota Energy Resources Corporation 	780062605	N	FT-1	FT0003	1/14/2011	1/31/2021		Y	50000
P	M2	Buffalo	95	1113568		50000				
P	MQ	Kurtz	95	1109384		50000				
D	"WPX Energy Marketing, LLC"	824678478	N	FT-1	FT0004	1/14/2011	1/31/2021		Y	97500
P	M2	Buffalo	95	1113568		97500				
P	MQ	Kurtz	95	1109384		97500				
