H	GREAT LAKES GAS TRANSMISSION LIMITED PARTNERSHIP	C000628	4/2/2018	O	4/1/2018	T	T	KAY DENNISON 832-320-5336				
D	ANR PIPELINE COMPANY	6958581	Y	FT	17196	11/1/2012	10/31/2032		N	1700		
P	M2	FARWELL	95	11601	East	1700	0					
P	MQ	DEWARD	95	40792	East	1700	0					
D	ANR PIPELINE COMPANY	6958581	Y	FT	17593	11/1/2012	10/31/2019		N	207000		
P	M2	FARWELL	95	11601	East	207000	0					
P	M2	MUTTONVILLE	95	482606	East	207000	0					
P	MQ	SOUTH CHESTER	95	11568	East	207000	0					
P	MQ	DEWARD	95	40792	East	207000	0					
D	ANR PIPELINE COMPANY	6958581	Y	FT	18147	11/1/2014	10/31/2019		N	0		
P	M2	SOUTH CHESTER	95	11568	East	0	0					
P	MQ	FORTUNE LAKE	95	11655	Central	0	0					
D	ANR PIPELINE COMPANY	6958581	Y	FT	18150	11/1/2014	10/31/2019		N	0		
P	M2	SOUTH CHESTER	95	11568	East	0	0					
P	MQ	FARWELL	95	11601	East	0	0					
D	ANR PIPELINE COMPANY	6958581	Y	FT	18659	4/1/2017	10/31/2019		N	0		
P	M2	DEWARD	95	40792	East	0	0					
P	MQ	FARWELL	95	11601	East	0	0					
D	ANR PIPELINE COMPANY	6958581	Y	FT	18759	4/1/2018	3/31/2019		N	10100		
P	M2	FARWELL	95	11601	East	10100	0					
P	MQ	FORTUNE LAKE	95	11655	Central	10100	0					
D	ANR PIPELINE COMPANY	6958581	Y	FT	9141	11/1/2008	3/31/2019		N	100000		
P	M2	FARWELL	95	11601	East	100000	0					
P	MQ	ST. CLAIR	95	11772	East	100000	0					
D	ANR PIPELINE COMPANY	6958581	Y	FT	5223	11/10/2006	11/30/2019		N	125000		
P	M2	FARWELL	95	11601	East	125000	0					
P	MQ	FORTUNE LAKE	95	11655	Central	125000	0					
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	FT	18173	4/1/2015	3/31/2020		N	0		
P	M2	DEWARD	95	40792	East	0	0					
P	MQ	CLOW	95	132780	West	0	0					
D	CENTRA GAS MANITOBA INC.	200088581	N	FT	17406	11/1/2013	3/31/2020		N	0		
P	M2	DEWARD	95	40792	East	0	0					
P	M2	FARWELL	95	11601	East	0	0					
P	MQ	EMERSON	95	33975	West	0	0					
D	CENTRA GAS MANITOBA INC.	200088581	N	FT	17386	4/1/2013	3/31/2020		N	50500		
P	M2	EMERSON	95	33975	West	50500	0					
P	MQ	FORTUNE LAKE	95	11655	Central	50500	0					
D	CITY OF COHASSET	44129567	N	FT	3866	11/1/2006	10/31/2019		N	800		
A	"CONSTELLATION NEWENERGY-GAS DIVISION, LLC"	N										
P	M2	EMERSON	95	33975	West	800	0					
P	MQ	COHASSET	95	216501	West	800	0					
P	MQ	CARLTON	95	11842	West	800	0					
D	CITY OF DULUTH	77627883	N	FT	549	11/1/1999	10/31/2020		N	6000		
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	EMERSON	95	33975	West	6000	0					
P	MQ	DULUTH	95	385360	West	6000	0					
D	CITY OF DULUTH	77627883	N	FT	17416	11/1/2013	3/31/2021		N	0		
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	FARWELL	95	11601	East	0	0					
P	MQ	DULUTH	95	385360	West	0	0					
D	CITY OF DULUTH	77627883	N	FT	7377	4/1/2008	3/31/2020		N	1500		
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	EMERSON	95	33975	West	1500	0					
P	M2	FARWELL	95	11601	East	1500	0					
P	MQ	CARLTON	95	11842	West	1500	0					
P	MQ	CLOQUET	95	11847	West	1500	0					
P	MQ	DULUTH	95	385360	West	1500	0					
P	MQ	MIDLAND	95	169334	East	1500	0					
P	MQ	SUPERIOR	95	304366	West	1500	0					
P	MQ	FARWELL	95	11601	East	1500	0					
P	MQ	FORTUNE LAKE	95	11655	Central	1500	0					
P	MQ	GRAND RAPIDS NMU	95	11903	West	1500	0					
D	CITY OF DULUTH	77627883	N	FT	19133	4/1/2018	3/31/2023		N	3000		
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	EMERSON	95	33975	West	3000	0					
P	MQ	DULUTH	95	385360	West	3000	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FT	18513	11/1/2016	10/31/2019		N	2500		
P	M2	EMERSON	95	33975	West	2500	0					
P	MQ	CARLTON	95	11842	West	2500	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FT	19194	4/1/2018	4/30/2018		N	274		
P	M2	EMERSON	95	33975	West	274	0					
P	MQ	ST. IGNACE	95	11691	Central	274	0					
D	"DTE ENERGY TRADING, INC."	179989231	N	FT	19095	11/1/2017	10/31/2018		N	15000		
P	M2	EMERSON	95	33975	West	15000	0					
P	MQ	SAULT STE. MARIE TCPL	95	11597	Central	15000	0					
D	"DTE ENERGY TRADING, INC."	179989231	N	FT	19188	4/1/2018	10/31/2018		N	20000		
P	M2	EMERSON	95	33975	West	20000	0					
P	MQ	SAULT STE. MARIE TCPL	95	11597	Central	20000	0					
D	"DTE ENERGY TRADING, INC."	179989231	N	FT	19085	11/1/2017	10/31/2018		N	20000		
P	M2	EMERSON	95	33975	West	20000	0					
P	MQ	ST. CLAIR	95	11772	East	20000	0					
D	DTE GAS COMPANY	6958540	N	FT	4634	4/1/2005	10/31/2011	365	N	10130		
P	M2	BELLE RIVER MILLS	95	11771	East	10130	0					
P	M2	EMERSON	95	33975	West	10130	0					
P	MQ	GAYLORD	95	11741	Central	10130	0					
P	MQ	SAGOLA	95	473414	Central	10130	0					
P	MQ	PETOSKEY	95	11594	Central	10130	0					
P	MQ	SAULT STE. MARIE MICHCON	95	11596	Central	10130	0					
P	MQ	MACKINAW	95	11625	Central	10130	0					
