H	Northwest Pipeline LLC	C000640	1/1/2018	O 	1/1/2018	T	T	Josh Taylor 801-584-6673				
D	Anadarko Energy Services Company	199116823	N	TF-1	135679	6/1/2007	11/30/2007	31	N	10000	0	x4/x7/x38
P	M2	OPAL PLANT	29	543		10000						
P	MQ	CLAY BASIN DELIVERY	29	77		10000						
D	Anadarko Energy Services Company	199116823	N	TF-1	135681	6/1/2007	6/30/2007	31	N	9813	0	x4/x7/x38
P	M2	CLAY BASIN RECEIPT	29	75		9813						
P	MQ	GREEN RIVER DELIVERY	29	539		9813						
D	Avista Corporation	7943764	N	TF-1	100010	11/1/1992	10/31/2035	365	N	157961	0	x3/x4/x38/x89/x110
P	M2	BLANCO HUB-MILAGRO (56419)	29	556		13582						
P	M2	CLAY BASIN RECEIPT	29	75		9365						
P	M2	GREEN RIVER GATHERING	29	80		15418						
P	M2	IGNACIO PLANT	29	4		11029						
P	M2	OPAL PLANT	29	543		21337						
P	M2	STARR ROAD RECEIPT	29	401		9429						
P	M2	SUMAS RECEIPT	29	297		77801						
P	MQ	CANYONVILLE	29	361		250						
P	MQ	CHENEY (MEDICAL LAKE)	29	382		2400						
P	MQ	COEUR D'ALENE E. (HAYDEN)	29	523		4999						
P	MQ	COEUR D'ALENE W.	29	522		6000						
P	MQ	COLFAX	29	417		1226						
P	MQ	COLTON	29	421		61						
P	MQ	CONNELL	29	375		850						
P	MQ	ENDICOTT	29	416		200						
P	MQ	GENESEE	29	423		68						
P	MQ	GOLDENDALE	29	204		850						
P	MQ	GRANTS PASS	29	366		18060						
P	MQ	KELLOGG	29	528		4126						
P	MQ	KEYSTONE	29	380		50						
P	MQ	LA GRANDE	29	181		5440						
P	MQ	LEWISTON E.	29	425		7000						
P	MQ	LEWISTON PFI	29	426		4000						
P	MQ	LEWISTON W.	29	424		4269						
P	MQ	LIND	29	377		100						
P	MQ	MCGUIRE	29	403		2000						
P	MQ	MOSCOW	29	420		7400						
P	MQ	MYRTLE CREEK/RIDDLE	29	359		1120						
P	MQ	NINE MILE FALLS	29	718		17179						
P	MQ	NORTH POWDER	29	179		120						
P	MQ	OAKLAND	29	343		100						
P	MQ	PAGE MINE	29	525		30						
P	MQ	PALOUSE/ALBION	29	418		305						
P	MQ	PINEHURST	29	524		480						
P	MQ	POST FALLS	29	404		2000						
P	MQ	PULLMAN	29	419		6000						
P	MQ	RITZVILLE	29	379		650						
P	MQ	ROSEBURG	29	351		4129						
P	MQ	ROUND PRAIRIE(ROSEBURG LUMBER)	29	355		1						
P	MQ	SMELTERVILLE	29	527		162						
P	MQ	SPOKANE MEAD	29	385		44549						
P	MQ	SPOKANE WEST	29	383		5600						
P	MQ	SPRAGUE	29	381		100						
P	MQ	STANFIELD DELIVERY	29	188		11960						
P	MQ	STEVENSON	29	213		240						
P	MQ	STEVENSON #2	29	212		240						
P	MQ	SUTHERLIN/OAKLAN	29	345		320						
P	MQ	UNION	29	180		590						
P	MQ	UNIONTOWN	29	422		80						
P	MQ	WARDEN	29	409		1000						
P	MQ	WINCHESTER	29	347		100						
P	MQ	WINSTON/DILLARD	29	353		1070						
D	Avista Corporation	7943764	N	TF-1	100060	4/1/1993	10/31/2035	365	N	11400	0	x3/x4/x38
P	M2	IGNACIO PLANT	29	4		718						
P	M2	OPAL PLANT	29	543		4070						
P	M2	SUMAS RECEIPT	29	297		6612						
P	MQ	CANYONVILLE	29	361		30						
P	MQ	GRANTS PASS	29	366		10560						
P	MQ	MYRTLE CREEK/RIDDLE	29	359		140						
P	MQ	OAKLAND	29	343		60						
P	MQ	SUTHERLIN/OAKLAN	29	345		320						
P	MQ	WINCHESTER	29	347		290						
D	Avista Corporation	7943764	N	TF-1	100164	1/1/1997	10/31/2025	365	N	10000	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		10000						
P	MQ	NINE MILE FALLS	29	718		1500						
P	MQ	SPOKANE WEST	29	383		8500						
D	Avista Corporation	7943764	N	TF-1	136454	4/1/2009	10/31/2042	365	N	725	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		725						
P	MQ	ROUND PRAIRIE(ROSEBURG LUMBER)	29	355		725						
D	Avista Corporation	7943764	N	TF-1	136948	8/1/2008	10/31/2025	365	N	5000	0	x4/x38/x66
P	M2	STARR ROAD RECEIPT	29	401		5000						
P	MQ	INLAND PAPER	29	400		2822						
P	MQ	SPOKANE WEST	29	383		2178						
D	Avista Corporation	7943764	N	TF-1	136950	8/1/2008	10/31/2025	365	N	5330	0	x4/x38/x66
P	M2	STARR ROAD RECEIPT	29	401		5330						
P	MQ	COEUR D'ALENE E. (HAYDEN)	29	523		1596						
P	MQ	INLAND PAPER	29	400		441						
P	MQ	MCGUIRE	29	403		971						
P	MQ	SPOKANE WEST	29	383		2322						
D	"Black Hills Gas Distribution, LLC"	796654684	N	TF-1	100013	10/1/1989	10/31/2022	365	N	558	0	x1/x2/x4/x38/x156
P	M2	OPAL PLANT	29	543		353						
P	M2	SAND SPRINGS	29	58		205						
P	MQ	NATURITA/NUCLA	29	511		558						
D	The Boeing Company	9256819	N	TF-1	100077	4/1/1993	3/31/2008	365	N	12600	0	x3/x4/x38
P	M2	BLANCO HUB-TW (56498)	29	564		500						
P	M2	GREEN RIVER GATHERING	29	80		4100						
P	M2	IGNACIO PLANT	29	4		1060						
P	M2	OPAL PLANT	29	543		6940						
P	MQ	PORTLAND NORTHEAST	29	303		600						
P	MQ	SOUTH SEATTLE	29	451		12000						
D	The Boeing Company	9256819	N	TF-1	100078	4/1/1993	3/31/2008	365	N	2156	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		2156						
P	MQ	BOEING-FREDRICKSON	29	249		2156						
