H	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	C000654	4/2/2018	O	4/1/2018	T	T	Karen Gallardo 713-215-3572				
D	"AGY HOLDING, CORP."	52519563	N	FT	9046116	11/1/2006	12/30/2008	1095	N	341	0	
A	TEXICAN NATURAL GAS CO	N										
P	S8	CAROLINA GAS	95	9003140	ZONE 5	341	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	58	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	85	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	65	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	133	0					
D	ALABAMA GAS CORPORATION	6900104	N	ESS	9014752	4/1/2004	9/30/2024		Y	0	4664	l15
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	554					
D	ALABAMA GAS CORPORATION	6900104	N	ESS	9050383	3/1/2007	9/30/2024		Y	0	140161	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	16781					
D	ALABAMA GAS CORPORATION	6900104	N	ESS	9154767	4/1/2014	3/31/2018	365	N	0	70000	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	8346					
D	ALABAMA GAS CORPORATION	6900104	N	FT	1001983	8/1/1991	10/31/2018		N	73500	0	yi21
P	S8	ALAGASCO DEL POINTS	95	1007122	ZONE 4	73500	0					
P	S9	WALTHALL M3095	95	9003701	ZONE 4	73500	0					
D	ALABAMA GAS CORPORATION	6900104	N	FT	1005737	2/1/1992	10/30/2013	1095	N	3902	0	o6
P	S8	ALAGASCO-CLT	95	9003620	ZONE 4	3902	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	663	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	975	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	742	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1522	0					
D	ALABAMA GAS CORPORATION	6900104	N	FTG	1006621	11/1/1993	10/30/2013	180	N	5930	0	o3
P	S8	ALAGASCO-CLT	95	9003620	ZONE 4	5930	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1008	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1483	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1126	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2313	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FT	9144666	11/1/2013	10/31/2028		Y	67500	0	
P	S8	BROOKLYN UNION	95	1006558	ZONE 6	13500	0					
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	40500	0					
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	13500	0					
P	S9	GRUGAN M3623	95	9005642	ZONE 6	67500	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FT	9178682	1/5/2016	1/31/2031		Y	50000	0	
P	S8	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	50000	0					
P	S9	GRUGAN M3623	95	9005642	ZONE 6	50000	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FT	9202413	9/1/2017	6/30/2018		N	50000	0	
P	S8	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	50000	0					
P	S9	CPH RIVER ROAD M/L MP 1683.32	95	9009729	ZONE 6	50000	0					
D	ANADARKO US OFFSHORE LLC	8824133	N	FTP	9188777	7/1/2016	9/30/2030		N	2000	0	o23
P	S8	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	2000	0					
P	S9	BLIND FAITH M2897	95	9004243	ZONE 4B	2000	0					
D	ANGOLA LNG SUPPLY SERVICES LLC	830935180	N	FT	9115188	9/30/2011	9/29/2031		Y	467390	0	
P	S8	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	467390	0					
P	S9	MOSS POINT M3593	95	9006145	ZONE 4A	467390	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	ESS	1018467	11/1/1993	9/30/2029		Y	0	430694	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	51306					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	1002271	8/1/1991	3/31/2020		N	6440	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ATLANTA GAS LIGHT	95	1003410	ZONE 4	6440	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1095	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1610	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1223	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2512	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	1003699	2/1/1992	3/31/2027		N	111366	0	o14
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	1816	0					
P	S8	ATLANTA GAS LIGHT	95	1003410	ZONE 4	111366	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	18932	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	27841	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	21160	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	43433	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	1816	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	1004173	11/1/1998	10/31/2022		N	15525	0	o4
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ATLANTA GAS LIGHT	95	1003410	ZONE 4	15525	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	2037	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	13488	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	1004984	8/1/1991	10/31/2024		N	4658	0	o1
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	1816	0					
P	S8	ATLANTA GAS LIGHT	95	1003410	ZONE 4	4658	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	791	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1166	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	885	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1816	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	1816	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	1037178	11/1/2000	10/31/2025		N	61160	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ATLANTA GAS LIGHT	95	1003410	ZONE 4	61160	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	61160	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	9109917	4/1/2011	3/31/2020		N	20918	0	o19
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	20918	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	20918	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	9145593	11/1/2013	10/31/2023		Y	85000	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ATLANTA GAS LIGHT	95	1003410	ZONE 4	85000	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	85000	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	9162313	5/1/2015	10/31/2030		N	10350	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	EAGLE POINT M6188	95	1006403	ZONE 6	10350	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	10350	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FT	9201200	8/1/2017	7/31/2042		Y	235000	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	HOLMESVILLE	95	1006128	ZONE 4	235000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	235000	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	GSS	1000906	4/1/2013	3/31/2023		N	0	6238234	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	129308					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	LG-A	1000907	11/1/1974	10/30/2002	180	N	0	214876	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	42975					
