H	KERN RIVER GAS TRANSMISSION COMPANY	C000962	4/2/2018	O	4/1/2018	T		Kristin Gillette 801-937-6294				
D	AERA ENERGY LLC	90755471	N	KRF-1	20007	10/1/2016	9/30/2031		N	51750		
P	M2	Opal - WFS	95	39298		17500						
P	M2	Carter Creek - Columbia Gulf	95	41254		12000						
P	M2	Painter - Merit	95	41189		51750						
P	MQ	Daggett - PG&E	95	68522		11250						
P	MQ	Wheeler Ridge - SoCal Gas	95	332531		8750						
P	MQ	South Midway - Aera	95	332523		7200						
P	MQ	North Midway - Aera	95	332522		5300						
P	MQ	17Z Shell - Aera	95	332526		42500						
D	AMERICAN PACIFIC CORPORATION	198642027	N	KRF-1	1700	5/1/2003	4/30/2018		N	2000		
A	INDUSTRIAL GAS RESOURCE CORPORATION	N										
P	M2	Opal - WFS	95	39298		2000						
P	MQ	Wecco - Questar Gas	95	112486		2000						
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	KRF-1	1824	11/1/2010	10/31/2020		N	6161		
P	M2	Opal - WFS	95	39298		6161						
P	MQ	Daggett - PG&E	95	68522		6161						
D	BOSTON ENERGY TRADING AND MARKETING LLC	74882957	N	KRF-1	1709	5/1/2003	4/30/2018		N	42500		
P	M2	Opal - WFS	95	39298		42500						
P	MQ	Wheeler Ridge - SoCal Gas	95	332531		8000						
P	MQ	Crocker Springs - Midway Sunset	95	332507		19500						
P	MQ	Kramer Junction - SoCal Gas	95	332554		15000						
D	BP ENERGY COMPANY	625275755	N	KRF-1	1639	1/1/2017	6/30/2017	31	Y	75000		x19
P	M2	Goshen Rcpt - Dominion P/L	95	301571		75000						
P	MQ	Riverton - Questar Gas	95	306584		75000						
D	BP ENERGY COMPANY	625275755	N	KRF-1	1671	1/1/2018	1/31/2018	31	Y	33650		x19
P	M2	Goshen Rcpt - Dominion P/L	95	301571		33650						
P	MQ	Goshen Dlv - Dominion P/L	95	392837		33650						
D	"CALPINE ENERGY SERVICES, L.P."	169668212	N	KRF-1	1703	5/1/2003	4/30/2018		N	50000		
P	M2	Opal - WFS	95	39298		50000						
P	MQ	Wheeler Ridge - SoCal Gas	95	332531		16320						
P	MQ	Kramer Junction - SoCal Gas	95	332554		33680						
D	"CALPINE ENERGY SERVICES, L.P."	169668212	N	KRF-1	1705	5/1/2003	4/30/2018		N	50000		
P	M2	Opal - WFS	95	39298		50000						
P	MQ	Daggett - PG&E	95	68522		42835						
P	MQ	Wheeler Ridge - SoCal Gas	95	332531		7165						
D	CHEVRON U.S.A. INC.	9140559	N	KRF-1	20008	10/1/2016	9/30/2026		N	65000		
P	M2	Opal - WFS	95	39298		65000						
P	M2	NWPL Muddy Creek - NWPL	95	33426		8374						
P	M2	Carter Creek - Columbia Gulf	95	41254		43673						
P	M2	Painter - Merit	95	41189		29831						
P	M2	Roberson Creek OTC - Dominion Overthrust	95	361987		10755						
P	MQ	Daggett - PG&E	95	68522		30000						
P	MQ	Hunter Park - Questar Gas	95	169146		20934						
P	MQ	Racetrack - Chevron	95	332512		837						
P	MQ	Kern River Chevron - Chevron	95	332511		10000						
P	MQ	Wheeler Ridge - SoCal Gas	95	332531		28642						
P	MQ	Taft - Chevron	95	332513		2560						
P	MQ	Midway Santa Fe - Chevron	95	332525		837						
P	MQ	North Midway - Aera	95	332522		7500						
P	MQ	17Z Chevron - Chevron	95	332510		25000						
P	MQ	KernRiverSanta Fe - Chevron	95	332524		837						
P	MQ	Granite - MacPherson Oil	95	332541		10000						
P	MQ	Kramer Junction - SoCal Gas	95	332554		50000						
D	"CIMA ENERGY, LTD."	945601599	N	KRF-1	1816	11/1/2010	10/31/2020		N	5000		
