H	"WYOMING INTERSTATE COMPANY, L.L.C."	C000978	4/2/2018	O	4/1/2018	T		Sherry Saunders 719-520-3711				
D	"CHEYENNE LIGHT, FUEL AND POWER COMPANY"	6915144	N	FDBS	213585-FDBSWIC	2/1/2018	1/31/2033		Y	20000	0	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	MQ	CLFP/WIC OTTO-JACK  DELIVERY LARAMI	95	49778	WIC MEDICINE BOW	20000	0					
P	M2	CLFP/WIC OTTO-JACK  DELIVERY LARAMI	95	49778	WIC MEDICINE BOW	20000	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FT-1	41153000-FTWIC	2/1/2008	1/31/2023		N	150000	0	n1
P	MQ	DEOPL/RUBY (TPZ) TOPAZ RIDGE RECEIP	95	941002	WIC MAINLINE	150000	0					
P	M2	WIC/WIC (KJT) KANDA JUNCTION SWEETW	95	800348	WIC MAINLINE	150000	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FT-1	41222000-FTWIC	5/1/2014	4/30/2024		N	450000	0	n1
P	MQ	TPC/WIC (DUL) DULLKNIFE METER STATI	95	896002	WIC MAINLINE	225000	0					
P	M2	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	WIC MAINLINE	450000	0					
P	MQ	WIC/CPG (TDC) THUNDER CHIEF METER S	95	800716	WIC MAINLINE	225000	0					
D	ATMOS ENERGY CORP	108203241	N	FT-1	41059062-FTWIC	11/1/2003	3/31/2020		N	20000	0	n1
A	CONCORD ENERGY LLC	N										
P	M2	DEOPL/WIC (OVW) OVERTHRUST/ WIC SWE	95	800528	WIC MAINLINE	20000	0					
P	MQ	TPC/WIC (DUL) DULLKNIFE METER STATI	95	896002	WIC MAINLINE	20000	0					
D	BP ENERGY COMPANY	625275755	N	FT-1	41193000-FTWIC	7/28/2011	7/31/2021		N	75000	0	n1
P	MQ	DEOPL/WIC (TML) THREEMILE DELIVERY	95	896114	WIC MAINLINE	75000	0					
P	M2	WAMSUTT/WIC (CRE) CRESTON CARBON	95	896054	WIC MAINLINE	75000	0					
