H	"COLORADO INTERSTATE GAS COMPANY, L.L.C."	C000981	4/2/2018	O	4/1/2018	T	T	Sherry Saunders 719-520-3711				
D	"CHEYENNE PLAINS GAS PIPELINE COMPANY, L.L.C."	143363542	Y	CS-1	39500000-CS1CIG	2/1/2005	1/31/2030		N	119500	0	n1
P	MQ	CIG/CIG (PJD) PLAINS JUMPER DELIVER	95	800559	CIG MAINLINE	119500	0					
P	M2	CIG/CIG (PJR) PLAINS JUMPER RECEIPT	95	800560	CIG MAINLINE	119500	0					
D	ATMOS ENERGY CORP	108203241	N	NNT-1	31044000-NNT1CIG	10/1/2001	3/31/2021		N	13816	463028	n1
A	CONCORD ENERGY LLC	N										
P	WR	AEC-I/CIG (CAN) CANON CITY FREMONT	95	800128	CIG MAINLINE	9470	0					
P	WR	AEC-I/CIG (MCD) MCCLAVE DELIVERY (G	95	800414	CIG MAINLINE	2054	0					
P	WR	AEC-I/CIG (SPR) SPRINGFIELD METER B	95	891072	CIG MAINLINE	2292	0					
D	BLACK HILLS DISTRIBUTION LLC/COLORADO	9237	N	NNT-1	31053000-NNT1CIG	7/1/2008	3/31/2021		N	21	713	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	WR	BHD COL/CIG (CIT) COLORADO IRRIGATI	95	291035	CIG MAINLINE	21	0					
P	WR	BHD COL/CIG (N35) COLORADO IRRIGATI	95	800478	CIG MAINLINE	0	0					
D	BLACK HILLS DISTRIBUTION LLC/SOUTH CO	8209	N	NNT-1	31043001-NNT1CIG	5/1/2008	3/31/2021		N	7161	239978	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	WR	BHD SOU/CIG (N29) CITIZENS NN LOCAT	95	800473	CIG MAINLINE	0	0					
P	WR	BHD SOU/CIG (WRK) WHITE ROCK OTERO	95	800793	CIG MAINLINE	7161	0					
D	BLACK HILLS DISTRIBUTION LLC/WYHIGHLN	8242	N	NNT-1	31052006-NNT1CIG	5/1/2008	5/31/2023		N	94	3124	n1
A	ROCKY MOUNTAIN NATURAL GAS LLC	N										
P	WR	BHD WYH/CIG (WYT) WYOMING HILINE TA	95	800819	CIG MAINLINE	94	0					
D	"BLACK HILLS GAS DISTRIBUTION, LLC D/B/A/ BLACK HILLS ENERGY"	796654684	N	NNT-1	31046007-NNT1CIG	5/1/2008	3/31/2023		N	62	2083	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	WR	BHGD/CIG (LAR) LARAMIE STATION ALBA	95	891045	CIG MAINLINE	62	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	NNT-1	31049000-NNT1CIG	10/1/2001	4/30/2022		N	18258	611870	n1
P	WR	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	15255	0					
P	WR	BLK HILL/CIG (HUG) HUGO LINCOLN	95	800320	CIG MAINLINE	3003	0					
P	WR	BLK HILL/CIG (N32) BLACK HILLS NN L	95	800475	CIG MAINLINE	0	0					
