H	"American Midstream (AlaTenn), LLC"	C001023	4/2/2018	O	4/1/2018	B		Bryan M. Escobedo (346) 241-3574			
											
D	"RUSSELLVILLE GS BOARD, CITY OF"	964447924	N	FTS	FTS-ALT-0002	9/1/1993	10/31/2000	365	N	500	0
A	INTERCONN RESOURCES	N									
P	M2	TGP-BARTON	95	10138		500	0				
P	MQ	RUSSELLVILLE DELV	95	20175		500	0				
											
D	CHEROKEE WATER & GAS DEPT.	155618341	N	FTS-SG	FTS-ALT-0009	9/1/1993	11/1/2000	365	N	359	0
A	INTERCONN RESOURCES	N									
P	M2	TGP-CORINTH	95	10137		359	0				
P	MQ	CHEROKEE DELV	95	20038		359	0				
											
D	"IUKA, MISSISSIPPI, CITY OF"	43172717	N	FTS-SG	FTS-ALT-0010	9/1/1993	11/1/2000	365	N	1847	0
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N									
P	M2	TGP-CORINTH	95	10137		1847	0				
P	MQ	IUKA DELV	95	20035		1847	0				
											
D	"TISHOMINGO NATURAL GAS DEPT, TOWN OF"	T00800018	N	FTS-SG	FTS-ALT-0011	9/1/1993	10/31/2002	365	N	744	0
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N									
P	M2	TGP-CORINTH	95	10137		744	0				
P	MQ	TISHOMINGO DELV	95	20036		744	0				
											
D	ASCEND PERFORMANCE MATERIALS	40853731	N	FTS	FTS-ALT-0022	11/1/1999	10/31/2001	365	N	1351	0
A	INTERCONN RESOURCES	N									
P	M2	TGP-BARTON	95	10138		1351	0				
P	MQ	TRIGAS-MORGAN CO.	95	20089		1351	0				
											
D	"MOULTON, CITY OF"	83745463	N	FTS-SG	FTS-ALT-0012	9/1/1996	8/31/2008	365	N	1272	0
A	"ATMOS ENERGY MARKETING, LLC"	N									
P	M2	TGP-BARTON	95	10138		1272	0				
P	MQ	MOULTON DELV	95	20057		1272	0				
											
D	"DECATUR UTILITIES, CITY OF"	120323696	N	FTS	FTS-ALT-0005	11/1/1997	11/1/2007	365	N	500	0
A	INTERCONN RESOURCES	N									
P	M2	TGP-BARTON	95	10138		500	0				
P	M2	TGP-CORINTH	95	10137		500	0				
P	M2	CGT-CORINTH	95	10140		500	0				
P	M2	TRIGAS-TETCO	95	10139		500	0				
P	MQ	DECATUR DELV	95	20069		500	0				
											
D	ASCEND PERFORMANCE MATERIALS	40853731	N	FTS	FTS-ALT-0004	11/1/1997	3/31/2003	365	N	2800	0
A	INTERCONN RESOURCES	N									
P	M2	TGP-BARTON	95	10138		2800	0				
P	MQ	TRIGAS-MORGAN CO.	95	20089		2800	0				
											
D	WHEELER BASIN NATURAL GAS COMPANY	6900898	N	FTS	FTS-ALT-0021	11/1/1997	11/1/2017	0	N	1758	0
A	"ATMOS ENERGY MARKETING, LLC"	N									
P	M2	TGP-BARTON	95	10138		1758	0				
P	MQ	WHEEL DELV	95	120002		1758	0				
											
D	BUNGE CORPORATION	6981435	N	FTS	FTS-ALT-0017	11/1/1998	11/1/2003	365	N	1200	0
A	ENBRIDGE MARKETING (U.S.) L.P.	N									
P	M2	TGP-BARTON	95	10138		1200	0				
P	MQ	TRIGAS-MORGAN CO.	95	20089		1200	0				
											
D	DYNEON LLC	10000101	N	FTS	FTS-ALT-0014	7/1/1999	6/30/2014	365	N	500	0
A	ENBRIDGE MARKETING (U.S.) L.P.	N									
P	M2	TGP-BARTON	95	10138		500	0				
P	MQ	ALVENTIA DELV	95	20067		500	0				
											
D	OCI CHEMICAL CORPORATION	93367642	N	FTS	FTS-ALT-0006	10/1/2001	9/30/2010	365	N	600	0
A	Interconn Resources	N									
