H	"American Midstream (Midla), LLC"	C001024	4/2/2018	O	4/1/2018	F		Bryan Escobedo (346) 241-3574				
												
												
D	ATMOS ENERGY CORPORATION	6964415	N	FTS	FTN-MID-0001	3/30/2017	3/29/2032		Y	16200	0	
P	M2	CGT WINNSBORO	95	11309	8100	0						
P	M2	TGP WINNSBORO	95	11308	8100	0						
P	MQ	"NATCHEZ, MS #1"	95	20300	7000	0						
P	MQ	"NATCHEZ, MS #2"	95	20301	9200	0						
												
D	ATMOS ENERGY CORPORATION	6964415	N	FTS	FTN-MID-0002	3/30/2017	3/29/2032		Y	4200	0	
P	M2	CGT WINNSBORO	95	11309	2100	0						
P	M2	TGP WINNSBORO	95	11308	2100	0						
P	MQ	"FERRIDAY, LA"	95	20296	3450	0						
P	MQ	"GILBERT, LA"	95	20297	250	0						
P	MQ	"WISNER, LA"	95	20306	500	0						
												
D	BASF CORPORATION	1793	N	FTS	FTN-MID-0004	4/1/2017	3/31/2027		Y	1300	0	YA1
A	HESS ENERGY MARKETING	N										
P	M2	CGT WINNSBORO	95	11309	650	0						
P	M2	TGP WINNSBORO	95	11308	650	0						
P	MQ	"VIDALIA, LA #3"	95	20305	1300	0						
												
D	"EV PROPERTIES, L.P."	204745543	N	FTS	FTS-MID-0035	7/1/2014	10/31/2014	365	N	6	0	
P	M2	DESIARD DISCHARGE	95	10218		6	0					
P	MQ	"ALTO, LA"		95	20110		2	0				
P	MQ	EXXON CHEMICAL		95	20146		2	0				
P	MQ	MIDLA TO MLGT- ZACHARY HP	95	20143	2	0						
												
D	GAS UTILITIES DISTRICT #1-EAST FELICIANA PARISH #1	613763887	N	FTS	FTS-MID-0025	9/1/1993	8/31/1994	365	N	436	0	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	M2	GULF SOUTH TO MIDLA-SCOTLANDVILLE	95	10150	386	0						
P	MQ	"NORWOOD/WILSON, LA"			95	20128	386	0				
												
D	GAS UTILITIES DISTRICT #2-EAST FELICIANA PARISH #1	99645624	N	FTS	FTS-MID-0026	9/1/2013	8/31/1994	365	N	906	0	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	M2	GULF SOUTH TO MIDLA-SCOTLANDVILLE	95	10150	804	0						
P	MQ	"ETHEL, LA"	95	20129	804	0						
												
D	"INFINITE ENERGY, INC."	968786749	N	FTS	FTN-MID-0005	7/29/2017	7/31/2018		N	150	0	
P	M2	CGT WINNSBORO	95	11309	150	0						
P	M2	TGP WINNSBORO	95	11308	150	0						
P	MQ	"NATCHEZ, MS #1"	95	20300	150	0						
												
D	LOUISIANA MUNICIPAL GAS AUTHORITY	787139203	N	FTS	FTN-MID-0003	4/1/2017	3/31/2032		Y	3825	0	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	M2	CGT WINNSBORO		95	11309	1507	0					
P	M2	TGP WINNSBORO		95	11308	2318	0					
P	MQ	"CLAYTON, LA"		95	20295	100	0					
P	MQ	"JONESVILLE, LA"		95	20298	950	0					
P	MQ	"SICILY ISLAND, LA"	95	20302	180	0						
P	MQ	"VIDALIA, LA #1"		95	20303	1190	0					
P	MQ	"VIDALIA, LA #2"		95	20304	709	0					
