H	Discovery Gas Transmission LLC	C001031	3/29/2018	O	4/1/2018	T		Larry Jensen 713-215-3034				 
D	Anadarko US Offshore Corporation	8824133	N	FT-2	DTF259	12/31/2011			N 	43986		m1/n1
P	M2	Keathley Canyon Lucius	95	23000		43986						
P	MQ	Larose Residue to BHLP	95	41000		21369						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		11181						
D	Anadarko US Offshore Corporation	8824133	N	FT-2	DTF270	1/4/2013			N 	9460		m1/n1
P	M2	Heidelberg - KCC Receipt	95	23043		9460						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		6773						
P	MQ	Larose Residue to TXS EAST	95	41005		2688						
D	Apache Deepwater LLC	118091263	N	FT-2	DTF212	10/1/2000			N 	252		m1/n1
P	M2	Ewing Banks 921 / 966	95	23008		252						
P	MQ	Larose Residue to BHLP	95	41000		252						
D	Apache Shelf Exploration LLC	79213066	N	FT-2	DTF295	4/1/2015			N	3249		m1/n1
P	M2	Walter ST 311	95	23052		3249						
P	MQ	Larose Residue to TXS EAST	95	41005		1624						
P 	MQ	Columbia Gulf Delv	95	41009		1625						
D	"Arena Energy, LP"	119309909	N	FT-2	DTF301	11/1/2016			N	5400		m1/n1
P	M2	South Timbalier 37	95	23007		5400						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		5400						
D	"Beta Sales And Transport, LLC"	79990478	N	FT-2	DTF294	7/1/2015			N	3938		m1/n1
A	ConocoPhillips Company		N									
P	M2	WALTER EW834	95	23054		3938						
P	MQ	Larose Residue to BHLP	95	41000		1969						
P	MQ	DGT to Transco Thibodeaux	95	40002		1969						
D	Chevron U.S.A. Inc.	9140559	N	FT-2	DTF300	12/22/1997			N 	1887		m1/n1
P	M2	Ewing Banks 873	95	23003		1887						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		1887						
D	Chevron U.S.A. Inc.	9140559	N	FT-2	DTF302	1/1/2017			N 	53453		m1/n1
P	M2	Tahiti	95	23024		53453						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		36936						
D	"Cobalt International Energy, L.P. "	616720848	N	FT-2	DTF272	1/4/2013			N 	2016		m1/n1
P	M2	Heidelberg - KCC Receipt	95	23043		2016						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		1048						
D	Cokinos Energy Corporation	102658226		FT-1	DTF110	8/22/2017			Y	10414		m1/n2
P	M2	Cokinos - Valentine 1	95	23057		10414						
P	MQ	Larose Residue to BHLP	95	41000		8750						
D	Eni  Petroleum US LLC	605981682	N	FT-2	DTF201	12/1/1996			N 	617		m1/n1
P	M2	Ewing Banks 921 / 966	95	23008		617						
P	MQ	Larose Residue to BHLP	95	41000		247						
P	MQ	Larose Residue to TXS EAST	95	41005		370						
D	Eni Petroleum US LLC	605981682	N	FT-2	DTF204	5/1/1999			N 	762		m1/n1
P	M2	Green Canyon 254	95	23009		762						
P	MQ	Larose Residue to BHLP	95	41000		305						
P	MQ	Larose Residue to TXS EAST	95	41005		457						
D	Eni Petroleum US LLC	605981682	N	FT-2	DTF219	6/15/2005			N 	1388		m1/n1
P	M2	Green Canyon 338 Front Run	95	23018		1388						
P	MQ	Columbia Gulf Delv	95	41009		677						
P	MQ	DGT to Transco Thibodeaux	95	40002		451						
D	Eni Petroleum US LLC	605981682	N	FT-2	DTF261	12/31/2011			N 	7638		m1/n1
P	M2	Keathley Canyon Lucius	95	23000		7638						
P	MQ	Larose Residue to TXS EAST	95	41005		1664						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		3988						
D	Eni Petroleum US LLC	605981682	N	FT-2	DTF265	12/31/2011			N 	76846		m1/n1
P	M2	Keathley Canyon Lucius	95	23000		76846						
P	MQ	Larose Residue to TXS EAST	95	41005		51802						
P	MQ	Old Lady Lake (Kinetica Delv)	95	41008		21201						
