H	Vector Pipeline L.P.	C001209	4/1/2018	O	4/2/2018	T		Lisa A. Steinman 734-462-0232				
D	Bluewater Gas Storage LLC	146848804	N	FT-1	FT1-BLU-5956	11/1/2018	3/31/2019		N	50000		
P	M2	St. Clair (US) Interconnect	95	ST101U	Zone 2	50000						
P	MQ	Guardian Interconnect	95	GU151	Zone 1	50000						
D	BP Canada Energy Marketing Corp.	248799413	N	FT-1	FT1-BPC-0418	11/1/2007	10/31/2021		N	25000		x1
P	M2	Guardian Interconnect	95	GU151	Zone 1	25000						
P	MQ	St. Clair (US) Interconnect	95	ST101U	Zone 2	25000						
D	BP Canada Energy Marketing Corp.	248799413	N	FT-1	FT1-BPC-1301	11/1/2009	10/31/2021		N	60000		x2
P	M2	Northern Border Interconnect	95	NB101	Zone 1	55000						
P	M2	Guardian Interconnect	95	GU151	Zone 1	5000						
P	MQ	St. Clair (US) Interconnect	95	ST101U	Zone 2	60000						
D	Crete Energy Venture LLC	40065091	N	FT-1	FT1-CRE-0004	2/1/2002	1/31/2027		Y	108000		x3
P	M2	Crete Lateral Interconnect	95	CM151	Zone 1	108000						
P	MQ	Crete Interconnect	95	CM151	Zone 1	108000						
D	"DTE Energy Trading, Inc."	179989231	Y	FT-1	FT1-DTE-5969	4/1/2018	4/30/2018		N	27215		
P	M2	Alliance Interconnect	95	AL101	Zone 1	27215						
P	MQ	St. Clair (US) Interconnect	95	ST101U	Zone 2	27215						
D	DTE Gas Company	6958540	Y	FT-1	FT1-MCG-0013	1/1/2001	11/30/2020		Y			x4
P	M2	Belle River Mills Interconnect	95	BR101	Zone 2							
P	MQ	Milford Junction Interconnect	95	MJ151	Zone 2							
D	DTE Gas Company	6958540	Y	FT-1	FT1-MCG-5676	11/1/2017	10/31/2022		N	20000		x5
P	M2	Alliance Interconnect	95	AL101	Zone 1	20000						
P	MQ	Milford Junction Interconnect	95	MJ151	Zone 2	20000						
D	Enbridge Gas Distribution Inc.	246667372	Y	FT-1	FT1-EGD-5581	6/1/2016	10/31/2025		Y	110000		
A	Castleton Commodities Merchant Trading L.P.	N										
A	Tenaska Marketing Ventures	N										
P	M2	Alliance Interconnect	95	AL101	Zone 1	80000						
P	M2	Northern Border Interconnect	95	NB101	Zone 1	30000						
