H	Stagecoach Pipeline & Storage Company LLC	C001683	4/2/2018	O	4/1/2018	T	T	MARK MITCHELL	832-519-2255			
Shipper Name	Shipper ID	Affill	R Sch	Contract	Start	End		Negot	MDTQ	MSQ	Footnote ID	
D	Alta Energy Marketing	80534979	N	FSS	ALTA_SC0001FSS	4/1/2018	5/31/2019	0	N	27000	2200000	
P	M2	Millennium	95	SC1010B		0	25000					
P	M2	Stagecoach Marcellus Hub	95	SC1060B		0	25000					
P	M2	Tennessee	95	SC1070B		0	25000					
P	MQ	Millennium	95	SC1010B		0	27000					
P	MQ	Stagecoach Marcellus Hub	95	SC1060B		0	27000					
P	MQ	Tennessee	95	SC1070B		0	27000					
D	Consolidated Edison of New York	6982359	N	FSS	CED_SC0001FSS	5/1/2016	3/31/2023	0	N	0	7201310	
P	M2	Stagecoach Storage	95	SC1070B		0	85441					
P	MQ	Stagecoach Storage	95	SC1070B		0	170877					
D	Engie Energy Marketing	80434367	N	FSS	ENG_SC0002FSS	4/1/2018	3/31/2019	0	N	18020	1000000	
P	M2	Millennium	95	SC1010B		0	10111					
P	M2	Stagecoach Marcellus Hub	95	SC1060B		0	10111					
P	M2	Tennessee	95	SC1070B		0	10111					
P	MQ	Millennium	95	SC1010B		0	18020					
P	MQ	Stagecoach Marcellus Hub	95	SC1060B		0	18020					
P	MQ	Tennessee	95	SC1070B		0	18020					
D	Mercuria Energy America	831749127	N	FSS	MEA_SC0002FS	4/1/2018	3/31/2019	0	N	15992	700000	
P	M2	Millennium	95	SC1010B		0	7996					
P	M2	Stagecoach Marcellus Hub	95	SC1060B		0	7996					
P	M2	Tennessee	95	SC1070B		0	7996					
P	MQ	Millennium	95	SC1010B		0	15992					
P	MQ	Stagecoach Marcellus Hub	95	SC1060B		0	15992					
P	MQ	Tennessee	95	SC1070B		0	15992					
D	New Jersey Natural Gas	61843553	N	FSS	NJNG_SC0001FS	4/1/2018	3/31/2023	0	N	21728	1630990	
A	NJ Resources	N										
P	M2	Tennessee	95	SC1070B		0	10891					
P	MQ	Tennessee	95	SC1070B		0	21728					
D	New Jersey Natural Gas	61843553	N	FSS	NJNG_SC0002FS	4/1/2018	3/31/2023	0	N	25337	2280330	
P	M2	Tennessee	95	SC1070B		0	12701					
P	MQ	Tennessee	95	SC1070B		0	25337					
D	Pivotal Utility Holdings	56711344	N	FSS	PUHI00166FS	4/1/2014	3/31/2019	0	N	3040	304000	
P	M2	Tennessee	95	SC1070B		0	1524					
P	MQ	Tennessee	95	SC1070B		0	3040					
D	Sequent Energy Management	612075846	N	FSS	SEQ_SC0013FSS	4/1/2018	3/31/2019	0	N	50000	3000000	
P	M2	Millennium	95	SC1010B		0	33578					
P	M2	Stagecoach Marcellus Hub	95	SC1060B		0	33578					
P	M2	Tennessee	95	SC1070B		0	33578					
P	MQ	Millennium	95	SC1010B		0	50000					
P	MQ	Stagecoach Marcellus Hub	95	SC1060B		0	50000					
P	MQ	Tennessee	95	SC1070B		0	50000					
D	Sierentz Global Merchants	80356493	N	FSS	SGM_SC0001FSS	4/1/2018	3/31/2019	0	N	22846	1000000	
P	M2	Millennium	95	SC1010B		0	11423					
P	M2	Stagecoach Marcellus Hub	95	SC1060B		0	11423					
P	M2	Tennessee	95	SC1070B		0	11423					
P	MQ	Millennium	95	SC1010B		0	22846					
P	MQ	Stagecoach Marcellus Hub	95	SC1060B		0	22846					
P	MQ	Tennessee	95	SC1070B		0	22846					
D	SWN Energy Services	967770660	N	FSS	SWN_SC0001FSS	4/1/2018	3/31/2019	0	N	22846	1000000	
P	M2	Millennium	95	SC1010B		0	11423					
P	M2	Stagecoach Marcellus Hub	95	SC1060B		0	11423					
