H	"CALEDONIA ENERGY PARTNERS, L.L.C."	C001759	4/1/2018	O	4/1/2018	T	T	Aaron Orlando 281-374-3087			
D	MUNICH RE TRADING LLC   	875672920	N	FSS	MUNICHRECALFIRM2016	4/1/2016	4/1/2019		Y		1000000
P	IJ	TGPL021047	95	542524			25000				
P	WR	TGPL012734	95	542519			30000				
D	NJR ENERGY SERVICES COMPANY	25715165	N	FSS	NJRCALFIRM2015	4/1/2016	4/1/2019		Y		1500000
P	IJ	TGPL021047	95	542524			37500				
P	WR	TGPL012734	95	542519			45000				
D	TENNESSEE GAS PIPELINE LLC	1939164	N	FSS	TGPCALFIRM2017	4/1/2017	4/1/2019		Y		2000000
P	IJ	TGPL021047	95	542524			50000				
P	WR	TGPL012734	95	542519			60000				
D	TENNESSEE GAS PIPELINE LLC	1939164	N	FSS	TGPCALFIRM2018	4/1/2018	4/1/2019		Y		1000000
P	IJ	TGPL021047	95	542524			25000				
P	WR	TGPL012734	95	542519			33500				
D	ATMOS ENERGY MARKETING LLC	835705831	N	FSS	ATMOSCALFIRM2018	4/1/2018	4/1/2021		Y		800000
P	IJ	TGPL021047	95	542524			8500				
P	WR	TGPL012734	95	542519			10000				
