H	NATURAL GAS PIPELINE COMPANY OF AMERICA LLC	C002096	4/2/2018	O	4/1/2018	T	T	Pam Ojeman 713-369-9332				
D	AMEREN ILLINOIS COMPANY	6936017	N	DSS	148876-DSSNGPL	4/1/2018	3/31/2022		N	43525	2176250	n1
P	MQ	AMER IL/NGPL AMEREN BUREAU	95	46388	MARKET DELIVERY	11000	0					
P	MQ	AMER IL/NGPL CENTRALIA CLINTON	95	900170	MARKET DELIVERY	3300	0					
P	MQ	AMER IL/NGPL DELAND PIATT	95	148	MARKET DELIVERY	2950	0					
P	MQ	AMER IL/NGPL EDGEWOOD FAYETTE	95	900163	MARKET DELIVERY	520	0					
P	MQ	AMER IL/NGPL GORHAM JACKSON	95	900178	MARKET DELIVERY	150	0					
P	MQ	AMER IL/NGPL HAMMOND PIATT	95	900152	MARKET DELIVERY	10455	0					
P	MQ	AMER IL/NGPL HARRISON JACKSON	95	904881	MARKET DELIVERY	1500	0					
P	MQ	AMER IL/NGPL HENNEPIN BUREAU	95	34	MARKET DELIVERY	1050	0					
P	MQ	AMER IL/NGPL KEWANEE HENRY	95	900043	MARKET DELIVERY	4000	0					
P	MQ	AMER IL/NGPL LA SALLE #4 LA SALLE	95	900032	MARKET DELIVERY	4000	0					
P	MQ	AMER IL/NGPL MATTOON DOUGLAS	95	4879	MARKET DELIVERY	1500	0					
P	MQ	AMER IL/NGPL MONTICELLO PIATT	95	900149	MARKET DELIVERY	550	0					
P	MQ	AMER IL/NGPL STEELEVILLE JACKSON	95	900177	MARKET DELIVERY	570	0					
P	MQ	AMER IL/NGPL STRASBURG SHELBY	95	900158	MARKET DELIVERY	530	0					
P	MQ	AMER IL/NGPL VERGENNES JACKSON	95	900176	MARKET DELIVERY	175	0					
P	MQ	AMER IL/NGPL WINDSOR SHELBY	95	157	MARKET DELIVERY	975	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	43525					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	43525					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	43525					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	43525					
P	MQ	U OF I/NGPL  PIATT	95	24004	MARKET DELIVERY	300	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	DSS	142352	11/1/2013	10/31/2018		N	1000	50000	n1
P	MQ	BLK HILL/NGPL LINCOLN OTOE	95	5593	MARKET DELIVERY	1000	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	1000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	1000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	1000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	1000					
D	"CITY OF NASHVILLE, ILLINOIS"	137352332	N	DSS	146628-DSSNGPL	5/1/2017	4/30/2020		N	650	32500	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	MQ	NASHVILL/NGPL  WASHINGTON	95	900172	MARKET DELIVERY	650	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	650					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	650					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	650					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	650					
D	"CITY OF NEBRASKA CITY,  NEBRASKA"	76983428	N	DSS	146394-DSSNGPL	12/1/2016	11/30/2019		N	5028	251400	n1
A	"TENASKA GAS STORAGE, LLC"	N										
A	TENASKA MARKETING VENTURES	N										
P	MQ	NEB CITY/NGPL  OTOE	95	118	MARKET DELIVERY	5028	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	5028					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	5028					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	5028					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	5028					
